effective_person_id,person_id,person_canon,norm_key,token_count,location_suffix_detected,unresolved_class,review_status,unresolved_reason,source,notes,player_ids_seen,player_names_seen,aliases,alias_statuses,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,person_canon_final,person_canon.1
04f32be4-d341-5f17-b5e4-23df053befff,,Lisa Amenguale,lisa amenguale,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,9a5284cb-3ba5-58d4-8272-795e4452d90c,Lisa Amenguale,,,Lisa Amenguale,,,,amenguale,Lisa Amengual,
05231a10-9d6a-51f5-b170-42dc8b6f9494,,Jonathan Morin,jonathan morin,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,57cf2aa4-0269-5c57-aa46-71849f88e0f0,Jonathan Morin,,,Jonathan Morin,,,,morin,Jonathan Mori,
07f95465-470d-502b-804d-643380e1385c,,Gosia Nycz,gosia nycz,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,28b2f6c9-a25e-545c-8a10-17deb2704704 | 928d0f93-9a84-506d-a5bb-c65641348b8a,Gosia Nycz,,,Gosia Nycz,,,,nycz,Gosia Nyc,
18d82973-e5e4-5c70-9fc5-3b878544e7e7,,Max Gerhardt,max gerhardt,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,4ec7df93-78c0-5bb7-825e-6afeaf3098c5 | b7bce232-0cee-5ae6-8698-c0b4bcd3bbfc | d499289f-17e7-599a-b8c0-fe61b3094879 | d82258b2-4ab0-57c7-a32d-2623b8f08aa6 | f294eb4b-4bf7-5019-9d7c-bfe198ba24aa,Max Gerhardt,,,Max Gerhardt,,,,gerhardt,Max Gerhard,
1bedfc1b-885c-5426-a93f-6fe033fd5f3e,,Erik Chang,erik chang,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,b76a1a12-9ba8-5bdd-b063-5144d0c27732,Erik Chang,,,Erik Chang,,,,chang,Erik Chan,
37844c75-3ef3-5567-a289-9b6bd07fdfe4,,Roman Belozerovin,roman belozerovin,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,6af15d27-a5cb-5b51-a350-00360bf809ef,Roman Belozerovin,,,Roman Belozerovin,,,,belozerovin,Roman Belozerov,
4122d672-aba7-5e34-a94f-df9602413736,,Jan Zimmermann,jan zimmermann,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,1004deb1-7436-5394-b048-34ed947452f0,Jan Zimmermann,,,Jan Zimmermann,,,,zimmermann,Jan Zimmerman,
45c97f4f-9077-5585-8a83-a9d9a8829f12,,Phil Lessard,phil lessard,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,4cac9dd6-a904-53c4-a735-57cd2bf98ba4,Phil Lessard,,,Phil Lessard,,,,lessard,Phil Less,
613dcf21-2444-5d77-91b1-378c28c75fc1,,Christian Loewe,christian loewe,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,604e14b0-a7fd-594b-8bae-4cf40e368191,Christian Loewe,,,Christian Loewe,,,,loewe,Christian Loew,
61656316-f92f-5235-a6fd-e3218d5601f8,,Jim Hankins,jim hankins,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,01d00b55-c852-5655-aea8-52c839398faf | 0d9233da-b85c-5e48-a488-f2a7a555a6d0 | 2837fb70-6d41-5f74-98c7-6a10bdc5ac63 | 29d008fe-8b2c-5a95-9e9e-fea202e4b10f | 6789810d-6a02-5c66-8d5e-0cd439be8cf5 | 957bdfdb-2241-59a5-a3fd-b05b99e948d6 | b21d60bc-daf3-52d4-9a3a-ba10a810f987 | cd7c014b-fded-5c04-a9b0-921214cbf5ff,Jim Hankins,,,Jim Hankins,,Jim Hankins-,,hankins,Jim Hankin,
619a16fc-fe87-552c-b882-b92d96d15588,,Richard Cook,richard cook,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,079cebcb-b81e-55b2-ae3d-7963d0023515 | d7b18714-282d-5df1-b437-fd78b35384f1 | f56fb7cc-b8d1-5eed-b203-c87e69026988,Richard Cook,,,Richard Cook,,Rich Chard Cook | Richard Chard Cook | Richard Cook -,,cook,Chard Cook,
8e17712f-7c8d-5c61-93e2-85d061117be2,,Kerstin Anhuth,kerstin anhuth,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,194fe7ce-51f8-5c57-a567-68a41b5eb033 | 41f1ae02-51b3-51b6-ac5a-4a70adfadaec | a8092ca7-cd9a-5c63-b80e-51b1591d90c4 | b1101b8d-a815-5428-b83f-b7f407039547,Kerstin Anhuth,,,Kerstin Anhuth,,,,anhuth,Kerstin Anhut,
9337337c-b3c1-53a6-9f38-ee3923ef6c13,,Fabien Riffaud,fabien riffaud,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,43a94938-7ae7-5182-a2a8-f66cb9fca26c | 7407cf23-8ddd-5ec6-96da-240983969378 | 964c3e64-eb3d-577f-af5e-35f9608ce458 | a9a0554c-97b6-5223-8a32-09e08dc3c73e | fe191b5d-e0b8-5673-a647-436cafa84997,Fabien Riffaud,,,Fabien Riffaud,,,,riffaud,Fabien Riffau,
95cbdeb1-c0ee-5f8a-8d48-623e59d7bb9d,,Matthias Schmidtt,matthias schmidtt,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,a9b0d8f0-baf1-5ced-8017-959d65db38de,Matthias Schmidtt,,,Matthias Schmidtt,,,,schmidtt,Matthias Schmidt,
9ba59467-8874-58c6-a37a-f12197f5cae2,,Martin Coté,martin cote,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,292a28f6-41bf-51f7-80d9-5d9d12d3647a | 6578cbaa-ed60-5862-9bd8-5a1183dbb9b3,Martin Coté,,,Martin Coté,,,,coté,Martin Cote,
9f8faea6-17bf-5d14-815b-01ec054eb966,,Thomas Försterson,thomas forsterson,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,71798ea3-785b-51fa-a06d-03655bba3298,Thomas Försterson,,,Thomas Försterson,,,,försterson,Thomas Förster,
a7185225-1a36-5ba9-9f03-5713ef72c21a,,Krystof Maléø,krystof male,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,0b87283e-aa5e-52c2-a886-b48671f7c663,Krystof Maléø,,,Krystof Maléø,,,,maléø,Krystof Maler,
b204207d-3b25-5502-91d6-4911337185fc,,Alex Trenner,alex trenner,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,6b6e0b0a-92fb-521d-8244-1a22b9e28c78 | d77e8cbe-4eca-580c-b7f4-9633db22d08c,Alex Trenner,,,Alex Trenner,,,,trenner,Alex Trenne,
c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,,Eric Chang,eric chang,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,27625345-23d1-516b-931e-754d3c631309 | fefce27d-2ad5-5e05-add0-8ef60b4cf7f0,Eric Chang,,,Eric Chang,,,,chang,Eric Chan,
c939bbca-61e3-5333-b6fc-46e62ac30619,,James Deans,james deans,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,4ca6e6e7-44b7-533a-9347-b09201962845,James Deans,,,James Deans,,,,deans,James Dean,
d1aace44-cd92-5b85-9ed1-fe4afb2cd502,,Ken Somolinos,ken somolinos,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,03507ab2-52b8-5cac-9f29-2f2aac08a210 | 05b2ace6-a19e-5eb9-9f21-25d7ef65b1c4 | 0a52da90-b00e-5110-93b7-bb3f4905396b | 0edd15e1-c28c-53f2-8934-0d68ac3c4f50 | 0ef55d02-470d-567f-b1d0-8f7a3e7ae68d | 208e8cff-6a56-500a-9b8a-4ffda196790e | 31c29b20-435b-5f3d-8662-397f59fce1b9 | 612525dc-da70-5f60-b7f7-1ba1bd3eda61 | d4b9b75a-0938-522c-a8a6-b31b17eb1379 | dbb1aad8-2325-5222-8379-b212ced083cf | eb40062a-f4cb-5725-98da-49741c05dbdb,Ken Somolinos,,,Ken Somolinos,,,,somolinos,Ken Somolino,
dbb89c0f-fbb8-55e8-b8f7-27a68f6b61c0,,Élise Regreny,elise regreny,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,5bfaa339-2bcf-5a3b-8d93-fc454414ec74,Élise Regreny,,,Élise Regreny,,,,regreny,Elise Regreny,
e7a93f28-d6e9-5106-bff1-3e1c3120a7d2,,Jorden Moirs,jorden moirs,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,,Jorden Moirs,,,Jorden Moirs,,,,moirs,Jorden Moir,
ece5d70c-5b61-5d08-aa25-aeda95b1cca2,,Dave Hillis,dave hillis,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,8f62fb66-6e5b-5976-82e5-359936acca1b,Dave Hillis,,,Dave Hillis,,,,hillis,Dave Hill,
ff122e97-643d-5088-92c6-8e3c38ab4294,,Andy Ronalds,andy ronalds,2,,NEEDS_CONTEXT,UNREVIEWED,preexisting_unresolved,overrides+data,,5686cd1f-62e2-5959-8579-ebb5b68627b2,Andy Ronalds,,,Andy Ronalds,,,,ronalds,Andy Ronald,
