event_id,division_canon,prev,next,message
1323272493,Open Singles Net,10,12,Place gap: event=1323272493 div='Open Singles Net' has place 10 then 12 (missing 11–11)
1389338303,Open Singles Net,31,33,Place gap: event=1389338303 div='Open Singles Net' has place 31 then 33 (missing 32–32)
1417735560,Open Singles Net,47,49,Place gap: event=1417735560 div='Open Singles Net' has place 47 then 49 (missing 48–48)
980969461,Open Singles Net,27,29,Place gap: event=980969461 div='Open Singles Net' has place 27 then 29 (missing 28–28)
