canonical_event_id,year,normalized_event_type,event_name,location,validation_status,num_sources,source_types,sources,num_disciplines,num_placements,other_events_same_year,review_question,DECISION,DECISION_NOTES
b4b6a194e2,1986,WFA_WORLD_CHAMPIONSHIPS,1986 WFA World Championships,,CONFIRMED_MULTI_SOURCE,2,FBW|OLD_RESULTS,FBW:1986 WFA World Championships; OLD_RESULTS:1986 WFA,14,58,WORLD_CHAMPIONSHIPS (dea8d6f0),WORLD_CHAMPIONSHIPS (FBW '1986 World Footbag Championships') vs WFA_WORLD_CHAMPIONSHIPS (FBW+OLD '1986 WFA World Championships') — are these the SAME event or parallel events?,,
dea8d6f019,1986,WORLD_CHAMPIONSHIPS,1986 World Footbag Championships,"Golden, Colorado",SINGLE_SOURCE,1,FBW,FBW:1986 World Footbag Championships,2,2,WFA_WORLD_CHAMPIONSHIPS (b4b6a194),WORLD_CHAMPIONSHIPS (FBW '1986 World Footbag Championships') vs WFA_WORLD_CHAMPIONSHIPS (FBW+OLD '1986 WFA World Championships') — are these the SAME event or parallel events?,,
e753e2a15c,1987,EURO_CHAMPIONSHIPS,1987 European Footbag Championships,,SINGLE_SOURCE,1,FBW,FBW:1987 European Footbag Championships,1,1,WFA_WORLD_CHAMPIONSHIPS (8667de35); WORLD_CHAMPIONSHIPS (8a1c2820),Same year has other events (EURO_CHAMPIONSHIPS this group). Could any be the same event?,,
8667de3590,1987,WFA_WORLD_CHAMPIONSHIPS,1987 WFA World Championships,,SINGLE_SOURCE,1,FBW,FBW:1987 WFA World Championships,11,44,EURO_CHAMPIONSHIPS (e753e2a1); WORLD_CHAMPIONSHIPS (8a1c2820),"WORLD_CHAMPIONSHIPS (FBW '1987 World Footbag Championships', 3 placements) vs WFA_WORLD_CHAMPIONSHIPS (FBW '1987 WFA World Championships', 44 placements) — same event?",,
8a1c282011,1987,WORLD_CHAMPIONSHIPS,1987 World Footbag Championships,"Golden, Colorado",SINGLE_SOURCE,1,FBW,FBW:1987 World Footbag Championships,2,3,EURO_CHAMPIONSHIPS (e753e2a1); WFA_WORLD_CHAMPIONSHIPS (8667de35),"WORLD_CHAMPIONSHIPS (FBW '1987 World Footbag Championships', 3 placements) vs WFA_WORLD_CHAMPIONSHIPS (FBW '1987 WFA World Championships', 44 placements) — same event?",,
7f20a87202,1988,US_NATIONALS,1988 U.S. National Footbag Championships,"Chicago, Illinois",SINGLE_SOURCE,1,FBW,FBW:1988 U.S. National Footbag Championships,1,1,WFA_WORLD_CHAMPIONSHIPS (d272be24); WORLD_CHAMPIONSHIPS (1398fe01),Same year has other events (US_NATIONALS this group). Could any be the same event?,,
d272be24f7,1988,WFA_WORLD_CHAMPIONSHIPS,1988 WFA World Championships,,SINGLE_SOURCE,1,FBW,FBW:1988 WFA World Championships,11,44,US_NATIONALS (7f20a872); WORLD_CHAMPIONSHIPS (1398fe01),"WORLD_CHAMPIONSHIPS (FBW, 2 placements) vs WFA_WORLD_CHAMPIONSHIPS (44 placements). Also US_NATIONALS (1 placement) — complete?",,
1398fe01e4,1988,WORLD_CHAMPIONSHIPS,1988 World Footbag Championships,"Golden, Colorado",SINGLE_SOURCE,1,FBW,FBW:1988 World Footbag Championships,2,2,US_NATIONALS (7f20a872); WFA_WORLD_CHAMPIONSHIPS (d272be24),"WORLD_CHAMPIONSHIPS (FBW, 2 placements) vs WFA_WORLD_CHAMPIONSHIPS (44 placements). Also US_NATIONALS (1 placement) — complete?",,
334c632f6e,1989,WFA_WORLD_CHAMPIONSHIPS,1989 WFA World Championships,,SINGLE_SOURCE,1,FBW,FBW:1989 WFA World Championships,11,44,WORLD_CHAMPIONSHIPS (6ce90a8f),"WORLD_CHAMPIONSHIPS (IFAB, 1 placement) vs WFA_WORLD_CHAMPIONSHIPS (44 placements) — same event, different source coverage?",,
6ce90a8f5d,1989,WORLD_CHAMPIONSHIPS,1989 World Footbag Championships,"Golden, Colorado",SINGLE_SOURCE,1,IFAB,IFAB:1989 World Footbag Championships,1,1,WFA_WORLD_CHAMPIONSHIPS (334c632f),"WORLD_CHAMPIONSHIPS (IFAB, 1 placement) vs WFA_WORLD_CHAMPIONSHIPS (44 placements) — same event, different source coverage?",,
15782bd1d5,1990,WFA_WORLD_CHAMPIONSHIPS,1990 WFA World Championships,,SINGLE_SOURCE,1,FBW,FBW:1990 WFA World Championships,11,44,,Single source only. Are additional placements available elsewhere?,,
76340820ba,1991,WFA_WORLD_CHAMPIONSHIPS,1991 WFA World Championships,,SINGLE_SOURCE,1,FBW,FBW:1991 WFA World Championships,11,44,,Single source only. Are additional placements available elsewhere?,,
07e711d92a,1992,WFA_WORLD_CHAMPIONSHIPS,1992 WFA World Championships,,SINGLE_SOURCE,1,FBW,FBW:1992 WFA World Championships,11,44,,Single source only. Are additional placements available elsewhere?,,
e04899bee1,1993,IFAB_WORLD_CHAMPIONSHIPS,1993 IFAB World Championships,,SINGLE_SOURCE,1,FBW,FBW:1993 IFAB World Championships,11,44,,Single source only. Are additional placements available elsewhere?,,
b9d35c4646,1994,IFAB_WORLD_CHAMPIONSHIPS,1994 IFAB World Championships,,SINGLE_SOURCE,1,FBW,FBW:1994 IFAB World Championships,11,44,WORLD_CHAMPIONSHIPS (9bced09b),"IFAB_WORLD_CHAMPIONSHIPS (FBW, 44 placements) vs WORLD_CHAMPIONSHIPS (IFAB, 1 placement) — almost certainly the same event. Should these share a canonical ID?",,
9bced09b82,1994,WORLD_CHAMPIONSHIPS,1994 World Footbag Championships,"Palo Alto, California",SINGLE_SOURCE,1,IFAB,IFAB:1994 World Footbag Championships,1,1,IFAB_WORLD_CHAMPIONSHIPS (b9d35c46),"IFAB_WORLD_CHAMPIONSHIPS (FBW, 44 placements) vs WORLD_CHAMPIONSHIPS (IFAB, 1 placement) — almost certainly the same event. Should these share a canonical ID?",,
1faddf6c05,1995,IFAB_WORLD_CHAMPIONSHIPS,1995 IFAB World Championships,,SINGLE_SOURCE,1,FBW,FBW:1995 IFAB World Championships,11,44,,Single source only. Are additional placements available elsewhere?,,
6dc440629d,1996,IFAB_WORLD_CHAMPIONSHIPS,1996 IFAB World Championships,,SINGLE_SOURCE,1,FBW,FBW:1996 IFAB World Championships,11,44,,Single source only. Are additional placements available elsewhere?,,
