severity,sheet,event_id,event_name,discipline,placement,players,issue_type,details
HIGH,2003,2003_montreal_challenge,Montreal Footbag Challenge 2003,Intermediate Routines,"1, 3",Ontario Guelph,duplicate_player_same_event_discipline,"Appears in placements: ['1', '3']"
HIGH,2004,2004_czech,Czech Championships 2004,Open Freestyle,"5T, 7T",Martin Sladek,duplicate_player_same_event_discipline,"Appears in placements: ['5T', '7T']"
HIGH,2004,2004_czech,Czech Championships 2004,Open Freestyle,"5T, 7T",Pavel Cerveny,duplicate_player_same_event_discipline,"Appears in placements: ['5T', '7T']"
HIGH,2004,2004_jfk,JFK Net Battle,Open Singles Net Open Doubles Net,"2T, 3T",Jukka Peltola,duplicate_player_same_event_discipline,"Appears in placements: ['2T', '3T']"
HIGH,2004,2004_jfk,JFK Net Battle,Open Singles Net Open Doubles Net,"15, 6T",Teppo Harju,duplicate_player_same_event_discipline,"Appears in placements: ['15', '6T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Shred 30,"1T, 3T",Dan Reed,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '3T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Shred 30,"2T, 4T",James Randall,duplicate_player_same_event_discipline,"Appears in placements: ['2T', '4T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Shred 30,"2T, 4T",Sunny Freeman-Genz,duplicate_player_same_event_discipline,"Appears in placements: ['2T', '4T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Shred 30,"3T, 6T",Kevin Crowley,duplicate_player_same_event_discipline,"Appears in placements: ['3T', '6T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Shred 30,"5T, 6T",Dylan Johnson,duplicate_player_same_event_discipline,"Appears in placements: ['5T', '6T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Sick 3,"1T, 6T",Nate Linscott,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '6T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Sick 3,"2T, 5T",Daryl Genz,duplicate_player_same_event_discipline,"Appears in placements: ['2T', '5T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Sick 3,"3T, 4T",Jim Penske,duplicate_player_same_event_discipline,"Appears in placements: ['3T', '4T']"
HIGH,2004,2004_seattle_juggling,3rd Annual Seattle Juggling and Footbag Festival,Sick 3,"4T, 6T",Ricky Moran,duplicate_player_same_event_discipline,"Appears in placements: ['4T', '6T']"
HIGH,2004,2004_worlds_montreal,25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Singles Freestyle,"21T, 31T",Tuan Vu,duplicate_player_same_event_discipline,"Appears in placements: ['21T', '31T']"
HIGH,2005,2005_czech,Czech Footbag Championships,Intermediate Freestyle,"1T, 3T",Ales Zelinka,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '3T']"
HIGH,2005,2005_czech,Czech Footbag Championships,Intermediate Freestyle,"1T, 2T",Vaclav Klouda,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '2T']"
HIGH,2005,2005_czech,Czech Footbag Championships,Intermediate Freestyle,"2T, 3T",Honza Weber,duplicate_player_same_event_discipline,"Appears in placements: ['2T', '3T']"
HIGH,2005,2005_de_france_de,7e Open de France de Footbag,Open Singles Freestyle,"3T, 4T",Serge Kaldany,duplicate_player_same_event_discipline,"Appears in placements: ['3T', '4T']"
HIGH,2005,2005_de_france_de,7e Open de France de Footbag,Open Singles Freestyle,"4T, 6T",Stefan Siegert,duplicate_player_same_event_discipline,"Appears in placements: ['4T', '6T']"
HIGH,2006,2006_championnats_de_france,Championnats de France 2006,Freestyle,"2T, 3T",Franck Rémy,duplicate_player_same_event_discipline,"Appears in placements: ['2T', '3T']"
HIGH,2006,2006_championnats_de_france,Championnats de France 2006,Freestyle,"2T, 3T",Maxime Boucoiran,duplicate_player_same_event_discipline,"Appears in placements: ['2T', '3T']"
HIGH,2006,2006_championnats_de_france,Championnats de France 2006,Freestyle,"5T, 6T",Augustin Tiffou,duplicate_player_same_event_discipline,"Appears in placements: ['5T', '6T']"
HIGH,2006,2006_championnats_de_france,Championnats de France 2006,Freestyle,"5T, 6T",Grischa Tellenbach,duplicate_player_same_event_discipline,"Appears in placements: ['5T', '6T']"
HIGH,2006,2006_czech,Czech Footbag Championships,Net,"1T, 2T",Pavel Hejra,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '2T']"
HIGH,2006,2006_czech,Czech Footbag Championships,Net,"1T, 3T",Jan Struz,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '3T']"
HIGH,2006,2006_czech,Czech Footbag Championships,Net,"1T, 2T",Martin Huleja,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '2T']"
HIGH,2006,2006_czech,Czech Footbag Championships,Sick 3,"1T, 2T",Honza Weber,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '2T']"
HIGH,2006,2006_czech,Czech Footbag Championships,Sick 3,"1T, 2T",Vaclav Klouda,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '2T']"
HIGH,2006,2006_footbagjam,Cornell Footbag Jam,[U]Sick One[/U],"1T, 2T",David Clavens,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '2T']"
HIGH,2006,2006_footbagjam,Cornell Footbag Jam,[U]Sick One[/U],"1T, 2T",Jorden Moir,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '2T']"
HIGH,2006,2006_santa_cruz_invitational,Santa Cruz Invitational,Sick 1,"1T, 3T",Stu Sapia,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '3T']"
HIGH,2006,2006_worlds_frankfurt,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Singles Freestyle,"29T, 33T",Michal Biarda,duplicate_player_same_event_discipline,"Appears in placements: ['29T', '33T']"
HIGH,2007,2007_austrian,Austrian Footbag Championships 2007,Open Freestyle,"1T, 2T",Matthias Lino Schmidt,duplicate_player_same_event_discipline,"Appears in placements: ['1T', '2T']"
