event_id,Host Club,,,event_source
988434364,Dallas Footbag Club,,,
1737312020,DLO,,,
1235653935,DST Footbag Club Strzelin,,,
1336988107,DST Footbag Club Strzelin,,,
1181021804,Edmonton Footbag Club,,,
1208408135,Edmonton Footbag Club,,,
942013549,FC Footstar Berlin e.V.,,,
1050140930,FC Footstar Berlin e.V.,,,
1094071528,FC Footstar Berlin e.V.,,,
1100728799,FC Footstar Berlin e.V.,,,
1161167528,FC Footstar Berlin e.V.,,,
1195677906,FC Footstar Berlin e.V.,,,
1226679678,FC Footstar Berlin e.V.,,,
1254662073,FC Footstar Berlin e.V.,,,
1282224512,FC Footstar Berlin e.V.,,,
1319622692,FC Footstar Berlin e.V.,,,
1349043745,FC Footstar Berlin e.V.,,,
1377192359,FC Footstar Berlin e.V.,,,
1383076667,FC Footstar Berlin e.V.,,,
1401113913,FC Footstar Berlin e.V.,,,
1420195881,FC Footstar Berlin e.V.,,,
1446571794,FC Footstar Berlin e.V.,,,
1499025778,FC Footstar Berlin e.V.,,,
1566532030,FC Footstar Berlin e.V.,,,
1694868513,FC Footstar Berlin e.V.,,,
1019193491,Finnsta,,,
1027925383,Finnsta,,,
1362657553,FlyD,,,
1337617980,Footbag Dresden e.V.,,,
1241031822,Footbag Empire,,,
1427144456,FOOTBAG ERIE,,,
1447494731,FOOTBAG ERIE,,,
1489248474,FOOTBAG ERIE,,,
1502997442,FOOTBAG ERIE,,,
1529239199,FOOTBAG ERIE,,,
1664206719,FOOTBAG ERIE,,,
1518200935,Footbag Kranj,,,
1137937282,Footbag Litomerice,,,
1183654670,Footbag Medellin,,,
1346947092,Footbag Medellin,,,
1346948712,Footbag Medellin,,,
1527557123,Footbag Medellin,,,
1537994275,Footbag Medellin,,,
1549597969,Footbag Medellin,,,
1678957450,Footbag Medellin,,,
1730420667,Footbag Medellin,,,
1760495074,Footbag Medellin,,,
1733755410,Footbag Net Caracas,,,
1392497284,Footbag Ostrava,,,
1226205667,Footbag T?chira Venezuela,,,
1267469140,Footbag T?chira Venezuela,,,
1285989828,Footbag T?chira Venezuela,,,
1301104070,Footbag T?chira Venezuela,,,
1314328055,Footbag T?chira Venezuela,,,
1335761071,Footbag T?chira Venezuela,,,
1348929718,Footbag T?chira Venezuela,,,
1361239371,Footbag T?chira Venezuela,,,
1361239920,Footbag T?chira Venezuela,,,
1378928859,Footbag T?chira Venezuela,,,
1052775366,FootbagDenmark,,,
1079605499,FootbagDenmark,,,
1157398732,FootbagDenmark,,,
1417735560,FootbagDenmark,,,
996678489,Footbag-Vienna,,,
1110562712,Footbag-Vienna,,,
1154685554,Footbag-Vienna,,,
1284588517,Footbag-Vienna,,,
1318673467,Footbag-Vienna,,,
1382778441,Footbag-Vienna,,,
1445178271,Footbag-Vienna,,,
1473932659,Footbag-Vienna,,,
1498568502,Footbag-Vienna,,,
1536221908,Footbag-Vienna,,,
1575361225,Footbag-Vienna,,,
1297811412,Footbayerzy Footbag Club Nowe Miasto,,,
1050067583,Footcraft,,,
1080896073,Footcraft,,,
1097785506,Footcraft,,,
1109802420,Footcraft,,,
1124035486,Footcraft,,,
1141576257,Footcraft,,,
1161871029,Footcraft,,,
1177615498,Footcraft,,,
1208345952,Footcraft,,,
1220519679,Footcraft,,,
1240469006,Footcraft,,,
1254829577,Footcraft,,,
1271275118,Footcraft,,,
1287439208,Footcraft,,,
1302874713,Footcraft,,,
1335898356,Footcraft,,,
1362915311,Footcraft,,,
1389338303,Footcraft,,,
1431288258,Footcraft,,,
1081766954,FOOTFORCE Moscow,,,
1092044099,FOOTFORCE Moscow,,,
1093955766,FOOTFORCE Moscow,,,
979816633,FreeStall,,,
1466942562,Freestyle Fanatics,,,
1258513500,Fundaci?n Footbag Colombia - IFC,,,
1185556078,gravityfighters Linz,,,
1344593549,gravityfighters Linz,,,
1124840254,Hackrifice,,,
1156283186,Hackrifice,,,
1188233129,Hackrifice,,,
1208064566,Hackrifice,,,
1257621700,Hamburg Footkings e.V.,,,
1028218784,Houston Skyliners Footbag Club,,,
1080757998,Houston Skyliners Footbag Club,,,
1189977929,Houston Skyliners Footbag Club,,,
1235253768,Houston Skyliners Footbag Club,,,
1268191383,Houston Skyliners Footbag Club,,,
1572864719,"Hradec Kr""lov"" Footbag Club",,,
1595872698,"Hradec Kr""lov"" Footbag Club",,,
1628024472,"Hradec Kr""lov"" Footbag Club",,,
1649326445,"Hradec Kr""lov"" Footbag Club",,,
1695501837,"Hradec Kr""lov"" Footbag Club",,,
1722339396,"Hradec Kr""lov"" Footbag Club",,,
1745298933,"Hradec Kr""lov"" Footbag Club",,,
1030830356,Icarus Footbag,,,
1064849293,Icarus Footbag,,,
1090569022,Icarus Footbag,,,
1148374547,Icarus Footbag,,,
1177512537,Icarus Footbag,,,
1199106237,Icarus Footbag,,,
1212406878,Icarus Footbag,,,
1277805979,Icarus Footbag,,,
959353403,Idaho State University Footbag Club,,,
1467142686,Jaworzno Footbag Club,,,
1646855336,Jaworzno Footbag Club,,,
1751568193,Jaworzno Footbag Club,,,
1132511088,"Jyv""skyl""n Footbag-klubi",,,
1083699966,"Jyv""skyl""n Footbag-klubi, JFK",,,
1142360459,"Jyv""skyl""n Footbag-klubi, JFK",,,
1173606489,"Jyv""skyl""n Footbag-klubi, JFK",,,
1180373807,"Jyv""skyl""n Footbag-klubi, JFK",,,
1202118857,"Jyv""skyl""n Footbag-klubi, JFK",,,
1205552627,"Jyv""skyl""n Footbag-klubi, JFK",,,
1221506867,"Jyv""skyl""n Footbag-klubi, JFK",,,
1235504528,"Jyv""skyl""n Footbag-klubi, JFK",,,
1242210886,"Jyv""skyl""n Footbag-klubi, JFK",,,
1269860787,"Jyv""skyl""n Footbag-klubi, JFK",,,
1280002674,"Jyv""skyl""n Footbag-klubi, JFK",,,
1298063977,"Jyv""skyl""n Footbag-klubi, JFK",,,
1302802291,"Jyv""skyl""n Footbag-klubi, JFK",,,
1329044785,"Jyv""skyl""n Footbag-klubi, JFK",,,
1358964427,"Jyv""skyl""n Footbag-klubi, JFK",,,
941418343,Kitsilano Footbag Association,,,
990905420,Kitsilano Footbag Association,,,
1180496320,Kitsilano Footbag Association,,,
1245199707,Kitsilano Footbag Association,,,
1310408325,Kitsilano Footbag Association,,,
1337309613,Kitsilano Footbag Association,,,
1137942486,Les Pieds ? Gilles,,,
1245404642,Les Pieds ? Gilles,,,
1299019355,Les Pieds ? Gilles,,,
1370276202,Les Pieds ? Gilles,,,
1407335213,Les Pieds ? Gilles,,,
1438626750,Les Pieds ? Gilles,,,
1466891959,Les Pieds ? Gilles,,,
1488957997,Les Pieds ? Gilles,,,
1533246739,Les Pieds ? Gilles,,,
1565425638,Les Pieds ? Gilles,,,
1709070838,Les Pieds ? Gilles,,,
1740419380,Les Pieds ? Gilles,,,
1406219099,Lubacz?w Footbag Club,,,
1139778550,Ma?ana Footbag Club,,,
1268338685,Madrid Footbag Club,,,
1293877917,Madrid Footbag Club,,,
1623054449,Madrid Footbag Club,,,
1185458086,Maniac Footbag Team,,,
1282647603,Maniac Footbag Team,,,
1473853257,Maniac Footbag Team,,,
1531284609,Maniac Footbag Team,,,
1567551985,Maniac Footbag Team,,,
1624971880,Maniac Footbag Team,,,
1645025950,Maniac Footbag Team,,,
1646387871,Maniac Footbag Team,,,
1697391704,Maniac Footbag Team,,,
1727756195,Maniac Footbag Team,,,
1153345992,Memphis Footworks,,,
1167422711,Memphis Footworks,,,
1201811757,Memphis Footworks,,,
1218721346,Memphis Footworks,,,
1226549669,Memphis Footworks,,,
1264098849,Memphis Footworks,,,
1294779128,Memphis Footworks,,,
1315451053,Memphis Footworks,,,
1323980691,Memphis Footworks,,,
1357234775,Memphis Footworks,,,
1454371285,Memphis Footworks,,,
1485967222,Memphis Footworks,,,
1520348349,Memphis Footworks,,,
1557331196,Memphis Footworks,,,
1028233308,MIDWEST FOOTBAG ASSOCIATION,,,
1061212821,MIDWEST FOOTBAG ASSOCIATION,,,
1157942368,MIDWEST FOOTBAG ASSOCIATION,,,
1189657133,MIDWEST FOOTBAG ASSOCIATION,,,
1212769063,MIDWEST FOOTBAG ASSOCIATION,,,
1255269216,MIDWEST FOOTBAG ASSOCIATION,,,
1285506605,MIDWEST FOOTBAG ASSOCIATION,,,
1143172220,Ministry of Silly Walks,,,
1173467292,Missoula Footbag Alliance,,,
1125004188,Nashville Kicks,,,
1133888413,Nashville Kicks,,,
1155788760,Nashville Kicks,,,
1190256479,New York Footbag Association,,,
1201396433,New York Footbag Association,,,
1273248665,New York Footbag Association,,,
1337623340,New York Footbag Association,,,
1367327351,New York Footbag Association,,,
1405875596,New York Footbag Association,,,
