event_id,parsed_total_places,parsed_divisions
1286381599,57,5
1286644859,20,4
1287439208,4,1
1287703732,8,1
1288096032,79,11
1290861524,30,2
1293877677,381,22
1293877917,140,18
1293878155,27,4
1294262550,111,8
1294779128,20,2
1295120951,66,10
1295262886,10,2
1295842442,62,8
1297811412,154,11
1297909685,37,5
1298063977,11,1
1298627369,93,8
1299019355,41,3
1299532552,36,4
1300316952,28,2
1301104070,11,1
1301243982,19,2
1301675662,45,5
1301837216,11,1
1301837824,23,2
1301958487,21,7
1302802291,21,2
1302874713,16,2
1305581560,27,2
1310408325,27,5
1311699287,36,3
1313351184,30,8
1314229545,21,4
1314323534,73,9
1314328055,19,2
1315451053,4,1
1316280393,64,8
1318673467,45,4
1319622692,52,5
1320232300,24,2
1320803601,46,7
1321368279,27,2
1321869570,39,6
1323272493,330,18
1323980691,21,2
1325504349,17,1
1326451143,6,1
1327693335,11,2
1328094862,143,10
1329044785,12,2
1329132977,84,14
1330833781,29,2
1330902233,43,6
1331667371,35,2
1333483324,15,2
1335148163,33,4
1335381794,25,2
1335761071,32,2
1335898356,10,2
1336988107,109,14
1337309613,37,5
1337327565,25,2
1337617980,93,10
1337623340,36,5
1338821785,10,2
1339389008,51,4
1344519313,7,1
1344593549,52,8
1344933824,29,5
1346947092,30,7
1346948712,22,3
1347475695,23,2
1348171585,4,1
1348929718,24,2
1349043745,82,7
1353085933,15,2
1353223688,48,6
1353380057,31,3
1354752474,119,15
1357101984,38,7
1357206898,34,5
1357231609,20,2
1357234775,16,2
1357642226,22,1
1358271250,40,5
1358964427,6,1
1360305756,16,2
1361207019,199,16
1361239371,16,2
1361239920,21,2
1362598500,34,3
1362657553,54,4
1362915311,15,2
1363551565,20,2
1366240051,19,2
1366375326,34,4
1367327351,20,4
1368559562,39,2
1369141018,11,2
1369864929,7,1
1370276202,35,3
1371821574,37,4
1374570632,63,7
1376036018,115,13
1377192359,49,7
1378666423,47,7
1378821205,27,2
1378928859,19,2
1379414806,17,3
1382778441,38,7
1383076667,33,2
1386623061,62,12
1389338303,88,6
1389613723,15,3
1389730147,36,5
1391176125,12,2
1391189882,246,18
1392497284,4,1
1393451254,23,3
1393501611,14,1
1394621886,5,1
1394742347,25,3
1394773593,39,5
1399929003,10,2
1401113913,22,3
1401624489,12,2
1403287103,18,2
1404123889,11,2
1405875596,56,8
1406219099,80,19
1407335213,46,5
1408070192,10,6
1412859519,22,2
1413607134,28,2
1415986036,22,4
1417000778,13,2
1417735560,273,21
1417958417,58,3
1418127354,25,3
1420195881,24,2
1421069713,11,2
1421271111,19,2
1422386917,16,2
1423020874,40,2
1425372477,35,7
1427144456,10,2
1430582557,25,2
1430596760,8,2
1431288258,10,2
1432901754,25,2
1435110091,33,8
1435784719,36,2
1436878168,37,4
1438626750,38,6
1439332196,58,12
1444911632,62,8
1445178271,16,3
1446571794,27,2
1447494731,12,3
1449217972,8,1
1449259560,177,13
1453384342,15,3
1454371285,6,2
1455047000,13,2
1458125752,12,2
1458170459,8,1
1458772302,38,7
1459426362,30,2
1460640850,96,10
1461077179,5,1
1463511970,18,2
1464967908,23,7
1466891959,25,3
1466942562,48,6
1467142686,51,9
1471407009,5,1
1471686537,125,14
1473853257,40,5
1473932659,23,5
1485520697,12,2
1485863923,99,11
1485967222,13,2
1485970612,17,2
1486654923,7,1
1487797845,165,11
1487800738,6,1
1488957997,44,5
1489248474,11,2
1492354286,14,2
1497678985,27,2
1498568502,15,2
1499025778,71,6
1499168069,13,2
1502929111,20,6
1502997442,24,3
1509295388,9,2
1509295589,8,2
1515176008,12,2
1516978874,13,1
1518200935,101,10
1519215398,161,16
1519233007,12,2
1520348349,10,2
1520596747,18,2
1524683077,21,6
1526035381,8,1
1526583313,6,1
1526588580,34,3
1527557123,14,3
1529239199,48,10
1531284609,96,11
1531311472,15,2
1533246739,37,6
1536221908,23,3
1537521152,19,5
1537994275,19,4
1539024211,16,3
1547415984,284,22
1547720079,22,2
1549597969,14,3
1551207285,9,1
1552865692,32,8
1555631351,47,7
1556306551,30,3
1556730450,3,1
1557144269,12,2
1557331196,5,2
1564005204,4,1
1565425638,31,5
1566500647,10,2
1566532030,65,7
1567551985,71,13
1568289502,12,2
1568692191,17,5
1568961264,35,3
1572864719,7,2
1574365921,4,1
1575361225,5,1
1576342966,17,4
1580328152,6,2
1584223469,3,1
1593340253,4,1
1595872698,12,2
1596587110,19,6
1598616506,8,1
1600984774,44,6
1614772897,8,2
1617902706,5,1
1623054449,27,4
1624971880,37,2
1625854837,11,4
1628024472,10,2
1628025574,26,3
1628025851,21,3
1628596712,2,1
1634665636,36,7
1634938934,4,1
1635599636,10,2
1643478787,9,2
1645025950,9,2
1645621833,6,1
1646387871,120,13
1646855336,51,3
1647508742,26,4
1649177702,17,4
1649326445,7,2
1653152207,18,3
1653647467,4,1
1657486956,4,1
1664206719,30,7
1667566506,13,2
1668541701,47,6
1669556651,4,1
1673723574,10,2
1677285621,12,2
1677937557,11,1
1678957450,142,15
1686926080,29,3
1688144863,19,4
1690897570,3,1
1692508794,6,2
1694170899,85,8
1694868513,26,3
1695501837,10,2
