event_id,city_canon,state_canon,country_canon,country_iso3,,,,,notes
1623054449, ,, ,,,,,,
857880054,Australia,,Australia,AUS,,,,,
1233718528,NSW,,Australia,AUS,,,,,
1238728089,NSW,,Australia,AUS,,,,,
987985282,Queensland,,Australia,AUS,,,,,
1025084282,Queensland,,Australia,AUS,,,,,
1032602594,Victoria,,Australia,AUS,,,,,
1061453080,Victoria,,Australia,AUS,,,,,
1121753561,Victoria,,Australia,AUS,,,,,
996293200,Wales,,Australia,AUS,,,,,
1035817350,Wales,,Australia,AUS,,,,,
1185556078,Linz,,Austria,AUT,,,,,
1344593549,Linz,,Austria,AUT,,,,,
1245432804,Neustadt,,Austria,AUT,,,,,
1110562712,Podersdorf,,Austria,AUT,,,,,
996678489,Vienna,,Austria,AUT,,,,,
1154685554,Vienna,,Austria,AUT,,,,,
1284588517,Vienna,,Austria,AUT,,,,,
1318673467,Vienna,,Austria,AUT,,,,,
1382778441,Vienna,,Austria,AUT,,,,,
1445178271,Vienna,,Austria,AUT,,,,,
1473932659,Vienna,,Austria,AUT,,,,,
1498568502,Vienna,,Austria,AUT,,,,,
1536221908,Vienna,,Austria,AUT,,,,,
1575361225,Wien,,Austria,AUT,,,,,
1628596712,Bilbao,,Basque Country,,,,,,
1564005204,Bizkaia,,Basque Country,,,,,,
1574365921,Bizkaia,,Basque Country,,,,,,
1584223469,Bizkaia,,Basque Country,,,,,,
1593340253,Bizkaia,,Basque Country,,,,,,
1598616506,Bizkaia,,Basque Country,,,,,,
1617902706,Bizkaia,,Basque Country,,,,,,
1634938934,Bizkaia,,Basque Country,,,,,,
1645621833,Bizkaia,,Basque Country,,,,,,
1653647467,Bizkaia,,Basque Country,,,,,,
1657486956,Bizkaia,,Basque Country,,,,,,
1669556651,Bizkaia,,Basque Country,,,,,,
1677285621,Bizkaia,,Basque Country,,,,,,
1690897570,Bizkaia,,Basque Country,,,,,,
1721817655,Bizkaia,,Basque Country,,,,,,
1721923932,Bizkaia,,Basque Country,,,,,,
1728384115,Bizkaia,,Basque Country,,,,,,
1742511366,Bizkaia,,Basque Country,,,,,,
1752525121,Bizkaia,,Basque Country,,,,,,
1765581778,Bizkaia,,Basque Country,,,,,,
1556730450,Vizcaya,,Basque Country,,,,,,
1269266785,Ixelles,,Belgium,BEL,,,,,
1568289502,Bulgaria,,Bulgaria,,,,,,
1580328152,Bulgaria,,Bulgaria,,,,,,
1369141018,Burgas,,Bulgaria,,,,,,
1404123889,Burgas,,Bulgaria,,,,,,
1417958417,Sofia,,Bulgaria,,,,,,
1519215398,Sofia,,Bulgaria,,,,,,
1260517364,Zagora,,Bulgaria,,,,,,
1262631137,Zagora,,Bulgaria,,,,,,
1267996189,Zagora,,Bulgaria,,,,,,
1393451254,Zagora,,Bulgaria,,,,,,
1421069713,Zagora,,Bulgaria,,,,,,
1458125752,Zagora,,Bulgaria,,,,,,
1487800738,Zagora,,Bulgaria,,,,,,
1499168069,Zagora,,Bulgaria,,,,,,
1519233007,Zagora,,Bulgaria,,,,,,
1614772897,Zagora,,Bulgaria,,,,,,
1673723574,Zagora,,Bulgaria,,,,,,
1692508794,Zagora,,Bulgaria,,,,,,
1711181388,Zagora,,Bulgaria,,,,,,
1711182054,Zagora,,Bulgaria,,,,,,
1739036206,Zagora,,Bulgaria,,,,,,
1756448770,Zagora,,Bulgaria,,,,,,
1022992222,Alberta,,Canada,CAN,,,,,
1036653244,Alberta,,Canada,CAN,,,,,
1151949245,Alberta,,Canada,CAN,,,,,
1181021804,Alberta,,Canada,CAN,,,,,
1208408135,Alberta,,Canada,CAN,,,,,
886044392,B.C.,,Canada,CAN,,,,,
919703711,B.C.,,Canada,CAN,,,,,
857881519,B.C.,,Canada,CAN,,,,,
941418343,B.C.,,Canada,CAN,,,,,
990905420,B.C.,,Canada,CAN,,,,,
1034985978,B.C.,,Canada,CAN,,,,,
1079664495,B.C.,,Canada,CAN,,,,,
1180496320,B.C.,,Canada,CAN,,,,,
1245199707,B.C.,,Canada,CAN,,,,,
1310408325,B.C.,,Canada,CAN,,,,,
1337309613,B.C.,,Canada,CAN,,,,,
1278991986,Columbia,,Canada,CAN,,,,,
1124840254,Manitoba,,Canada,CAN,,,,,
1156283186,Manitoba,,Canada,CAN,,,,,
1188233129,Manitoba,,Canada,CAN,,,,,
1208064566,Manitoba,,Canada,CAN,,,,,
1556306551,Montreal,,Canada,CAN,,,,,
1746737817,Quebec,,Canada,CAN,,,,,
883135865,Quebec,,Canada,CAN,,,,,
1044952105,Quebec,,Canada,CAN,,,,,
1065478531,Quebec,,Canada,CAN,,,,,
1107289556,Quebec,,Canada,CAN,,,,,
1107290435,Quebec,,Canada,CAN,,,,,
1170456736,Quebec,,Canada,CAN,,,,,
1179874637,Quebec,,Canada,CAN,,,,,
1204006435,Quebec,,Canada,CAN,,,,,
1204009603,Quebec,,Canada,CAN,,,,,
1206161350,Quebec,,Canada,CAN,,,,,
1234761224,Quebec,,Canada,CAN,,,,,
1267920908,Quebec,,Canada,CAN,,,,,
1287703732,Quebec,,Canada,CAN,,,,,
1327693335,Quebec,,Canada,CAN,,,,,
1230850031,Quebec,,Canada,CAN,,,,,
1239056543,Quebec,,Canada,CAN,,,,,
1269111845,Quebec,,Canada,CAN,,,,,
1272817638,Quebec,,Canada,CAN,,,,,
1301837216,Quebec,,Canada,CAN,,,,,
1301837824,Quebec,,Canada,CAN,,,,,
1337327565,Quebec,,Canada,CAN,,,,,
1361207019,Quebec,,Canada,CAN,,,,,
1362598500,Quebec,,Canada,CAN,,,,,
1403287103,Quebec,,Canada,CAN,,,,,
1430596760,Quebec,,Canada,CAN,,,,,
1463511970,Quebec,,Canada,CAN,,,,,
859400929,Quebec,,Canada,CAN,,,,,
876591529,Quebec,,Canada,CAN,,,,,
916193231,Quebec,,Canada,CAN,,,,,
919885513,Quebec,,Canada,CAN,,,,,
952906680,Quebec,,Canada,CAN,,,,,
961626997,Quebec,,Canada,CAN,,,,,
972427576,Quebec,,Canada,CAN,,,,,
984694623,Quebec,,Canada,CAN,,,,,
991285803,Quebec,,Canada,CAN,,,,,
1011291051,Quebec,,Canada,CAN,,,,,
1039550946,Quebec,,Canada,CAN,,,,,
1045628278,Quebec,,Canada,CAN,,,,,
1069929277,Quebec,,Canada,CAN,,,,,
1146843672,Quebec,,Canada,CAN,,,,,
1172931308,Quebec,,Canada,CAN,,,,,
1237771561,Quebec,,Canada,CAN,,,,,
1250478677,Quebec,,Canada,CAN,,,,,
1485970612,Quebec,,Canada,CAN,,,,,
1526588580,Quebec,,Canada,CAN,,,,,
1628025574,Quebec,,Canada,CAN,,,,,
1628025851,Quebec,,Canada,CAN,,,,,
1653152207,Quebec,,Canada,CAN,,,,,
1686926080,Quebec,,Canada,CAN,,,,,
1706036811,Quebec,,Canada,CAN,,,,,
1719166875,Quebec,,Canada,CAN,,,,,
988325277,Saskatchewan,,Canada,CAN,,,,,
948943299,Arica,,Chile,CHL,,,,,
977260894,Arica,,Chile,CHL,,,,,
1183654670,Antioquia,,Colombia,,,,,,
1346947092,Antioquia,,Colombia,,,,,,
1346948712,Antioquia,,Colombia,,,,,,
1399929003,Antioquia,,Colombia,,,,,,
1515176008,Antioquia,,Colombia,,,,,,
1527557123,Antioquia,,Colombia,,,,,,
1537994275,Antioquia,,Colombia,,,,,,
1549597969,Antioquia,,Colombia,,,,,,
1568692191,Antioquia,,Colombia,,,,,,
1730420667,Antioquia,,Colombia,,,,,,
1760495074,Antioquia,,Colombia,,,,,,
1296449468,Atlantico,,Colombia,,,,,,
1258513500,Cundinamarca,,Colombia,,,,,,
1678957450,Medellin,,Colombia,,,,,,
1695501837, ,,Czech Republic,CZE,,,,,
1379414806,Brno,,Czech Republic,CZE,,,,,
1722339396,Byst,,Czech Republic,CZE,,,,,
1745298933,Byst,,Czech Republic,CZE,,,,,
1295262886,Ko¹íøe,,Czech Republic,CZE,,,,,
1286644859,Králové,,Czech Republic,CZE,,,,,
1595872698,Kralove,,Czech Republic,CZE,,,,,
1628024472,Kralove,,Czech Republic,CZE,,,,,
1649326445,Kralove,,Czech Republic,CZE,,,,,
1137937282,Litomerice,,Czech Republic,CZE,,,,,
1392497284,Ostrava,,Czech Republic,CZE,,,,,
980502839,Prague,,Czech Republic,CZE,,,,,
1035277529,Prague,,Czech Republic,CZE,,,,,
1092073845,Prague,,Czech Republic,CZE,,,,,
1168634226,Prague,,Czech Republic,CZE,,,,,
1194517448,Prague,,Czech Republic,CZE,,,,,
1196344513,Prague,,Czech Republic,CZE,,,,,
1293878155,Prague,,Czech Republic,CZE,,,,,
1389730147,Prague,,Czech Republic,CZE,,,,,
944242404,Praha,,Czech Republic,CZE,,,,,
1018812342,Praha,,Czech Republic,CZE,,,,,
1070734498,Praha,,Czech Republic,CZE,,,,,
1231432184,Praha,,Czech Republic,CZE,,,,,
1255335697,Praha,,Czech Republic,CZE,,,,,
1262691385,Praha,,Czech Republic,CZE,,,,,
1321869570,Praha,,Czech Republic,CZE,,,,,
1326451143,Praha,,Czech Republic,CZE,,,,,
1357206898,Praha,,Czech Republic,CZE,,,,,
1114277529,Praha,,Czech Republic,CZE,,,,,
1228946926,Praha,,Czech Republic,CZE,,,,,
1415986036,Praha,,Czech Republic,CZE,,,,,
1526583313,Tabor,,Czech Republic,CZE,,,,,
1635599636,Tabor,,Czech Republic,CZE,,,,,
1667566506,Tabor,,Czech Republic,CZE,,,,,
1699709080,Tabor,,Czech Republic,CZE,,,,,
1728058298,Tabor,,Czech Republic,CZE,,,,,
1759558836,Tabor,,Czech Republic,CZE,,,,,
1572864719,,,Czech Republic,CZE,,,,,Only country present; site(s) TBA
1052775366,Copenhagen,,Denmark,DNK,,,,,
1079605499,Copenhagen,,Denmark,DNK,,,,,
1157398732,Copenhagen,,Denmark,DNK,,,,,
1378666423,Copenhagen,,Denmark,DNK,,,,,
1417735560,Copenhagen,,Denmark,DNK,,,,,
