event_key,legacy_event_id,year,event_name,orig_city,orig_region,orig_country,new_city,new_region,new_country,changed,rules_applied
2007-funtastik-summer-classic-harrisburg-usa,1182542776,2007,Funtastik Summer Classic,Harrisburg,Pennsylvania,United States,Harrisburg,Pennsylvania,United States,no,
2007-championships-aachen-germany,1179679872,2007,German Footbag Championships 2007,Aachen,North Rhine-Westphalia,Germany,Aachen,North Rhine-Westphalia,Germany,no,
2007-lhivernal-2007-2007-montreal-canada,1170456736,2007,"L'Hivernal 2007, The 2007 Windchill",Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2007-montreal-spring-jam-montreal-canada,1172931308,2007,Montreal Spring Jam 2,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2007-rnh-contest-2007-paris-france,1166622628,2007,RNH Contest 2007,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2007-russian-jam-saint-petersburg-russia,1192722292,2007,Russian Footbag Freestyle Jam,Saint Petersburg,,Russia,Saint Petersburg,,Russia,no,
2007-santa-cruz-soul-santa-cruz-usa,1172562114,2007,Santa Cruz Soul Jam,Santa Cruz,California,United States,Santa Cruz,California,United States,no,
2007-shercle-session-3-vinni-estonia,1172329753,2007,Shercle Session #3 - Estonian Footbag Camp,Vinni,Harjumaa,Estonia,Vinni,Harjumaa,Estonia,no,
2007-shredmonton-assembly-2007-edmonton-canada,1181021804,2007,ShrEdmonton Freestyle Assembly 2007,Edmonton,Alberta,Canada,Edmonton,Alberta,Canada,no,
2007-texas-statewide-tournament-austin-usa,1176844933,2007,Texas Statewide Footbag Tournament 2007,Austin,Texas,United States,Austin,Texas,United States,no,
2007-open-winnipeg-canada,1188233129,2007,The 9th Hackrifice Open 2007,Winnipeg,Manitoba,Canada,Winnipeg,Manitoba,Canada,no,
2007-green-cup-2007-san-francisco-usa,1164845982,2007,The Green Cup 2007 - Presented By Chaos,San Francisco,California,United States,San Francisco,California,United States,no,
2007-todexon-8-prague-czech-republic,1168634226,2007,Todexon 8,Prague,,Czech Republic,Prague,,Czech Republic,no,
2007-zocha-jam-2007-wroc-aw-poland,1195773772,2007,Zocha Jam 2007,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2008-open-paris-france,1222687523,2008,10e Open de France de Footbag,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2008-championships-montpellier-france,1199106237,2008,10th Annual IFPA European Footbag Championships,Montpellier,Occitanie,France,Montpellier,Occitanie,France,no,
2008-worlds-prague-czech-republic,1194517448,2008,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,Prague,,Czech Republic,Prague,,Czech Republic,no,
2008-championships-houston-usa,1189977929,2008,2008 Southern Regional Footbag Championships,Houston,Texas,United States,Houston,Texas,United States,no,
2008-championships-chicago-usa,1212769063,2008,24th Annual Midwest Regional Footbag Championships,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2008-championships-san-crist-bal-venezuela,1226205667,2008,2nd IFPA South American Footbag Championships,San Cristóbal,Táchira,Venezuela,San Cristóbal,Táchira,Venezuela,no,
2008-5th-annual-jfk-jyv-skyl-finland,1205552627,2008,5th Annual JFK Net Battle,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2008-championships-warsaw-poland,1219405634,2008,8th Annual Polish Footbag Championships 2008,Warsaw,Masovian,Poland,Warsaw,Masovian,Poland,no,
2008-open-turku-finland,1208345952,2008,9th Annual Turku Open,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2008-commalamaison-contest-2008-paris-france,1203604560,2008,CommALaMaison Contest 2008,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2008-championships-prague-czech-republic,1228946926,2008,Czech Footbag Championships,Prague,,Czech Republic,Prague,,Czech Republic,no,
2008-championships-silver-spring-usa,1220466807,2008,East Coast Footbag Championships,Silver Spring,Maryland,United States,Silver Spring,Maryland,United States,no,
2008-fc-footstars-10th-berlin-germany,1195677906,2008,FC Footstar's 10th anniversary,Berlin,,Germany,Berlin,,Germany,no,
2008-championships-helsinki-finland,1226938152,2008,Finnish Footbag Championships,Helsinki,Uusimaa,Finland,Helsinki,Uusimaa,Finland,no,
2008-championships-naantali-finland,1220519679,2008,Finnish Footbag Singles Net Championships,Naantali,Southwest Finland,Finland,Naantali,Southwest Finland,Finland,no,
2008-championships-marseille-france,1212406878,2008,French Footbag Championships 2008,Marseille,Provence-Alpes-Côte d'Azur,France,Marseille,Provence-Alpes-Côte d'Azur,France,no,
2008-funtastik-summer-classic-harrisburg-usa,1216058526,2008,Funtastik Summer Classic Footbag Tournament,Harrisburg,Pennsylvania,United States,Harrisburg,Pennsylvania,United States,no,
2008-greater-rochester-area-rochester-usa,1200325415,2008,Greater Rochester Area Shred Symposium 2008,Rochester,New York,United States,Rochester,New York,United States,no,
2008-jfk-fall-fury-jyv-skyl-finland,1221506867,2008,JFK Fall Fury,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2008-jfk-march-mayhem-jyv-skyl-finland,1202118857,2008,JFK March Mayhem,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2008-memphicago-kick-volley-salem-usa,1218721346,2008,Memphicago Kick Volley Challenge 1,Salem,Illinois,United States,Salem,Illinois,United States,no,
2008-montreal-spring-jam-montreal-canada,1206161350,2008,Montreal Spring Jam 3,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2008-open-phoenix-usa,1189467124,2008,Phoenix Open,Phoenix,Arizona,United States,Phoenix,Arizona,United States,no,
2008-rnh-contest-2008-paris-france,1204904987,2008,RNH Contest 2008,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2008-second-annual-nyfa-new-york-usa,1201396433,2008,Second Annual NYFA Freestyle Symposium,New York,,United States,New York,,United States,no,
2008-shredmonton-assembly-2008-edmonton-canada,1208408135,2008,ShrEdmonton Freestyle Assembly 2008,Edmonton,Alberta,Canada,Edmonton,Alberta,Canada,no,
2008-shred-for-savvy-college-park-usa,1202444182,2008,Shred for Savvy,College Park,Maryland,United States,College Park,Maryland,United States,no,
2008-socali-jam-08-san-diego-usa,1200725314,2008,SoCali Jam 08,San Diego,California,United States,San Diego,California,United States,no,
2008-championships-memphis-usa,1201811757,2008,Southeastern Net Championships,Memphis,Tennessee,United States,Memphis,Tennessee,United States,no,
2008-texas-statewide-tournament-austin-usa,1216849705,2008,Texas Statewide Tournament 2008,Austin,Texas,United States,Austin,Texas,United States,no,
2008-open-winnipeg-canada,1208064566,2008,The 10th Annual Hackrifice Open Footbag Championship,Winnipeg,Manitoba,Canada,Winnipeg,Manitoba,Canada,no,
2008-2008-green-cup-san-francisco-usa,1195585401,2008,The 2008 Green Cup Presented by Chaos,San Francisco,California,United States,San Francisco,California,United States,no,
2008-championships-montreal-canada,1204009603,2008,The 2008 Pro Kicker Montreal Footbag Championships,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2008-2008-pro-kicker-montreal-canada,1204006435,2008,The 2008 Pro Kicker Windchill,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2008-2008-second-city-chicago-usa,1216742033,2008,The 2008 Second City Cup presented by CLCK,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2008-2008-windy-city-chicago-usa,1203102773,2008,The 2008 Windy City Cup,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2008-todexon-9-prague-czech-republic,1196344513,2008,Todexon 9,Prague,,Czech Republic,Prague,,Czech Republic,no,
2008-us-open-portland-usa,1193783964,2008,U.S. Open Footbag Championships,Portland,Oregon,United States,Portland,Oregon,United States,no,
2008-zocha-jam-2008-wroc-aw-poland,1224962900,2008,Zocha Jam 2008,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2009-mud-island-belt-memphis-usa,1226549669,2009,"""The Mud Island Belt"" 2009 presented by Memphis Footworks",Memphis,Tennessee,United States,Memphis,Tennessee,United States,no,
2009-championships-strzelin-poland,1235653935,2009,11th Annual IFPA European Footbag Championships - Strzelin,Strzelin,Lower Silesian,Poland,Strzelin,Lower Silesian,Poland,no,
2009-championships-college-park-usa,1252110023,2009,2009 East-Coast Footbag Championships,College Park,Maryland,United States,College Park,Maryland,United States,no,
2009-championships-nantes-france,1241011525,2009,2009 French Footbag Championships,Nantes,Pays de la Loire,France,Nantes,Pays de la Loire,France,no,
2009-2009-green-cup-san-francisco-usa,1232474501,2009,2009 Green Cup Presented by Chaos,San Francisco,California,United States,San Francisco,California,United States,no,
2009-championships-houston-usa,1235253768,2009,2009 Southern Regional Footbag Championships,Houston,Texas,United States,Houston,Texas,United States,no,
2009-us-open-portland-usa,1231286017,2009,2009 U.S. Open Footbag Net Championships,Portland,Oregon,United States,Portland,Oregon,United States,no,
2009-us-open-vancouver-usa,1233299407,2009,2009 U.S. Open Freestyle Footbag Championships,Vancouver,Washington,United States,Vancouver,Washington,United States,no,
2009-2009-windy-city-chicago-usa,1229435305,2009,2009 Windy City Cup presented by CLCK,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2009-2009-winter-buce-sydney-australia,1238728089,2009,2009 Winter Buce League,Sydney,New South Wales,Australia,Sydney,New South Wales,Australia,no,
2009-open-vancouver-canada,1245199707,2009,22nd Annual Vancouver Open Footbag Tournament,Vancouver,British Columbia,Canada,Vancouver,British Columbia,Canada,no,
2009-25th-midwest-regionals-chicago-usa,1255269216,2009,25th Midwest Regionals Tournament & New Year's Jam,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2009-worlds-berlin-germany,1226679678,2009,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,Berlin,,Germany,Berlin,,Germany,no,
2009-open-lausanne-switzerland,1245404642,2009,6# Swiss Footbag Open,Lausanne,Vaud,Switzerland,Lausanne,Vaud,Switzerland,no,
2009-open-warsaw-poland,1251990500,2009,6th Annual Wilanow Footbag Open 2009,Warsaw,Masovian,Poland,Warsaw,Masovian,Poland,no,
2009-championships-wiener-neustadt-austria,1245432804,2009,Austrian Footbag Championships 2009,Wiener Neustadt,Lower Austria,Austria,Wiener Neustadt,Lower Austria,Austria,no,
2009-end-winter-jam-wroc-aw-poland,1239721441,2009,End of Winter Jam,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2009-championships-naantali-finland,1254829577,2009,Finnish Footbag Championships,Naantali,Southwest Finland,Finland,Naantali,Southwest Finland,Finland,no,
2009-open-stara-zagora-bulgaria,1260517364,2009,Footbag Open Meeting,Stara Zagora,,Bulgaria,Stara Zagora,,Bulgaria,no,
2009-open-frankfurt-germany,1225370942,2009,Frankfurt Footbag Open - *Bembel Cup 2009*,Frankfurt,Hesse,Germany,Frankfurt,Hesse,Germany,no,
2009-frisbee-fest-moscow-russia,1241031822,2009,Frisbee Footbag Fest,Moscow,,Russia,Moscow,,Russia,no,
2009-funtastik-summer-classic-harrisburg-usa,1245793403,2009,Funtastik Summer Classic,Harrisburg,Pennsylvania,United States,Harrisburg,Pennsylvania,United States,no,
2009-championships-hamburg-germany,1257621700,2009,German Footbag Championships 2009,Hamburg,,Germany,Hamburg,,Germany,no,
2009-open-helsinki-finland,1244553505,2009,Helsinki Open 2009,Helsinki,Uusimaa,Finland,Helsinki,Uusimaa,Finland,no,
2009-championships-bogot-colombia,1258513500,2009,IFPA South American Championships,Bogotá,Cundinamarca,Colombia,Bogotá,Cundinamarca,Colombia,no,
2009-open-montreal-canada,1237771561,2009,IFPA's Montreal Open 09 : Footbag Freestyle,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2009-jfk-march-mayhem-jyv-skyl-finland,1235504528,2009,JFK March Mayhem,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2009-jfk-battle-jyv-skyl-finland,1242210886,2009,JFK Net Battle,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2009-kick-volley-01-montr-al-canada,1234761224,2009,Kick Volley 01,Montréal,Quebec,Canada,Montréal,Quebec,Canada,no,
2009-montreal-end-summer-montreal-canada,1250478677,2009,Montreal End-of-Summer Jam 1,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2009-championships-montreal-canada,1230850031,2009,"Montreal's 2009 First Single Net Footbag Championships, presented by AKIQ",Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2009-open-chandler-usa,1226378339,2009,Phoenix Open 2009,Chandler,Arizona,United States,Chandler,Arizona,United States,no,
2009-championships-bia-ystok-poland,1248864536,2009,Polish Footbag Championships 2009,Białystok,Podlaskie,Poland,Białystok,Podlaskie,Poland,no,
2009-open-prague-czech-republic,1255335697,2009,Prague Net Open,Prague,,Czech Republic,Prague,,Czech Republic,no,
2009-rnh-contest-2009-paris-france,1235149093,2009,RNH Contest 2009,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2009-texas-statewide-2009-austin-usa,1248033041,2009,Texas Statewide 2009,Austin,Texas,United States,Austin,Texas,United States,no,
2009-nationals-sydney-australia,1233718528,2009,The 7th Australian National Footbag Championships,Sydney,New South Wales,Australia,Sydney,New South Wales,Australia,no,
2009-akisphere-2009-presented-montreal-canada,1239056543,2009,"The AkiSphere 2009, presented by AKIQ (Montreal Net)",Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2009-todexon-10-prague-czech-republic,1231432184,2009,Todexon 10,Prague,,Czech Republic,Prague,,Czech Republic,no,
2009-open-turku-finland,1240469006,2009,Turku Open 2009,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2009-x-pro-cup-caracas-venezuela,1251952403,2009,X-PRO Cup (Copa X-PRO),Caracas,Capital District,Venezuela,Caracas,Capital District,Venezuela,no,
2009-zocha-jam-2009-wroc-aw-poland,1255957016,2009,Zocha Jam 2009,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2010-bembel-cup-2010-d-sseldorf-germany,1271270281,2010,*Bembel Cup 2010*,Düsseldorf,North Rhine-Westphalia,Germany,Düsseldorf,North Rhine-Westphalia,Germany,no,
2010-championships-katowice-poland,1278603677,2010,10th Annual Polish Footbag Championships 2010,Katowice,Silesian,Poland,Katowice,Silesian,Poland,no,
2010-championships-lucerne-switzerland,1280907422,2010,10th Swiss Footbag Championships,Lucerne,,Switzerland,Lucerne,,Switzerland,no,
2010-open-paris-france,1256202918,2010,11e Open de France de Footbag,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2010-championships-berlin-germany,1282224512,2010,12th Annual German Footbag Championships,Berlin,,Germany,Berlin,,Germany,no,
2010-championships-brussels-belgium,1269266785,2010,12th Annual IFPA European Footbag Championships - Brussels,Brussels,Brussels Capital Region,Belgium,Brussels,Brussels Capital Region,Belgium,no,
2010-1era-copa-venezuela-caracas-venezuela,1284182261,2010,1era COPA VENEZUELA,Caracas,Miranda,Venezuela,Caracas,Miranda,Venezuela,no,
2010-championships-college-park-usa,1268407783,2010,2010 East Coast Footbag Championships,College Park,Maryland,United States,College Park,Maryland,United States,no,
2010-2010-green-cup-lake-tahoe-usa,1268445253,2010,2010 Green Cup Presented by Chaos,Lake Tahoe,California,United States,Lake Tahoe,California,United States,no,
2010-2010-mud-island-memphis-usa,1264098849,2010,2010 Mud Island Belt Presented by Memphis Footworks,Memphis,Tennessee,United States,Memphis,Tennessee,United States,no,
2010-championships-chicago-usa,1285506605,2010,2010 NYJ/Midwest Regionals Footbag Championships,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2010-championships-houston-usa,1268191383,2010,2010 Southern Regional Footbag Championships,Houston,Texas,United States,Houston,Texas,United States,no,
2010-us-open-portland-usa,1262288759,2010,2010 U.S. Open Footbag Net Championships,Portland,Oregon,United States,Portland,Oregon,United States,no,
2010-2da-copa-x-caracas-venezuela,1286381206,2010,2da. Copa X-PRO,Caracas,Capital District,Venezuela,Caracas,Capital District,Venezuela,no,
2010-worlds-oakland-usa,1265745512,2010,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,Oakland,California,United States,Oakland,California,United States,no,
2010-3rd-annual-windy-chicago-usa,1267718326,2010,3rd Annual Windy City Cup,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2010-4th-annual-nyfa-new-york-usa,1273248665,2010,4th Annual NYFA Freestyle and Net Symposium,New York,,United States,New York,,United States,no,
2010-4to-campeonato-suramericano-caracas-venezuela,1286381599,2010,4to Campeonato Suramericano de Footbag,Caracas,Capital District,Venezuela,Caracas,Capital District,Venezuela,no,
2010-open-warsaw-poland,1282912320,2010,7th Annual Wilanow Footbag Open 2010,Warsaw,Masovian,Poland,Warsaw,Masovian,Poland,no,
2010-championships-vienna-austria,1284588517,2010,Austrian Footbag Championships 2010,Vienna,,Austria,Vienna,,Austria,no,
2010-championships-hradec-kr-lov-czech-republic,1286644859,2010,Czech Footbag Championship 2010,Hradec Králové,,Czech Republic,Hradec Králové,,Czech Republic,no,
2010-fb-golf-hamburg-hamburg-germany,1263589392,2010,FB-Golf-Hamburg,Hamburg,,Germany,Hamburg,,Germany,no,
2010-fc-footstar-berlin-berlin-germany,1254662073,2010,FC Footstar Berlin 12th Birthday Jam,Berlin,,Germany,Berlin,,Germany,no,
2010-championships-jyv-skyl-finland,1280002674,2010,Finnish Footbag Championships,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2010-t-chira-cup-san-crist-bal-venezuela,1285989828,2010,Footbag Táchira Cup (Copa Tachira),San Cristóbal,Táchira,Venezuela,San Cristóbal,Táchira,Venezuela,no,
2010-again-in-zara-stara-zagora-bulgaria,1267996189,2010,Footbag again in the Zara,Stara Zagora,,Bulgaria,Stara Zagora,,Bulgaria,no,
2010-footcamp-2010-san-crist-bal-venezuela,1267469140,2010,Footcamp 2010,San Cristóbal,Táchira,Venezuela,San Cristóbal,Táchira,Venezuela,no,
2010-frankfurt-10th-anniversary-frankfurt-germany,1260368810,2010,Frankfurt Footbag 10th Anniversary Jam,Frankfurt,Hesse,Germany,Frankfurt,Hesse,Germany,no,
2010-championships-montpellier-france,1277805979,2010,French Footbag Championships 2010,Montpellier,Occitanie,France,Montpellier,Occitanie,France,no,
2010-funtastik-summer-classic-harrisburg-usa,1252451527,2010,Funtastik Summer Classic,Harrisburg,Pennsylvania,United States,Harrisburg,Pennsylvania,United States,no,
2010-open-rivas-vaciamadrid-spain,1268338685,2010,II Spanish OPEN,Rivas-Vaciamadrid,Madrid,Spain,Rivas-Vaciamadrid,Madrid,Spain,no,
2010-kick-volley-02-montr-al-canada,1267920908,2010,KICK VOLLEY 02,Montréal,Quebec,Canada,Montréal,Quebec,Canada,no,
2010-march-mayhem-2010-jyv-skyl-finland,1269860787,2010,March Mayhem 2010,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2010-naantalin-seudun-mestaruuskilpailut-naantali-finland,1287439208,2010,Naantalin Seudun Mestaruuskilpailut,Naantali,Southwest Finland,Finland,Naantali,Southwest Finland,Finland,no,
2010-orange-jam-ii-krak-w-poland,1282647603,2010,Net Orange Jam II (Net D¿em),Kraków,Lesser Poland,Poland,Kraków,Lesser Poland,Poland,no,
2010-open-chandler-usa,1254724022,2010,Phoenix Open 2010,Chandler,Arizona,United States,Chandler,Arizona,United States,no,
2010-rnh-contest-2010-paris-france,1270631935,2010,RNH Contest 2010,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2010-championships-austin-usa,1270518636,2010,Texas State Footbag Championships 2010,Austin,Texas,United States,Austin,Texas,United States,no,
2010-akisphere-2010-presented-montr-al-canada,1272817638,2010,"The AkiSphere 2010, presented by AKIQ",Montréal,Quebec,Canada,Montréal,Quebec,Canada,no,
2010-king-hill-2010-montr-al-canada,1269111845,2010,"The King of the Hill 2010, presented by Aki Québec",Montréal,Quebec,Canada,Montréal,Quebec,Canada,no,
2010-todexon-11-prague-czech-republic,1262691385,2010,Todexon 11,Prague,,Czech Republic,Prague,,Czech Republic,no,
2010-open-turku-finland,1271275118,2010,Turku Open 2010,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2010-open-vancouver-usa,1265850138,2010,U. S. Open Freestyle Footbag Championships,Vancouver,Washington,United States,Vancouver,Washington,United States,no,
2010-open-stara-zagora-bulgaria,1262631137,2010,Urban Komba Footbag Open Footbag Jam,Stara Zagora,,Bulgaria,Stara Zagora,,Bulgaria,no,
2010-wsf-mistrzostwa-pragi-warsaw-poland,1267199851,2010,WSF Mistrzostwa Pragi w Grze w Zoske,Warsaw,Masovian,Poland,Warsaw,Masovian,Poland,no,
2010-zocha-jam-2010-wroc-aw-poland,1288096032,2010,Zocha Jam 2010,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2011-open-lausanne-switzerland,1299019355,2011,10 years Pieds à Gilles - 7th Swiss Footbag Open,Lausanne,Vaud,Switzerland,Lausanne,Vaud,Switzerland,no,
2011-championships-p-o-sk-poland,1297811412,2011,11th Annual Polish Footbag Championships 2011,Płońsk,Masovian,Poland,Płońsk,Masovian,Poland,no,
2011-open-paris-france,1294262550,2011,12e Open de France de Footbag,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2011-championships-kiel-germany,1298627369,2011,13th Annual German Footbag Championships,Kiel,Schleswig-Holstein,Germany,Kiel,Schleswig-Holstein,Germany,no,
2011-championships-madrid-spain,1293877917,2011,13th Annual IFPA European Footbag Championships,Madrid,Community of Madrid,Spain,Madrid,Community of Madrid,Spain,no,
2011-championships-new-brunswick-usa,1313351184,2011,2011 East Coast Footbag Championships,New Brunswick,New Jersey,United States,New Brunswick,New Jersey,United States,no,
2011-2011-green-cup-oakland-usa,1295120951,2011,2011 Green Cup Presented by Chaos,Oakland,California,United States,Oakland,California,United States,no,
2011-2011-mud-island-memphis-usa,1294779128,2011,2011 Mud Island Belt presented by Memphis Footworks,Memphis,Tennessee,United States,Memphis,Tennessee,United States,no,
2011-open-prague-czech-republic,1295262886,2011,2011 Prague Open,Prague,,Czech Republic,Prague,,Czech Republic,no,
2011-open-vancouver-canada,1310408325,2011,24th Annual Vancouver Open & Golf Tournament,Vancouver,British Columbia,Canada,Vancouver,British Columbia,Canada,no,
2011-2da-copa-ciencias-caracas-venezuela,1297909685,2011,2da Copa Ciencias,Caracas,Capital District,Venezuela,Caracas,Capital District,Venezuela,no,
2011-2da-copa-venezuela-caracas-venezuela,1301675662,2011,2da Copa Venezuela,Caracas,Capital District,Venezuela,Caracas,Capital District,Venezuela,no,
2011-worlds-helsinki-finland,1293877677,2011,32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS,Helsinki,Uusimaa,Finland,Helsinki,Uusimaa,Finland,no,
2011-3ra-copa-t-san-crist-bal-venezuela,1314328055,2011,3ra Copa Táchira de Footbag,San Cristóbal,Táchira,Venezuela,San Cristóbal,Táchira,Venezuela,no,
2011-3ra-copa-x-caracas-venezuela,1311699287,2011,3ra Copa X-PRO,Caracas,Miranda,Venezuela,Caracas,Miranda,Venezuela,no,
2011-championships-chicago-usa,1299532552,2011,4th Annual Windy City Cup Footbag Net Championships,Chicago,Illinois,United States,Chicago,Illinois,United States,no,
2011-5to-campeonato-suramericano-san-crist-bal-venezuela,1314323534,2011,5to Campeonato Suramericano de Footbag,San Cristóbal,Táchira,Venezuela,San Cristóbal,Táchira,Venezuela,no,
2011-open-warsaw-poland,1316280393,2011,8th Annual Wilanow Footbag Open 2011,Warsaw,Masovian,Poland,Warsaw,Masovian,Poland,no,
2011-open-d-sseldorf-germany,1301243982,2011,Aachen Outdoor Open - The Rally Cup,Düsseldorf,North Rhine-Westphalia,Germany,Düsseldorf,North Rhine-Westphalia,Germany,no,
2011-april-assault-jyv-skyl-finland,1298063977,2011,April Assault!,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2011-championships-vienna-austria,1318673467,2011,Austrian Footbag Championships 2011,Vienna,,Austria,Vienna,,Austria,no,
2011-championships-frankfurt-germany,1290861524,2011,Bembel Cup 2011: Gimbledon Championships,Frankfurt,Hesse,Germany,Frankfurt,Hesse,Germany,no,
2011-championships-helsinki-finland,1321368279,2011,Finnish Footbag Championships,Helsinki,Uusimaa,Finland,Helsinki,Uusimaa,Finland,no,
2011-footcamp-2011-san-crist-bal-venezuela,1301104070,2011,Footcamp 2011,San Cristóbal,Táchira,Venezuela,San Cristóbal,Táchira,Venezuela,no,
2011-championships-nantes-france,1305581560,2011,French Footbag Championships 2011,Nantes,Loire-Atlantique,France,Nantes,Loire-Atlantique,France,no,
2011-jfk-battle-jyv-skyl-finland,1302802291,2011,JFK Net Battle,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2011-kick-volley-03-montr-al-canada,1287703732,2011,Kick Volley 03,Montréal,Quebec,Canada,Montréal,Quebec,Canada,no,
2011-open-salem-usa,1315451053,2011,Memphicago Open,Salem,Illinois,United States,Salem,Illinois,United States,no,
2011-paris-battle-2011-paris-france,1300316952,2011,Paris Net Battle 2011,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2011-rnh-contest-2011-paris-france,1320232300,2011,RNH Contest 2011,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2011-championships-austin-usa,1314229545,2011,Texas State Footbag Championships 2011,Austin,Texas,United States,Austin,Texas,United States,no,
2011-akisphere-2011-presented-montr-al-canada,1301837824,2011,"The AkiSphere 2011, presented by AKIQ",Montréal,Quebec,Canada,Montréal,Quebec,Canada,no,
2011-king-hill-2011-montr-al-canada,1301837216,2011,"The King of the Hill 2011, presented by Aki Québec",Montréal,Quebec,Canada,Montréal,Quebec,Canada,no,
2011-todexon-12-prague-czech-republic,1293878155,2011,Todexon 12,Prague,,Czech Republic,Prague,,Czech Republic,no,
2011-open-turku-finland,1302874713,2011,Turku Open,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2011-us-open-portland-usa,1295842442,2011,US OPEN Footbag Net Championships 2011,Portland,Oregon,United States,Portland,Oregon,United States,no,
2011-us-open-boise-usa,1301958487,2011,US Open Freestyle Footbag Championships,Boise,Idaho,United States,Boise,Idaho,United States,no,
2012-championships-wroc-aw-poland,1336988107,2012,12th Annual IFPA Polish Footbag Championships 2012,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2012-championships-d-sseldorf-germany,1328094862,2012,14th Annual IFPA European Footbag Championships,Düsseldorf,North Rhine-Westphalia,Germany,Düsseldorf,North Rhine-Westphalia,Germany,no,
2012-14th-fc-footstar-berlin-germany,1319622692,2012,14th FC Footstar anniversary,Berlin,,Germany,Berlin,,Germany,no,
2012-1o-torneo-nacional-medell-n-colombia,1346948712,2012,1o Torneo Nacional de Footbag,Medellín,Antioquia,Colombia,Medellín,Antioquia,Colombia,no,
2012-2012-green-cup-oakland-usa,1330902233,2012,2012 Green Cup Presented by Chaos,Oakland,California,United States,Oakland,California,United States,no,
2012-us-open-portland-usa-1335148163,1335148163,2012,2012 US Open Freestyle Footbag Championships,Portland,Oregon,United States,Portland,Oregon,United States,no,
2012-open-vancouver-canada,1337309613,2012,25th Annual Vancouver Open Footbag Championships,Vancouver,British Columbia,Canada,Vancouver,British Columbia,Canada,no,
2012-championships-brooklyn-usa,1337623340,2012,30th Annual East Coast Footbag Championships,Brooklyn,New York,United States,Brooklyn,New York,United States,no,
2012-worlds-warsaw-poland,1323272493,2012,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,Warsaw,Masovian,Poland,Warsaw,Masovian,Poland,no,
2012-3ra-copa-ciencias-caracas-venezuela,1330833781,2012,3ra Copa Ciencias-UCV.,Caracas,Capital District,Venezuela,Caracas,Capital District,Venezuela,no,
2012-3ra-copa-venezuela-caracas-venezuela,1339389008,2012,3ra Copa Venezuela,Caracas,Capital District,Venezuela,Caracas,Capital District,Venezuela,no,
