event_key,legacy_event_id,year,event_name,orig_city,orig_region,orig_country,new_city,new_region,new_country,changed,rules_applied
2003-lhivernal-windchill-montreal-canada,1044952105,2003,"L'Hivernal, The Windchill",Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2003-mecca-cup-gy-r-hungary,1041241196,2003,MECCA Footbag Cup,Győr,Győr-Moson-Sopron,Hungary,Győr,Győr-Moson-Sopron,Hungary,no,
2003-montreal-challenge-2003-montreal-canada,1045628278,2003,Montreal Footbag Challenge 2003,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2003-party-golf-salon-paris-france,1069415266,2003,"Party Golf @ ""Salon de l'Education""",Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2003-open-paris-france,1061921260,2003,Pre Season Footbag Golf Open,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2003-rnh-contest-2003-paris-france,1050745947,2003,RNH Contest 2003,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2003-championships-wellington-new-zealand,1038895913,2003,Seapa NZ Freestyle Footbag Championships,Wellington,,New Zealand,Wellington,,New Zealand,no,
2003-swissjam-fribourg-switzerland,1064245646,2003,Swissjam,Fribourg,,Switzerland,Fribourg,,Switzerland,no,
2003-championships-austin-usa,1058378281,2003,Texas State Footbag Championships,Austin,Texas,United States,Austin,Texas,United States,no,
2003-3rd-annual-chilly-philadelphia-usa,1032472601,2003,The 3rd Annual Chilly Philly Freestyle Jam,Philadelphia,Pennsylvania,United States,Philadelphia,Pennsylvania,United States,no,
2003-open-turku-finland,1050067583,2003,Turku Open,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2003-west-coast-xmas-san-francisco-usa,1070400528,2003,West Coast Xmas Shred,San Francisco,California,United States,San Francisco,California,United States,no,
2004-1-jam-berlin-berlin-germany,1094071528,2004,1. Footbag- Net- Jam Berlin 04,Berlin,,Germany,Berlin,,Germany,no,
2004-2004-new-paltz-new-paltz-usa,1077766197,2004,2004 New Paltz Footbag Jam,New Paltz,New York,United States,New Paltz,New York,United States,no,
2004-championships-austin-usa,1091802943,2004,2004 Texas State Footbag Championships,Austin,Texas,United States,Austin,Texas,United States,no,
2004-worlds-montreal-canada,1069929277,2004,25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2004-2nd-annual-mecca-gy-r-hungary,1068406344,2004,2nd Annual MECCA Footbag Cup,Győr,Győr-Moson-Sopron,Hungary,Győr,Győr-Moson-Sopron,Hungary,no,
2004-open-piliscsaba-hungary,1095965765,2004,2nd Annual Piliscsaba Footbag Open,Piliscsaba,Pest,Hungary,Piliscsaba,Pest,Hungary,no,
2004-2nd-annual-socal-claremont-usa,1093115479,2004,2nd Annual SoCal Labor Day Jam,Claremont,California,United States,Claremont,California,United States,no,
2004-2nd-annual-umaine-orono-usa,1096695238,2004,2nd Annual UMaine Hacky Sack Club Tournament,Orono,Maine,United States,Orono,Maine,United States,no,
2004-3rd-annual-seattle-seattle-usa,1096318324,2004,3rd Annual Seattle Juggling and Footbag Festival,Seattle,Washington,United States,Seattle,Washington,United States,no,
2004-5th-annual-colorado-center-denver-usa,1070954568,2004,5th Annual Colorado Shred Symposium,Center Denver,Colorado,United States,Center Denver,Colorado,United States,no,
