event_key,legacy_event_id,year,event_name,city,region,country,issues
event_2019_i_ereaga_footbag_net_tournament_doubles_2019,1564005204,2019,I. Ereaga Footbag Net Tournament (Doubles) 2019,Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2020_akisphere_2020,1628025851,2020,Akisphere 2020,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2020_bulgarian_footbag_championships_2020,1580328152,2020,Bulgarian Footbag Championships 2020,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2020_czech_footbag_championships,1595872698,2020,Czech Footbag Championships,Hradec Králové,Hradec Králové,Czech Republic,DUPLICATE_CITY_REGION
event_2020_i_bilbao_tournament_doubles_net,1593340253,2020,I.Bilbao Tournament (Doubles - Net),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2020_ii_basque_tournament_of_footbag_net_individual_6506,1598616506,2020,II. Basque Tournament of Footbag Net (Individual),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2020_ii_basque_tournament_of_footbag_net_individual_3469,1584223469,2020,II.Basque Tournament of Footbag (Net - Individual),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2021_akisphere_2021,1628025574,2021,Akisphere 2021,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2021_bulgarian_footbag_open_2021,1614772897,2021,Bulgarian Footbag Open 2021,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2021_czech_footbag_net_championships,1628024472,2021,Czech Footbag Net Championships,Hradec Králové,Hradec Králové,Czech Republic,DUPLICATE_CITY_REGION
event_2021_ii_basque_tournament_of_footbag_net_doubles,1628596712,2021,II. Basque Tournament of Footbag Net (Doubles),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2021_ii_basque_open_footbag_net_tournament_doubles,1634938934,2021,II.Basque Open Footbag Net Tournament (Doubles),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2021_iii_basque_tournament_of_footba_net_individual,1617902706,2021,III.Basque Tournament of Footba Net (Individual),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2022_akisphere_2022,1653152207,2022,Akisphere 2022,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2022_czech_footbag_championships_2022,1649326445,2022,Czech Footbag Championships 2022,Hradec Králové,Hradec Králové,Czech Republic,DUPLICATE_CITY_REGION
event_2022_i_elorrieta_tournament_of_footbag_net_basque_country,1653647467,2022,I. Elorrieta Tournament of Footbag Net (Basque Country),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2022_ii_ereaga_tournament_of_footbag_net,1657486956,2022,II. Ereaga Tournament of Footbag Net,Bilbao,Basque Country,Spain,BASQUE_COUNTRY
event_2022_iii_basque_tournament_of_footbag_net_doubles,1669556651,2022,III.Basque Tournament of Footbag Net (Doubles),Bilbao,Basque Country,Spain,BASQUE_COUNTRY
