event_id,city,region,country,left_display,right_display,year_sheet_location,valid,issue
876336655,Scottsdale,Arizona,United States,"Scottsdale, Arizona",United States,"Scottsdale, Arizona, United States",Y,
899722892,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
892446131,Wichita,Kansas,United States,"Wichita, Kansas",United States,"Wichita, Kansas, United States",Y,
899077904,Malta,Illinois,United States,"Malta, Illinois",United States,"Malta, Illinois, United States",Y,
876331623,Hermosa Beach,California,United States,"Hermosa Beach, California",United States,"Hermosa Beach, California, United States",Y,
884112176,Champaign,Illinois,United States,"Champaign, Illinois",United States,"Champaign, Illinois, United States",Y,
881872990,Carbondale,Illinois,United States,"Carbondale, Illinois",United States,"Carbondale, Illinois, United States",Y,
877061793,Portland,Oregon,United States,"Portland, Oregon",United States,"Portland, Oregon, United States",Y,
876356874,Palo Alto,California,United States,"Palo Alto, California",United States,"Palo Alto, California, United States",Y,
912467534,Portland,Oregon,United States,"Portland, Oregon",United States,"Portland, Oregon, United States",Y,
919703711,Vancouver,British Columbia,Canada,"Vancouver, British Columbia",Canada,"Vancouver, British Columbia, Canada",Y,
929217368,Harrisburg,Pennsylvania,United States,"Harrisburg, Pennsylvania",United States,"Harrisburg, Pennsylvania, United States",Y,
924977661,Seattle,Washington,United States,"Seattle, Washington",United States,"Seattle, Washington, United States",Y,
