event_id,city,region,country,left_display,right_display,year_sheet_location,valid,issue
1432901754,Nantes,Pays de la Loire,France,Nantes,France,"Nantes, France",Y,
1427144456,Erie,Pennsylvania,United States,"Erie, Pennsylvania",United States,"Erie, Pennsylvania, United States",Y,
1408070192,Ann Arbor,Michigan,United States,"Ann Arbor, Michigan",United States,"Ann Arbor, Michigan, United States",Y,
1429205408,Palo Alto,California,United States,"Palo Alto, California",United States,"Palo Alto, California, United States",Y,
1438626750,Lausanne,Vaud,Switzerland,Lausanne,Switzerland,"Lausanne, Switzerland",Y,
1435784719,Caracas,Capital District,Venezuela,Caracas,Venezuela,"Caracas, Venezuela",Y,
1415986036,Prague,,Czech Republic,Prague,Czech Republic,"Prague, Czech Republic",Y,
1431288258,Turku,Southwest Finland,Finland,Turku,Finland,"Turku, Finland",Y,
1425372477,West Linn,Oregon,United States,"West Linn, Oregon",United States,"West Linn, Oregon, United States",Y,
1439332196,Katowice,Silesian,Poland,Katowice,Poland,"Katowice, Poland",Y,
1467142686,Katowice,Silesian,Poland,Katowice,Poland,"Katowice, Poland",Y,
1466942562,Bremen,,Germany,Bremen,Germany,"Bremen, Germany",Y,
1460640850,Frankfurt,Hesse,Germany,Frankfurt,Germany,"Frankfurt, Germany",Y,
1454371285,Memphis,Tennessee,United States,"Memphis, Tennessee",United States,"Memphis, Tennessee, United States",Y,
1471407009,Turku,Southwest Finland,Finland,Turku,Finland,"Turku, Finland",Y,
1464967908,Brooklyn,New York,United States,"Brooklyn, New York",United States,"Brooklyn, New York, United States",Y,
1449259560,Trnava,,Slovakia,Trnava,Slovakia,"Trnava, Slovakia",Y,
1455047000,Chicago,Illinois,United States,"Chicago, Illinois",United States,"Chicago, Illinois, United States",Y,
1463511970,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1473932659,Vienna,,Austria,Vienna,Austria,"Vienna, Austria",Y,
1453384342,Frankfurt,Hesse,Germany,Frankfurt,Germany,"Frankfurt, Germany",Y,
1458125752,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1459426362,Nantes,Pays de la Loire,France,Nantes,France,"Nantes, France",Y,
1446571794,Berlin,,Germany,Berlin,Germany,"Berlin, Germany",Y,
1447494731,Erie,Pennsylvania,United States,"Erie, Pennsylvania",United States,"Erie, Pennsylvania, United States",Y,
1473853257,Kraków,Lesser Poland,Poland,Kraków,Poland,"Kraków, Poland",Y,
1458170459,Paris,Île-de-France,France,Paris,France,"Paris, France",Y,
1466891959,Lausanne,Vaud,Switzerland,Lausanne,Switzerland,"Lausanne, Switzerland",Y,
1458772302,West Linn,Oregon,United States,"West Linn, Oregon",United States,"West Linn, Oregon, United States",Y,
1461077179,Wrocław,Lower Silesian,Poland,Wrocław,Poland,"Wrocław, Poland",Y,
1485863923,Lublin,,Poland,Lublin,Poland,"Lublin, Poland",Y,
1499025778,Berlin,,Germany,Berlin,Germany,"Berlin, Germany",Y,
1487797845,Aranjuez,Community of Madrid,Spain,Aranjuez,Spain,"Aranjuez, Spain",Y,
1485967222,Peninsula Cherokee,Alabama,United States,"Peninsula Cherokee, Alabama",United States,"Peninsula Cherokee, Alabama, United States",Y,
1502929111,New York,,United States,New York,United States,"New York, United States",Y,
1471686537,Portland,Oregon,United States,"Portland, Oregon",United States,"Portland, Oregon, United States",Y,
1485970612,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
1498568502,Vienna,,Austria,Vienna,Austria,"Vienna, Austria",Y,
1485520697,Frankfurt,Hesse,Germany,Frankfurt,Germany,"Frankfurt, Germany",Y,
1499168069,Stara Zagora,,Bulgaria,Stara Zagora,Bulgaria,"Stara Zagora, Bulgaria",Y,
1497678985,Nantes,Pays de la Loire,France,Nantes,France,"Nantes, France",Y,
1509295388,Turku,Southwest Finland,Finland,Turku,Finland,"Turku, Finland",Y,
1509295589,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
1489248474,Erie,Pennsylvania,United States,"Erie, Pennsylvania",United States,"Erie, Pennsylvania, United States",Y,
