qc_rule,qc_detail,event_id,year,division_canon,place,person_canon,norm
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,979089216,2001,Intermediate Sick 10 Trick,3,Erik ?????,erik ?????
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,947196813,2000,Consecutive Under 13 Singles,3,Max S.M.,max s.m.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Freestyle Sick 3,2,Lee S.,lee s.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Four Square,2,Lee S.,lee s.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Four Square,4,Tre L.,tre l.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Consecutive Kicks,1,Jeremy S.,jeremy s.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Consecutive Kicks,2,Matt E.,matt e.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Consecutive Kicks,3,Jared W.,jared w.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,884112176,1998,Open Freestyle,1,"""Nato""","""nato"""
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1102576153,2005,Open Singles Freestyle,21,Mikko Lepist�,mikko lepist�
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1102576153,2005,Open Shred,6,Mikko Lepist�,mikko lepist�
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1265745512,2010,Open Singles Net,39,Olivier Berthiaume-Berg�,olivier berthiaume-berg�
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1376036018,2013,Open Singles Net,1,Wiktor D�bski.,wiktor d�bski.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1376036018,2013,Open Singles Net,6,Marcin Staro�,marcin staro�
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1485863923,2017,Open Singles Net,8,Marcin Staro�,marcin staro�
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1485863923,2017,Open Singles Net,11,�ukasz Domin,�ukasz domin
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1485863923,2017,2 Square,4,Marcin Staro�,marcin staro�
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1485863923,2017,2 Square,7,�ukasz Domin,�ukasz domin
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1485863923,2017,Footbag Golf,9,�ukasz Domin,�ukasz domin
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1519215398,2018,Open Singles Net,25,Marcin Staro�,marcin staro�
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1001076203,2001,Double,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1011291051,2002,Open Doubles,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1011291051,2002,Open Doubles,9,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1012638214,2002,Women's Doubles Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1021665982,2002,Intermediate,1,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1021665982,2002,Intermediate,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1021665982,2002,Intermediate,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1030830356,2002,Open Double Net,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1042821772,2003,Open Doubles Freestyle 6 Teams,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1044952105,2003,Open Doubles Net,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1064330873,2003,Doubles Net Open,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1064330873,2003,Doubles Net Open,9,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1064849293,2003,Open Double Net,3,__NON_PERSON__,
