event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved
1770923654,2026,Open Singles Net,net,1,player,e0d1d6f2-45be-5cc5-a815-1e882552e95f,,Egoitz Campo,,complete,
1770923654,2026,Open Singles Net,net,2,player,1c585eb1-5250-59e5-a0ea-ff924c8c773a,,Daniel Barrientos,,complete,
1770923654,2026,Open Singles Net,net,3,player,a7af13be-45b2-5e36-a37f-18a457acd963,,Joseba Zubiaurre,,complete,
1770923654,2026,Open Singles Net,net,4,player,ff3b1014-1a31-5cba-be72-51aa06847686,,Ariana Mungia,,complete,
1770923654,2026,Open Singles Net,net,5,player,6ae34464-3b77-5461-9c9d-52a4f22d28b7,,Arrate Elorrieta,,complete,
1736265216,2025,Doubles Net,net,1,team,ddffefad-c620-55ab-b1bc-ca01939671c6|e7937047-c7f1-5739-bb84-aceb23c17dd7,ddffefad-c620-55ab-b1bc-ca01939671c6|e7937047-c7f1-5739-bb84-aceb23c17dd7,__NON_PERSON__,Tuomas Kärki / Matti Pohola,complete,
1736265216,2025,Doubles Net,net,2,team,171e6321-c025-5483-af9d-c92b2ee04806|b1905548-0ada-590b-8d3b-3264d4e49e99,171e6321-c025-5483-af9d-c92b2ee04806|b1905548-0ada-590b-8d3b-3264d4e49e99,__NON_PERSON__,Santeri Karvinen / Tuomas Riisalo,complete,
1736265216,2025,Doubles Net,net,3,team,68470003-63c3-56a1-a0e3-23004628d469|99c34237-0b11-5547-975b-038ff70b8b13,68470003-63c3-56a1-a0e3-23004628d469|99c34237-0b11-5547-975b-038ff70b8b13,__NON_PERSON__,Oskari Forstén / Joona Koistinen,complete,
1736265216,2025,Doubles Net,net,4,team,175ab6e5-d37d-5a3f-9a63-eca04ef0523b|5c0a3bfe-be36-5f21-9ce1-2700c8af27f3,175ab6e5-d37d-5a3f-9a63-eca04ef0523b|5c0a3bfe-be36-5f21-9ce1-2700c8af27f3,__NON_PERSON__,Ilkka Malin / Mon Thike,complete,
1736265216,2025,Doubles Net,net,5,team,5a2e9e09-b72a-56f5-8bec-edfe5b745b21|3ebbd948-d191-589e-8a40-b8c075daacdb,5a2e9e09-b72a-56f5-8bec-edfe5b745b21|3ebbd948-d191-589e-8a40-b8c075daacdb,__NON_PERSON__,Mikko Tapaninaho / [UNKNOWN PARTNER],complete,
1738446800,2025,Intermediate Freestyle Battles,freestyle,1,player,d646e6ae-5d43-5687-b380-d019d69b0f33,,Ryan Miller,,complete,
1738446800,2025,Intermediate Freestyle Battles,freestyle,2,player,da0a2c69-e34e-59ff-957e-a611fa3ddf7b,,Alan Eneev,,complete,
1738446800,2025,Intermediate Freestyle Battles,freestyle,3,player,7f464ee2-67a8-50de-adef-8748a0f2a5ab,,Jordan Mahaffey,,complete,
1738446800,2025,Intermediate Freestyle Battles,freestyle,4,player,d8724468-6f19-5b54-9ba7-e77890327896,,Loren Dobson,,complete,
1738446800,2025,Intermediate Freestyle Routines,freestyle,1,player,cb3bbcdd-5807-5fa1-a1a7-3367acf07b95,,Ken Moller,,complete,
1738446800,2025,Intermediate Singles,net,1,player,7d688a71-ef53-5de7-83de-2ee21b6f5663,,Will Mayfield,,complete,
1738446800,2025,Intermediate Singles,net,2,player,649e9fe1-aa21-5bc8-ae05-5aa9292e0661,,Simon Hankamer,,complete,
1738446800,2025,Intermediate Singles,net,3,player,185a81ca-3b13-5c7a-aa6d-6095dba9d2dd,,Harper Cleaver,,complete,
1738446800,2025,Intermediate Singles,net,4,player,2c11a25f-c111-55a6-87e5-652484cafb0c,,Arlo Perin,,complete,
1738446800,2025,Mixed Doubles Net,net,1,team,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|e894e6c5-3f98-51e0-a86c-61b1d28b585c,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|e894e6c5-3f98-51e0-a86c-61b1d28b585c,__NON_PERSON__,Kenny Shults / Jolene Welch,complete,
1738446800,2025,Mixed Doubles Net,net,10,team,17f1d5dd-7053-5cdb-b2d1-289152953428|a3036351-4d3f-504d-add4-4ae9fc629177,17f1d5dd-7053-5cdb-b2d1-289152953428|a3036351-4d3f-504d-add4-4ae9fc629177,__NON_PERSON__,Elle Shults / Dirk Janssens,complete,
1738446800,2025,Mixed Doubles Net,net,11,team,65110afa-b4a8-5b55-9b73-b2ef3b2716c9|7d688a71-ef53-5de7-83de-2ee21b6f5663,65110afa-b4a8-5b55-9b73-b2ef3b2716c9|7d688a71-ef53-5de7-83de-2ee21b6f5663,__NON_PERSON__,Katie Storment / Will Mayfield,complete,
1738446800,2025,Mixed Doubles Net,net,2,team,50375647-fb1f-51ac-88cd-e7b182667b68|bd1ac97c-6c20-5bcd-9fbd-f5279f4c22bf,50375647-fb1f-51ac-88cd-e7b182667b68|bd1ac97c-6c20-5bcd-9fbd-f5279f4c22bf,__NON_PERSON__,Chris Siebert / Sarah Femmel,complete,
1738446800,2025,Mixed Doubles Net,net,3,team,adc70b9b-7496-5ded-8feb-fdc8e9c5d21c|ae007583-9bf0-520a-ba7c-b2e6f52b12ef,adc70b9b-7496-5ded-8feb-fdc8e9c5d21c|ae007583-9bf0-520a-ba7c-b2e6f52b12ef,__NON_PERSON__,Chris Cleaver / Julie Symons,complete,
1738446800,2025,Mixed Doubles Net,net,4,team,2216a4b4-f166-5d94-8fda-38e40f13ff85|820cd94f-96f9-5bac-bc27-a2fa9f7332da,2216a4b4-f166-5d94-8fda-38e40f13ff85|820cd94f-96f9-5bac-bc27-a2fa9f7332da,__NON_PERSON__,Jasper Shults / Brandy Montoya,complete,
1738446800,2025,Mixed Doubles Net,net,5,team,4cbf790d-c542-5318-9337-ee3dfd539ff1|93d75393-13d7-55c0-b23e-cf0c9a077583,4cbf790d-c542-5318-9337-ee3dfd539ff1|93d75393-13d7-55c0-b23e-cf0c9a077583,__NON_PERSON__,Becca English / Scott Hughes,complete,
1738446800,2025,Mixed Doubles Net,net,6,team,26349aa8-a1ff-5e6a-bff5-f93a89d20c68|d646e6ae-5d43-5687-b380-d019d69b0f33,26349aa8-a1ff-5e6a-bff5-f93a89d20c68|d646e6ae-5d43-5687-b380-d019d69b0f33,__NON_PERSON__,Tricia George / Ryan Miller,complete,
1738446800,2025,Mixed Doubles Net,net,7,team,008f279b-0172-5793-868e-70f7b4c45ac7|d1afbdbf-5b4a-5ccf-bc8a-d5bea2c4ada2,008f279b-0172-5793-868e-70f7b4c45ac7|d1afbdbf-5b4a-5ccf-bc8a-d5bea2c4ada2,__NON_PERSON__,Annelessia Coen / Patrick Weinberg,complete,
1738446800,2025,Mixed Doubles Net,net,8,team,2074b865-2331-5c94-9f79-36e22468af38|da0a2c69-e34e-59ff-957e-a611fa3ddf7b,2074b865-2331-5c94-9f79-36e22468af38|da0a2c69-e34e-59ff-957e-a611fa3ddf7b,__NON_PERSON__,Alan Eneev / Natalia Nikolaeva,complete,
1738446800,2025,Mixed Doubles Net,net,9,team,49b38d45-c347-5aeb-8850-1993e8c12ee4|62bdd1f4-4414-5259-9996-91770a34d09f,49b38d45-c347-5aeb-8850-1993e8c12ee4|62bdd1f4-4414-5259-9996-91770a34d09f,__NON_PERSON__,Edwin Veltman / Gaylene Runey,complete,
1738446800,2025,Open Doubles Net,net,1,team,820cd94f-96f9-5bac-bc27-a2fa9f7332da|bd1ac97c-6c20-5bcd-9fbd-f5279f4c22bf,820cd94f-96f9-5bac-bc27-a2fa9f7332da|bd1ac97c-6c20-5bcd-9fbd-f5279f4c22bf,__NON_PERSON__,Chris Siebert / Jasper Shults,complete,
1738446800,2025,Open Doubles Net,net,2,team,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|ae007583-9bf0-520a-ba7c-b2e6f52b12ef,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|ae007583-9bf0-520a-ba7c-b2e6f52b12ef,__NON_PERSON__,Kenny Shults / Chris Cleaver,complete,
