event_id,year,event_name,event_type,is_major,division_canon,place,competitor_type,source_name_raw,source_name_norm,pbp_status,partner_name,candidate_rank,candidate_person_id,candidate_name,score_total,score_last_name,score_first_name,last_name_exact,confidence_bucket,match_reason,suggested_action,n_candidates_above_threshold
1001076315,2001,5th Annual Finnish Footbag Championships,mixed,0,Intermediate Singles Net,2,team,Kari Uusitalo,kari uusitalo,UNRESOLVED,Pelkosenniemi,1,7ed608a7-7311-52f9-935b-7951158d56e8,Kari Uusitalo,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,2
1001076315,2001,5th Annual Finnish Footbag Championships,mixed,0,Intermediate Singles Net,4,team,Olli Lehtola,olli lehtola,UNRESOLVED,Saunavaara,1,d9360ea7-5b71-5034-a990-b55cb6108ed7,Olli Lehtola,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,3
1001076315,2001,5th Annual Finnish Footbag Championships,mixed,0,Intermediate Singles Net,5,team,Tim Livson,tim livson,UNRESOLVED,Helsinki,1,4082f2aa-cd10-5a43-bdb5-bf3ba790be48,Tim Livson,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,3
1001076315,2001,5th Annual Finnish Footbag Championships,mixed,0,Intermediate Freestyle,3,team,Teppo Harju,teppo harju,UNRESOLVED,Jyväskylä,1,59947054-0169-5c1c-9c45-2acb21062826,Teppo Harju,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,1
1028800969,2002,3. Frankfurt Footbag Open,mixed,0,Doubles Net Open,6,team,Felix Golz,felix golz,UNRESOLVED,David,1,adfcef85-4e2d-5805-ac6d-7620e56298bc,Felix Golz,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,3
1046985067,2003,2003 Steel City Footbag Open,freestyle,0,Intermediate Big 3,1,player,Danny Iachini,danny iachini,MISSING,,1,eb6c8019-8a66-5c39-942f-47e75377cc38,Danny Iachini,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,3
1046985067,2003,2003 Steel City Footbag Open,freestyle,0,Intermediate Shred 30,1,player,Danny Iachini,danny iachini,MISSING,,1,eb6c8019-8a66-5c39-942f-47e75377cc38,Danny Iachini,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,3
1046985067,2003,2003 Steel City Footbag Open,freestyle,0,Open Shred 30,1,player,Brad Nelson,brad nelson,MISSING,,1,42cfb7b0-8f51-53ff-9721-f4ac4b909290,Brad Nelson,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,3
1050140930,2003,German Footbag Open 2003,mixed,0,Open Singles Net,2,team,Frankfurt Footbag,frankfurt footbag,UNRESOLVED,Florian Goetze,1,58f3ae1c-5a14-5533-8d4f-ad73d4a293ad,Frankfurt Footbag,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,1
1050140930,2003,German Footbag Open 2003,mixed,0,Intermediate Freestyle,2,team,Daniel Schuldes,daniel schuldes,UNRESOLVED,Muenchen,1,fa832884-a352-5334-93c8-d92c8af0e2dc,Daniel Schuldes,1.0000,1.0000,1.0000,1,HIGH,last_exact+first_near_exact,LIKELY_ALIAS,3
