event_id,event_name,original_location,normalized_location,reason
1302802291,JFK Net Battle,"Jyvaskyla, Finland","Jyväskylä, Central Finland, Finland",region_added
992517335,Keuruu Footbag Jam 2001,"Keuruu, Finland","Keuruu, Central Finland, Finland",region_added
1298627369,13th Annual German Footbag Championships,"Kiel, Germany","Kiel, Schleswig-Holstein, Germany",region_added
1024091202,III. Hungarian Footbag Festival,"Kiskunfelegyhaza, Hungary","Kiskunfélegyháza, Bács-Kiskun, Hungary",region_added
1295262886,2011 Prague Open,"Kosice, Czech Republic","Prague, Prague, Czech Republic",region_added
1473853257,Malopolska Footbag Championships 2016 // Mistrzostwa Ma³opolski w Zo¶kê 2016,"Krakow, Poland","Kraków, Lesser Poland, Poland",region_added
1531284609,XVIII Polish Footbag Championships - Krakow 2018,"Krakow, Poland","Kraków, Lesser Poland, Poland",region_added
1624971880,21st IFPA European Footbag Net Championships,"Krakow, Poland","Kraków, Lesser Poland, Poland",region_added
1645025950,Cracow Net Jam 3,"Krakow, Poland","Kraków, Lesser Poland, Poland",region_added
1646387871,41st IFPA WORLD FOOTBAG CHAMPIONSHIPS 2022,"Krakow, Poland","Kraków, Lesser Poland, Poland",region_added
1697391704,23rd IFPA European Footbag Championships 2023,"Krakow, Poland","Kraków, Lesser Poland, Poland",region_added
1727756195,24th Polish Footbag Championships - Krakow 2024,"Krakow, Poland","Kraków, Lesser Poland, Poland",region_added
1286644859,Czech Footbag Championship 2010,"Kralove, Czech Republic","Hradec Králové, Hradec Králové, Czech Republic",region_added
1595872698,Czech Footbag Championships,"Kralove, Czech Republic","Hradec Králové, Hradec Králové, Czech Republic",region_added
1628024472,Czech Footbag Net Championships,"Kralove, Czech Republic","Hradec Králové, Hradec Králové, Czech Republic",region_added
1649326445,Czech Footbag Championships 2022,"Kralove, Czech Republic","Hradec Králové, Hradec Králové, Czech Republic",region_added
1518200935,20th Annual IFPA European Footbag Championships,"Kranj, Slovenia","Kranj, Upper Carniola, Slovenia",region_added
1132511088,Finnish Footbag Championships 2005,"Kuopio, Finland","Kuopio, North Savo, Finland",region_added
1329044785,JFK March Mayhem 2012,"Laani, Finland","Jyväskylä, Central Finland, Finland",region_added
1358964427,JFK March Mayhem 2013,"Laani, Finland","Jyväskylä, Central Finland, Finland",region_added
1137942486,8th Annual IFPA European Footbag Championships,"Lausanne, Switzerland","Lausanne, Vaud, Switzerland",region_added
1185556078,Austrian Footbag Championships 2007,"Linz, Austria","Linz, Upper Austria, Austria",region_added
1344593549,IFPA Austrian Footbag Champs 2012,"Linz, Austria","Linz, Upper Austria, Austria",region_added
1137937282,Czech Footbag Championships,"Litomerice, Czech Republic","Litoměřice, Ústí nad Labem, Czech Republic",region_added
1305581560,French Footbag Championships 2011,"Loire-Atlantique, France","Nantes, Loire-Atlantique, France",region_added
1347475695,Carnabal Footbag Contest,"Loire-Atlantique, France","Nantes, Loire-Atlantique, France",region_added
1406219099,14th Annual Polish Footbag Championships 2014,"Lubaczow, Poland","Lubaczów, Subcarpathian, Poland",region_added
1485863923,17th Annual Polish Footbag Championships,"Lublin, Poland","Lublin, Lublin, Poland",region_added
1280907422,10th Swiss Footbag Championships,"Luzern, Switzerland","Lucerne, Lucerne, Switzerland",region_added
1029347412,Woodstower: French Opening,"Lyon, France","Lyon, Auvergne-Rhône-Alpes, France",region_added
1069791565,5th Annual Open de France,"Lyon, France","Lyon, Auvergne-Rhône-Alpes, France",region_added
1103297805,2e Championnat de France de Footbag,"Lyon, France","Lyon, Auvergne-Rhône-Alpes, France",region_added
1293877917,13th Annual IFPA European Footbag Championships,"Madrid, Spain","Madrid, Community of Madrid, Spain",region_added
1185458086,Footbagmania 3007 - Polish Footbag Championships,"Malopolska, Poland","Kraków, Lesser Poland, Poland",region_added
1212406878,French Footbag Championships 2008,"Marseille, France","Marseille, Provence-Alpes-Côte d'Azur, France",region_added
1251990500,6th Annual Wilanow Footbag Open 2009,"Mazowieckie, Poland","Warsaw, Masovian, Poland",region_added
1678957450,42nd Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2023,"Medellin, Colombia","Medellín, Antioquia, Colombia",region_added
1271270281,*Bembel Cup 2010*,"Meer, Germany","Düsseldorf, North Rhine-Westphalia, Germany",region_added
1284182261,1era COPA VENEZUELA,"Miranda, Venezuela","Caracas, Miranda, Venezuela",region_added
1311699287,3ra Copa X-PRO,"Miranda, Venezuela","Caracas, Miranda, Venezuela",region_added
1366240051,4ta. Copa Ciencias,"Miranda, Venezuela","Caracas, Miranda, Venezuela",region_added
1699593640,8vo Suramericano Footbag Net 2023,"Miranda, Venezuela","Caracas, Miranda, Venezuela",region_added
1713276656,1era Copa Footbag Net - Altos Mirandinos,"Miranda, Venezuela","Caracas, Miranda, Venezuela",region_added
1030830356,4e Open de France de Footbag,"Montpellier, France","Montpellier, Occitanie, France",region_added
1064849293,1st French Footbag Championships,"Montpellier, France","Montpellier, Occitanie, France",region_added
1090569022,Montpellier Sunny Jam Open,"Montpellier, France","Montpellier, Occitanie, France",region_added
1199106237,10th Annual IFPA European Footbag Championships,"Montpellier, France","Montpellier, Occitanie, France",region_added
1277805979,French Footbag Championships 2010,"Montpellier, France","Montpellier, Occitanie, France",region_added
1556306551,Akisphere 2019,"Montreal, Canada","Montréal, Quebec, Canada",region_added
1081766954,Russian Open Footbag Series/ Stage 2,"Moscow, Russia","Moscow, Moscow, Russia",region_added
1092044099,Russian Open Footbag Series/ Stage 4,"Moscow, Russia","Moscow, Moscow, Russia",region_added
1093955766,"Russian Open Footbag Series/ Stage 5, Brooks Cup","Moscow, Russia","Moscow, Moscow, Russia",region_added
1241031822,Frisbee Footbag Fest,"Moscow, Russia","Moscow, Moscow, Russia",region_added
1362657553,15th Annual IFPA European Footbag Championships,"Moscow, Russia","Moscow, Moscow, Russia",region_added
1097785506,Finnish Singles Net Footbag Championships 2004,"Naantali, Finland","Naantali, Southwest Finland, Finland",region_added
1161871029,Finnish Footbag Championships 2006,"Naantali, Finland","Naantali, Southwest Finland, Finland",region_added
1220519679,Finnish Footbag Singles Net Championships,"Naantali, Finland","Naantali, Southwest Finland, Finland",region_added
1254829577,Finnish Footbag Championships,"Naantali, Finland","Naantali, Southwest Finland, Finland",region_added
1287439208,Naantalin Seudun Mestaruuskilpailut,"Naantali, Finland","Naantali, Southwest Finland, Finland",region_added
1241011525,2009 French Footbag Championships,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1335381794,French Footbag Championships 2012,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1432901754,Championnat de France de Footbag 2015,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1459426362,Championnat de France de Footbag 2016,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1497678985,Championnat de France de Footbag 2017,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1520596747,Championnat de France de footbag 2018,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1531311472,Open de France 2018,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1647508742,Open de France de Footbag 2022,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1741024635,44th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2025,"Nantes, France","Nantes, Pays de la Loire, France",region_added
1245432804,Austrian Footbag Championships 2009,"Neustadt, Austria","Wiener Neustadt, Lower Austria, Austria",region_added
1161888703,Cornell Footbag Jam,"New York, United States","Ithaca, New York, United States",region_added
1301243982,Aachen Outdoor Open - The Rally Cup,"Nrw, Germany","Düsseldorf, North Rhine-Westphalia, Germany",region_added
1328094862,14th Annual IFPA European Footbag Championships,"Nrw, Germany","Düsseldorf, North Rhine-Westphalia, Germany",region_added
1392497284,3rd Czech Footbag Freestyle Meeting,"Ostrava, Czech Republic","Ostrava, Moravian-Silesian, Czech Republic",region_added
961053916,Footbag Oulu-Open 2000,"Oulu, Finland","Oulu, North Ostrobothnia, Finland",region_added
948198763,European Footbag Championships 2000,"Paris, France","Paris, Île-de-France, France",region_added
1050745947,RNH Contest 2003,"Paris, France","Paris, Île-de-France, France",region_added
1061921260,Pre Season Footbag Golf Open,"Paris, France","Paris, Île-de-France, France",region_added
1069415266,"Party Golf @ ""Salon de l'Education""","Paris, France","Paris, Île-de-France, France",region_added
1080138513,RNH Contest 2004,"Paris, France","Paris, Île-de-France, France",region_added
1089373321,6e Open de France de Footbag,"Paris, France","Paris, Île-de-France, France",region_added
1103724325,RNH Contest 2005,"Paris, France","Paris, Île-de-France, France",region_added
1113922209,,"Paris, France","Paris, Île-de-France, France",region_added
1125936037,7e Open de France de Footbag,"Paris, France","Paris, Île-de-France, France",region_added
1134914723,RNH Contest 2006,"Paris, France","Paris, Île-de-France, France",region_added
1143027870,Commalamaison Contest 2,"Paris, France","Paris, Île-de-France, France",region_added
1149763452,8e OPEN de France de Footbag,"Paris, France","Paris, Île-de-France, France",region_added
1160579826,CommALaMaison Contest 3,"Paris, France","Paris, Île-de-France, France",region_added
1166622628,RNH Contest 2007,"Paris, France","Paris, Île-de-France, France",region_added
