event,division,place,severity,issue
9901155,Team Freestyle,1,HIGH,team_row_in_singles
9901155,Team Freestyle,1,HIGH,non_person_present
9901155,Team Freestyle,2,HIGH,team_row_in_singles
9901155,Team Freestyle,2,HIGH,non_person_present
9904297,Advanced Doubles,1,HIGH,non_person_present
9904297,Doubles Ultra,1,HIGH,non_person_present
9904297,Mixed Doubles,1,HIGH,non_person_present
9904297,Open Doubles,1,HIGH,non_person_present
9904297,Open Team,1,HIGH,non_person_present
9904297,Team Freestyle,1,HIGH,team_row_in_singles
9904297,Team Freestyle,1,HIGH,non_person_present
9905304,Open Doubles,1,HIGH,non_person_present
9918278,Advanced Doubles,1,HIGH,non_person_present
9918278,Open Doubles,1,HIGH,non_person_present
9918278,Ultra Doubles,1,HIGH,non_person_present
9924417,Open Doubles,1,HIGH,non_person_present
9924417,Team Freestyle,1,HIGH,team_row_in_singles
9924417,Team Freestyle,1,HIGH,non_person_present
9928572,Advanced Doubles,1,HIGH,non_person_present
9928572,Mixed Doubles,1,HIGH,non_person_present
9928572,Open Doubles,1,HIGH,non_person_present
9928572,Women's Doubles,1,HIGH,non_person_present
9940469,Open Doubles Net,1,HIGH,non_person_present
9940469,Open Doubles Net,2,HIGH,non_person_present
9958186,Intermediate Doubles Net,1,HIGH,non_person_present
9958186,Open Doubles Net,1,HIGH,non_person_present
9958186,Open Doubles Net,2,HIGH,non_person_present
9958186,Open Freestyle Doubles,1,HIGH,team_row_in_singles
9958186,Open Freestyle Doubles,1,HIGH,non_person_present
9966902,Advanced Doubles,1,HIGH,non_person_present
9966902,Open Doubles,1,HIGH,non_person_present
9966902,Team Freestyle,1,HIGH,team_row_in_singles
9966902,Team Freestyle,1,HIGH,non_person_present
9972848,Doubles Consecutive,1,HIGH,team_row_in_singles
9972848,Doubles Consecutive,1,HIGH,non_person_present
9972848,Open Doubles Net,1,HIGH,non_person_present
9972848,Open Doubles Net,2,HIGH,non_person_present
9980521,Open Doubles,1,HIGH,non_person_present
9984533,Team Freestyle,1,HIGH,team_row_in_singles
9984533,Team Freestyle,1,HIGH,non_person_present
9984533,Team Freestyle,2,HIGH,team_row_in_singles
9984533,Team Freestyle,2,HIGH,non_person_present
9992129,Open Doubles,1,HIGH,non_person_present
9998504,Open Doubles,1,HIGH,non_person_present
9998504,Team Freestyle,1,HIGH,team_row_in_singles
9998504,Team Freestyle,1,HIGH,non_person_present
857874500,Doubles Golf,1,HIGH,team_row_in_singles
857874500,Doubles Golf,1,HIGH,non_person_present
857874500,Doubles Golf,2,HIGH,team_row_in_singles
857874500,Doubles Golf,2,HIGH,non_person_present
857874500,Doubles Golf,3,HIGH,team_row_in_singles
857874500,Doubles Golf,3,HIGH,non_person_present
857874500,Intermediate Doubles,1,HIGH,non_person_present
857874500,Intermediate Doubles,2,HIGH,non_person_present
857874500,Intermediate Doubles,3,HIGH,non_person_present
857874500,Intermediate Doubles,4,HIGH,non_person_present
857874500,Mixed Doubles,1,HIGH,non_person_present
857874500,Mixed Doubles,2,HIGH,non_person_present
857874500,Mixed Doubles,3,HIGH,non_person_present
857874500,Mixed Doubles,4,HIGH,non_person_present
857874500,Novice Doubles-Saturday,1,HIGH,non_person_present
857874500,Novice Doubles-Saturday,3,HIGH,non_person_present
857874500,Open Doubles,1,HIGH,non_person_present
857874500,Open Doubles,2,HIGH,non_person_present
857874500,Open Doubles,3,HIGH,non_person_present
857874500,Open Doubles,4,HIGH,non_person_present
857875120,Intermediate Doubles Net,1,HIGH,non_person_present
857875120,Intermediate Doubles Net,2,HIGH,non_person_present
857875120,Intermediate Doubles Net,3,HIGH,non_person_present
857875120,Mixed Doubles Freestyle,1,HIGH,team_row_in_singles
857875120,Mixed Doubles Freestyle,1,HIGH,non_person_present
857875120,Mixed Doubles Net,1,HIGH,non_person_present
857875120,Mixed Doubles Net,2,HIGH,non_person_present
857875120,Mixed Doubles Net,3,HIGH,non_person_present
857875120,Novice Doubles Net,1,HIGH,non_person_present
857875120,Novice Doubles Net,2,HIGH,non_person_present
857875120,Novice Doubles Net,3,HIGH,non_person_present
857875120,Open Doubles Freestyle,1,HIGH,team_row_in_singles
857875120,Open Doubles Freestyle,1,HIGH,non_person_present
857875120,Open Doubles Freestyle,2,HIGH,team_row_in_singles
857875120,Open Doubles Freestyle,2,HIGH,non_person_present
857875120,Open Doubles Net,1,HIGH,non_person_present
857875120,Open Doubles Net,2,HIGH,non_person_present
857875120,Open Doubles Net,3,HIGH,non_person_present
857875120,Unknown,2,HIGH,non_person_present
857875120,Women's Doubles Net,1,HIGH,non_person_present
857875120,Women's Doubles Net,2,HIGH,non_person_present
857875120,Women's Doubles Net,3,HIGH,non_person_present
857876215,Open Doubles Net,1,HIGH,non_person_present
857876215,Open Doubles Net,2,HIGH,non_person_present
857876215,Open Doubles Net,3,HIGH,non_person_present
857876215,Open Doubles Net,4,HIGH,non_person_present
857876215,Open Doubles Net,5,HIGH,non_person_present
857876215,Open Doubles Net,6,HIGH,non_person_present
857876517,Intermediate Doubles Net,1,HIGH,non_person_present
857876517,Intermediate Doubles Net,2,HIGH,non_person_present
857876517,Intermediate Doubles Net,3,HIGH,non_person_present
857876517,Intermediate Doubles Net,4,HIGH,non_person_present
857876517,Mixed Doubles Freestyle,1,HIGH,team_row_in_singles
857876517,Mixed Doubles Freestyle,1,HIGH,non_person_present
857876517,Mixed Doubles Freestyle,2,HIGH,team_row_in_singles
857876517,Mixed Doubles Freestyle,2,HIGH,non_person_present
857876517,Mixed Doubles Freestyle,3,HIGH,team_row_in_singles
857876517,Mixed Doubles Freestyle,3,HIGH,non_person_present
857876517,Mixed Doubles Freestyle,4,HIGH,team_row_in_singles
857876517,Mixed Doubles Freestyle,4,HIGH,non_person_present
857876517,Mixed Doubles Net,1,HIGH,non_person_present
857876517,Mixed Doubles Net,2,HIGH,non_person_present
857876517,Mixed Doubles Net,3,HIGH,non_person_present
857876517,Mixed Doubles Net,4,HIGH,non_person_present
857876517,Open Doubles Distance One Pass,1,HIGH,non_person_present
857876517,Open Doubles Distance One Pass,2,HIGH,non_person_present
857876517,Open Doubles Distance One Pass,3,HIGH,non_person_present
857876517,Open Doubles Distance One Pass,4,HIGH,non_person_present
857876517,Open Doubles Freestyle,1,HIGH,team_row_in_singles
857876517,Open Doubles Freestyle,1,HIGH,non_person_present
857876517,Open Doubles Freestyle,2,HIGH,team_row_in_singles
857876517,Open Doubles Freestyle,2,HIGH,non_person_present
857876517,Open Doubles Freestyle,3,HIGH,team_row_in_singles
857876517,Open Doubles Freestyle,3,HIGH,non_person_present
857876517,Open Doubles Freestyle,4,HIGH,team_row_in_singles
857876517,Open Doubles Freestyle,4,HIGH,non_person_present
857876517,Open Doubles Net,1,HIGH,non_person_present
857876517,Open Doubles Net,2,HIGH,non_person_present
857876517,Open Doubles Net,3,HIGH,non_person_present
857876517,Open Doubles Net,4,HIGH,non_person_present
857876517,Women's Doubles Distance One Pass,1,HIGH,non_person_present
857876517,Women's Doubles Distance One Pass,2,HIGH,non_person_present
857876517,Women's Doubles Distance One Pass,3,HIGH,non_person_present
857876517,Women's Doubles Distance One Pass,4,HIGH,non_person_present
857876517,Women's Doubles Net,1,HIGH,non_person_present
857876517,Women's Doubles Net,2,HIGH,non_person_present
857876517,Women's Doubles Net,3,HIGH,non_person_present
857876517,Women's Doubles Net,4,HIGH,non_person_present
857876517,Women's Open Doubles Freestyle,1,HIGH,team_row_in_singles
857876517,Women's Open Doubles Freestyle,1,HIGH,non_person_present
857876517,Women's Open Doubles Freestyle,2,HIGH,team_row_in_singles
857876517,Women's Open Doubles Freestyle,2,HIGH,non_person_present
857876517,Women's Open Doubles Freestyle,3,HIGH,team_row_in_singles
857876517,Women's Open Doubles Freestyle,3,HIGH,non_person_present
857876870,Doubles Golf,1,HIGH,doubles_only_one_player
857876870,Doubles Golf,1,HIGH,team_row_in_singles
857876870,Doubles Golf,1,HIGH,non_person_present
857876870,Doubles Golf,2,HIGH,doubles_only_one_player
857876870,Doubles Golf,2,HIGH,team_row_in_singles
857876870,Doubles Golf,2,HIGH,non_person_present
857876870,Doubles Golf,3,HIGH,doubles_only_one_player
857876870,Doubles Golf,3,HIGH,team_row_in_singles
857876870,Doubles Golf,3,HIGH,non_person_present
857876870,Doubles Golf,4,HIGH,doubles_only_one_player
857876870,Doubles Golf,4,HIGH,team_row_in_singles
857876870,Doubles Golf,4,HIGH,non_person_present
857876870,Doubles Golf,5,HIGH,doubles_only_one_player
857876870,Doubles Golf,6,HIGH,doubles_only_one_player
857876870,Doubles Golf,7,HIGH,doubles_only_one_player
857876870,Doubles Golf,8,HIGH,doubles_only_one_player
857876870,Doubles Golf,9,HIGH,doubles_only_one_player
857876870,Doubles Golf,10,HIGH,doubles_only_one_player
857876870,Doubles Golf,11,HIGH,doubles_only_one_player
857876870,Doubles Golf,12,HIGH,doubles_only_one_player
857876870,Open Doubles Net,1,HIGH,non_person_present
857876870,Open Doubles Net,2,HIGH,non_person_present
857876870,Open Doubles Net,3,HIGH,non_person_present
857876870,Open Doubles Net,4,HIGH,non_person_present
857876870,Open Doubles Net,5,HIGH,non_person_present
857876870,Open Doubles Net,6,HIGH,non_person_present
857879540,Doubles Net,1,HIGH,non_person_present
857879540,Doubles Net,2,HIGH,non_person_present
857879540,Doubles Net,3,HIGH,non_person_present
857879540,Open Doubles Footbag,1,HIGH,non_person_present
857879540,Open Doubles Footbag,2,HIGH,non_person_present
857879540,Open Doubles Footbag,3,HIGH,non_person_present
857879540,Open Doubles Footbag,4,HIGH,non_person_present
857879540,Open Doubles Footbag,5,HIGH,non_person_present
857879540,Open Freestyle,6,HIGH,team_row_in_singles
857879540,Open Freestyle,6,HIGH,non_person_present
857879540,Singles Freestyle,1,HIGH,non_person_present
857879540,Singles Freestyle,3,HIGH,team_row_in_singles
857879540,Singles Freestyle,3,HIGH,non_person_present
857880964,Intermediate Doubles Net,1,HIGH,non_person_present
857880964,Intermediate Doubles Net,2,HIGH,non_person_present
857880964,Intermediate Doubles Net,3,HIGH,non_person_present
857880964,Open Doubles Freestyle,1,HIGH,team_row_in_singles
857880964,Open Doubles Freestyle,1,HIGH,non_person_present
857880964,Open Doubles Freestyle,2,HIGH,team_row_in_singles
857880964,Open Doubles Freestyle,2,HIGH,non_person_present
857880964,Open Doubles Freestyle,3,HIGH,team_row_in_singles
857880964,Open Doubles Freestyle,3,HIGH,non_person_present
857880964,Pro Doubles Net Listing,1,HIGH,non_person_present
857880964,Pro Doubles Net Listing,2,HIGH,non_person_present
857880964,Pro Doubles Net Listing,3,HIGH,non_person_present
857880964,Pro Doubles Net Listing,4,HIGH,non_person_present
857881519,Golf Doubles Open,1,HIGH,team_row_in_singles
857881519,Golf Doubles Open,1,HIGH,non_person_present
857881519,Golf Doubles Open,2,HIGH,team_row_in_singles
857881519,Golf Doubles Open,2,HIGH,non_person_present
857881519,Golf Doubles Open,3,HIGH,team_row_in_singles
857881519,Golf Doubles Open,3,HIGH,non_person_present
857881519,Net Doubles Advanced,1,HIGH,non_person_present
857881519,Net Doubles Advanced,2,HIGH,non_person_present
857881519,Net Doubles Advanced,3,HIGH,non_person_present
857881519,Net Doubles Advanced,4,HIGH,non_person_present
857881519,Net Doubles Mixed,1,HIGH,non_person_present
857881519,Net Doubles Mixed,2,HIGH,non_person_present
857881519,Net Doubles Mixed,3,HIGH,non_person_present
857881519,Net Doubles Mixed,4,HIGH,non_person_present
857881519,Net Doubles Open,1,HIGH,non_person_present
857881519,Net Doubles Open,2,HIGH,non_person_present
857881519,Net Doubles Open,3,HIGH,non_person_present
857881519,Net Doubles Open,4,HIGH,non_person_present
857881898,Golf Results Currently Not Available,1,HIGH,non_person_present
857881898,Intermediate Doubles Net,1,HIGH,non_person_present
857881898,Intermediate Doubles Net,2,HIGH,non_person_present
857881898,Intermediate Doubles Net,3,HIGH,non_person_present
857881898,Intermediate Doubles Net,4,HIGH,non_person_present
857881898,Novice Doubles Net,1,HIGH,non_person_present
857881898,Novice Doubles Net,2,HIGH,non_person_present
857881898,Novice Doubles Net,3,HIGH,non_person_present
857881898,Novice Doubles Net,4,HIGH,non_person_present
857881898,Pro Doubles Freestyle,1,HIGH,team_row_in_singles
857881898,Pro Doubles Freestyle,1,HIGH,non_person_present
857881898,Pro Doubles Freestyle,2,HIGH,team_row_in_singles
857881898,Pro Doubles Freestyle,2,HIGH,non_person_present
857881898,Pro Doubles Freestyle,3,HIGH,team_row_in_singles
857881898,Pro Doubles Freestyle,3,HIGH,non_person_present
857881898,Pro Doubles Freestyle,4,HIGH,team_row_in_singles
857881898,Pro Doubles Freestyle,4,HIGH,non_person_present
857881898,Pro Doubles Net,1,HIGH,non_person_present
857881898,Pro Doubles Net,2,HIGH,non_person_present
857881898,Pro Doubles Net,3,HIGH,non_person_present
857881898,Pro Doubles Net,4,HIGH,non_person_present
859400929,Intermediate Doubles Net,1,HIGH,non_person_present
859400929,Intermediate Doubles Net,2,HIGH,non_person_present
859400929,Intermediate Doubles Net,3,HIGH,non_person_present
859400929,Open Doubles Freestyle,1,HIGH,team_row_in_singles
859400929,Open Doubles Freestyle,1,HIGH,non_person_present
859400929,Open Doubles Net,1,HIGH,non_person_present
859400929,Open Doubles Net,2,HIGH,non_person_present
859400929,Open Doubles Net,3,HIGH,non_person_present
859400929,Unknown,47,HIGH,non_person_present
859787898,Intermediate Doubles,1,HIGH,non_person_present
859787898,Intermediate Doubles,2,HIGH,non_person_present
859787898,Intermediate Doubles,3,HIGH,non_person_present
859787898,Intermediate Doubles,4,HIGH,non_person_present
859787898,Open Doubles,1,HIGH,non_person_present
859787898,Open Doubles,2,HIGH,non_person_present
859787898,Open Doubles,3,HIGH,non_person_present
859913311,Mixed Doubles,1,HIGH,non_person_present
859913311,Mixed Doubles,2,HIGH,non_person_present
859913311,Mixed Doubles,3,HIGH,non_person_present
859913311,Open Doubles,1,HIGH,non_person_present
859913311,Open Doubles,2,HIGH,non_person_present
859913311,Open Doubles,3,HIGH,non_person_present
859923755,Intermediate Doubles,1,HIGH,non_person_present
859923755,Intermediate Doubles,2,HIGH,non_person_present
859923755,Intermediate Doubles,3,HIGH,non_person_present
859923755,Intermediate Doubles,5,HIGH,non_person_present
859923755,Intermediate Doubles,7,HIGH,non_person_present
859923755,Intermediate Doubles,8,HIGH,non_person_present
859923755,Mixed Doubles Net,1,HIGH,non_person_present
859923755,Mixed Doubles Net,2,HIGH,non_person_present
859923755,Mixed Doubles Net,3,HIGH,non_person_present
859923755,Mixed Doubles Net,4,HIGH,non_person_present
859923755,Mixed Doubles Net,5,HIGH,non_person_present
859923755,Novice Doubles,1,HIGH,non_person_present
859923755,Novice Doubles,2,HIGH,non_person_present
859923755,Novice Doubles,3,HIGH,non_person_present
859923755,Open Doubles Net,1,HIGH,non_person_present
859923755,Open Doubles Net,2,HIGH,non_person_present
859923755,Open Doubles Net,3,HIGH,non_person_present
859923755,Open Doubles Net,4,HIGH,non_person_present
859923755,Open Doubles Net,5,HIGH,non_person_present
859923755,Open Doubles Net,6,HIGH,non_person_present
859923755,Open Doubles Net,7,HIGH,non_person_present
859923755,Open Doubles Net,8,HIGH,non_person_present
859923755,Open Doubles Net,9,HIGH,non_person_present
859923755,Open Doubles Net,10,HIGH,non_person_present
859923755,Open Doubles Net,11,HIGH,non_person_present
859923755,Open Doubles Net,12,HIGH,non_person_present
860356126,Advanced Doubles Footbag Net,1,HIGH,non_person_present
860356126,Advanced Doubles Footbag Net,2,HIGH,non_person_present
860356126,Advanced Doubles Footbag Net,3,HIGH,non_person_present
860356126,Advanced Doubles Footbag Net,4,HIGH,non_person_present
860356126,Mixed Doubles Footbag Net,1,HIGH,non_person_present
860356126,Mixed Doubles Footbag Net,2,HIGH,non_person_present
860356126,Mixed Doubles Footbag Net,3,HIGH,non_person_present
860356126,Mixed Doubles Footbag Net,4,HIGH,non_person_present
860356126,Novice Doubles Footbag Net,1,HIGH,non_person_present
860356126,Novice Doubles Footbag Net,2,HIGH,non_person_present
860356126,Novice Doubles Footbag Net,3,HIGH,non_person_present
860356126,Novice Doubles Footbag Net,4,HIGH,non_person_present
860356126,Open Doubles Footbag Net,1,HIGH,non_person_present
860356126,Open Doubles Footbag Net,2,HIGH,non_person_present
860356126,Open Doubles Footbag Net,3,HIGH,non_person_present
860356126,Open Doubles Footbag Net,4,HIGH,non_person_present
865043841,Intermediate Doubles Net,1,HIGH,non_person_present
865043841,Intermediate Doubles Net,2,HIGH,non_person_present
865043841,Intermediate Doubles Net,3,HIGH,non_person_present
865043841,Open Doubles Net,1,HIGH,non_person_present
865043841,Open Doubles Net,2,HIGH,non_person_present
865043841,Open Doubles Net,3,HIGH,non_person_present
873922005,Doubles Net,1,HIGH,non_person_present
873922005,Doubles Net,2,HIGH,non_person_present
873922005,Doubles Net,3,HIGH,non_person_present
873922005,Doubles Net,4,HIGH,non_person_present
873922005,Freestyle,2,HIGH,team_row_in_singles
873922005,Freestyle,2,HIGH,non_person_present
873922005,Singles Net,3,HIGH,team_row_in_singles
873922005,Singles Net,3,HIGH,non_person_present
876331623,Mixed Doubles Net,1,HIGH,non_person_present
876331623,Mixed Doubles Net,2,HIGH,non_person_present
876331623,Open Doubles Net,1,HIGH,non_person_present
876331623,Open Doubles Net,2,HIGH,non_person_present
876331623,Open Doubles Net,3,HIGH,non_person_present
876331623,Open Doubles Net,4,HIGH,non_person_present
876336655,Open Doubles,1,HIGH,non_person_present
876336655,Open Doubles,2,HIGH,non_person_present
876336655,Open Doubles,3,HIGH,non_person_present
876336655,Open Doubles,4,HIGH,non_person_present
876336655,Open Doubles,5,HIGH,non_person_present
876336655,Open Mixed Doubles,1,HIGH,non_person_present
876336655,Open Mixed Doubles,2,HIGH,non_person_present
876336655,Open Mixed Doubles,3,HIGH,non_person_present
876336655,Open Mixed Doubles,4,HIGH,non_person_present
876336655,Open Mixed Doubles,5,HIGH,non_person_present
876336655,Women's Doubles,1,HIGH,non_person_present
876336655,Women's Doubles,2,HIGH,non_person_present
876336655,Women's Doubles,3,HIGH,non_person_present
876336655,Women's Doubles,4,HIGH,non_person_present
876356874,Intermediate Doubles Net,1,HIGH,non_person_present
876356874,Intermediate Doubles Net,2,HIGH,non_person_present
876356874,Intermediate Doubles Net,3,HIGH,non_person_present
876356874,Intermediate Doubles Net,4,HIGH,non_person_present
876356874,Intermediate Doubles Net,5,HIGH,non_person_present
876356874,Intermediate Doubles Net,6,HIGH,non_person_present
876356874,Intermediate Doubles Net,7,HIGH,non_person_present
876356874,Intermediate Doubles Net,10,HIGH,non_person_present
876356874,Intermediate Doubles Net,13,HIGH,non_person_present
876356874,Mixed Doubles Freestyle,1,HIGH,team_row_in_singles
876356874,Mixed Doubles Freestyle,1,HIGH,non_person_present
876356874,Open Doubles Freestyle,1,HIGH,team_row_in_singles
876356874,Open Doubles Freestyle,1,HIGH,non_person_present
876356874,Open Doubles Freestyle,2,HIGH,team_row_in_singles
876356874,Open Doubles Freestyle,2,HIGH,non_person_present
876356874,Open Doubles Freestyle,3,HIGH,team_row_in_singles
876356874,Open Doubles Freestyle,3,HIGH,non_person_present
876356874,Open Doubles Net,1,HIGH,non_person_present
876356874,Open Doubles Net,2,HIGH,non_person_present
876356874,Open Doubles Net,3,HIGH,non_person_present
876356874,Open Doubles Net,4,HIGH,non_person_present
876356874,Open Doubles Net,5,HIGH,non_person_present
876356874,Open Doubles Net,6,HIGH,non_person_present
876356874,Open Doubles Net,7,HIGH,non_person_present
876356874,Open Doubles Net,8,HIGH,non_person_present
876356874,Open Doubles Net,9,HIGH,non_person_present
876356874,Open Doubles Net,13,HIGH,non_person_present
876356874,Open Doubles Net,17,HIGH,non_person_present
876356874,Open Mixed Doubles Net,2,HIGH,non_person_present
876356874,Open Mixed Doubles Net,3,HIGH,non_person_present
876356874,Open Mixed Doubles Net,4,HIGH,non_person_present
876356874,Open Mixed Doubles Net,5,HIGH,non_person_present
876356874,Open Mixed Doubles Net,9,HIGH,non_person_present
876356874,Open Mixed Doubles Net,13,HIGH,non_person_present
876356874,Open Mixed Doubles Net (15 Teams),1,HIGH,non_person_present
876356874,Women's Open Doubles Freestyle,1,HIGH,team_row_in_singles
876356874,Women's Open Doubles Freestyle,1,HIGH,non_person_present
876356874,Women's Open Doubles Freestyle,1,HIGH,city_as_partner
876356874,Women's Open Doubles Net,1,HIGH,non_person_present
876356874,Women's Open Doubles Net,2,HIGH,non_person_present
876356874,Women's Open Doubles Net,3,HIGH,non_person_present
876356874,Women's Open Doubles Net,4,HIGH,non_person_present
876356874,Women's Open Doubles Net,4,HIGH,city_as_partner
876590022,Open Doubles,1,HIGH,non_person_present
876590022,Open Doubles,2,HIGH,non_person_present
876590022,Open Doubles,3,HIGH,non_person_present
876590022,Open Doubles,4,HIGH,non_person_present
876591529,Intermediate Doubles Footbag Net,1,HIGH,non_person_present
876591529,Intermediate Doubles Footbag Net,2,HIGH,non_person_present
876591529,Intermediate Doubles Footbag Net,3,HIGH,non_person_present
876591529,Intermediate Singles Footbag Net,1,HIGH,team_row_in_singles
876591529,Intermediate Singles Footbag Net,1,HIGH,non_person_present
876591529,Intermediate Singles Footbag Net,2,HIGH,team_row_in_singles
876591529,Intermediate Singles Footbag Net,2,HIGH,non_person_present
876591529,Intermediate Singles Footbag Net,3,HIGH,team_row_in_singles
876591529,Intermediate Singles Footbag Net,3,HIGH,non_person_present
876591529,Men's Open Doubles Footbag Net,1,HIGH,non_person_present
876591529,Men's Open Doubles Footbag Net,2,HIGH,non_person_present
876591529,Men's Open Doubles Footbag Net,3,HIGH,non_person_present
876591529,Open Doubles 5-Minute Timed Consecutives,1,HIGH,team_row_in_singles
876591529,Open Doubles 5-Minute Timed Consecutives,1,HIGH,non_person_present
876591529,Open Doubles 5-Minute Timed Consecutives,2,HIGH,team_row_in_singles
876591529,Open Doubles 5-Minute Timed Consecutives,2,HIGH,non_person_present
876591529,Open Doubles 5-Minute Timed Consecutives,3,HIGH,team_row_in_singles
876591529,Open Doubles 5-Minute Timed Consecutives,3,HIGH,non_person_present
876591529,Open Doubles Distance One-Pass,1,HIGH,non_person_present
876591529,Open Doubles Distance One-Pass,2,HIGH,non_person_present
876591529,Open Doubles Distance One-Pass,3,HIGH,non_person_present
876591529,Open Doubles Freestyle,1,HIGH,team_row_in_singles
876591529,Open Doubles Freestyle,1,HIGH,non_person_present
876591529,Open Doubles Freestyle,2,HIGH,team_row_in_singles
876591529,Open Doubles Freestyle,2,HIGH,non_person_present
876591529,Open Doubles Freestyle,3,HIGH,team_row_in_singles
876591529,Open Doubles Freestyle,3,HIGH,non_person_present
876591529,Open Mixed Doubles Footbag Net,1,HIGH,non_person_present
876591529,Open Mixed Doubles Footbag Net,2,HIGH,non_person_present
876591529,Open Mixed Doubles Footbag Net,3,HIGH,non_person_present
876591529,Open Mixed Doubles Freestyle,1,HIGH,team_row_in_singles
876591529,Open Mixed Doubles Freestyle,1,HIGH,non_person_present
876591529,Open Mixed Doubles Freestyle,2,HIGH,team_row_in_singles
876591529,Open Mixed Doubles Freestyle,2,HIGH,non_person_present
876591529,Open Mixed Doubles Freestyle,3,HIGH,team_row_in_singles
876591529,Open Mixed Doubles Freestyle,3,HIGH,non_person_present
876591529,Women's Intermediate Singles Footbag Net,1,HIGH,team_row_in_singles
876591529,Women's Intermediate Singles Footbag Net,1,HIGH,non_person_present
876591529,Women's Intermediate Singles Footbag Net,2,HIGH,team_row_in_singles
876591529,Women's Intermediate Singles Footbag Net,2,HIGH,non_person_present
876591529,Women's Intermediate Singles Footbag Net,3,HIGH,team_row_in_singles
876591529,Women's Intermediate Singles Footbag Net,3,HIGH,non_person_present
876591529,Women's Open 5-Minute Timed Consecutives,1,HIGH,team_row_in_singles
876591529,Women's Open 5-Minute Timed Consecutives,1,HIGH,non_person_present
876591529,Women's Open 5-Minute Timed Consecutives,2,HIGH,team_row_in_singles
876591529,Women's Open 5-Minute Timed Consecutives,2,HIGH,non_person_present
876591529,Women's Open 5-Minute Timed Consecutives,3,HIGH,team_row_in_singles
876591529,Women's Open 5-Minute Timed Consecutives,3,HIGH,non_person_present
876591529,Women's Open Doubles Distance One-Pass,1,HIGH,non_person_present
876591529,Women's Open Doubles Distance One-Pass,2,HIGH,non_person_present
876591529,Women's Open Doubles Distance One-Pass,3,HIGH,non_person_present
876591529,Women's Open Doubles Footbag Net,1,HIGH,non_person_present
876591529,Women's Open Doubles Footbag Net,2,HIGH,non_person_present
876591529,Women's Open Doubles Footbag Net,3,HIGH,non_person_present
876591529,Women's Open Doubles Freestyle,1,HIGH,team_row_in_singles
876591529,Women's Open Doubles Freestyle,1,HIGH,non_person_present
877061793,Beginner Doubles Net (Sunday) 6 Teams,1,HIGH,non_person_present
877061793,Beginner Doubles Net (Sunday) 6 Teams,2,HIGH,non_person_present
877061793,Beginner Doubles Net (Sunday) 6 Teams,3,HIGH,non_person_present
877061793,Beginner Doubles Net (Sunday) 6 Teams,4,HIGH,non_person_present
877061793,Intermediate Doubles Net 6 Entrants,1,HIGH,non_person_present
877061793,Intermediate Doubles Net 6 Entrants,2,HIGH,non_person_present
877061793,Intermediate Doubles Net 6 Entrants,3,HIGH,non_person_present
877061793,Intermediate Doubles Net 6 Entrants,4,HIGH,non_person_present
877061793,Intermediate Singles Net 10 Entrants,5,HIGH,team_row_in_singles
877061793,Intermediate Singles Net 10 Entrants,5,HIGH,non_person_present
877061793,Mixed Doubles Net 12 Teams,1,HIGH,non_person_present
877061793,Mixed Doubles Net 12 Teams,2,HIGH,non_person_present
877061793,Mixed Doubles Net 12 Teams,3,HIGH,non_person_present
877061793,Mixed Doubles Net 12 Teams,4,HIGH,non_person_present
877061793,Mixed Doubles Net 12 Teams,5,HIGH,non_person_present
877061793,Open Doubles Net 12 Teams,1,HIGH,non_person_present
877061793,Open Doubles Net 12 Teams,2,HIGH,non_person_present
877061793,Open Doubles Net 12 Teams,3,HIGH,non_person_present
877061793,Open Doubles Net 12 Teams,4,HIGH,non_person_present
877061793,Open Doubles Net 12 Teams,5,HIGH,non_person_present
877061793,Open Doubles Net 12 Teams,7,HIGH,non_person_present
877061793,Open Singles Net 16 Entrants,5,HIGH,team_row_in_singles
877061793,Open Singles Net 16 Entrants,5,HIGH,non_person_present
877061793,Open Singles Net 16 Entrants,7,HIGH,team_row_in_singles
877061793,Open Singles Net 16 Entrants,7,HIGH,non_person_present
877061793,Open Singles Net 16 Entrants,9,HIGH,team_row_in_singles
877061793,Open Singles Net 16 Entrants,9,HIGH,non_person_present
877061793,Women's Doubles Net,1,HIGH,non_person_present
877061793,Women's Doubles Net,2,HIGH,non_person_present
877061793,Women's Doubles Net,3,HIGH,non_person_present
877061793,Women's Doubles Net,4,HIGH,non_person_present
877061793,Women's Doubles Net,5,HIGH,non_person_present
877061793,Women's Singles Net 9 Entrants,5,HIGH,team_row_in_singles
877061793,Women's Singles Net 9 Entrants,5,HIGH,non_person_present
877848852,Intermediate Doubles Net,1,HIGH,non_person_present
877848852,Intermediate Doubles Net,2,HIGH,non_person_present
877848852,Intermediate Doubles Net,3,HIGH,non_person_present
877848852,Novice Doubles Net,1,HIGH,non_person_present
877848852,Novice Doubles Net,2,HIGH,non_person_present
877848852,Novice Doubles Net,3,HIGH,non_person_present
879319107,Intermediate Doubles Net,1,HIGH,non_person_present
879319107,Intermediate Doubles Net,2,HIGH,non_person_present
879319107,Intermediate Doubles Net,3,HIGH,non_person_present
879319107,Intermediate Doubles Net,4,HIGH,non_person_present
879319107,Mixed Doubles Net,1,HIGH,non_person_present
879319107,Mixed Doubles Net,2,HIGH,non_person_present
879319107,Mixed Doubles Net,3,HIGH,non_person_present
879319107,Open Doubles Net,1,HIGH,non_person_present
879319107,Open Doubles Net,2,HIGH,non_person_present
