person_id,person_canon,source_scope,ifpa_member_id,bap_member,bap_year,bap_nickname,fbhof_member,fbhof_year,source,confidence,notes
3f48caf5-14c9-59f1-8255-1db7ef2fd049,Jenny Davison,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
40fa16ff-a418-5da9-914e-3a09e231f2a7,Bill Langbehn,POST1997,68045,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
4667c817-96f6-5e6e-b3ab-46ecd390dc0e,Shannon Aubin,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
472663b7-a356-59f4-8743-c5ad3fae999e,Gary Preston,POST1997,78313,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
4901847d-1c88-5fda-aca5-a24c19da90d9,Lee Guenther,POST1997,12009,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
4a06d35f-7a27-5347-8c06-3157385d71f6,Jodi Chandler,POST1997,70566,N,,,N,,persons.csv (post-1997 canonical),HIGH,
4a680cee-eee2-5f29-9637-86075d66581c,Bob Swerdlick,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
5cb79fb4-ab20-558f-b4a2-e7206c9f22df,Dave Hill,POST1997,,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
5e46bdbe-bbbb-5cca-aacb-d5edf9bf2540,Tim Mackey,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
5e9196f6-80e9-58e5-b152-822cd1fc1021,Grace Faucette,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
5ed3846e-4212-5e19-84ff-19cc486e66db,Cheri Johnson,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
5f056e75-0943-584d-8969-c6a2a03760f2,Peter Shunny,POST1997,12934,N,,,Y,2003,persons.csv (post-1997 canonical),HIGH,
63327293-7bb9-5a45-a50a-e2a2167ba80e,Karen Gunther,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
64472889-80b6-5457-a226-8aa66fa810fd,Allan Petersen,POST1997,19031,N,,,Y,2002,persons.csv (post-1997 canonical),HIGH,
64a7a989-aa2c-5a58-b141-e8378be4a962,Andy Linder,POST1997,33477,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
669a3821-2547-5215-9edd-7965ff400e69,Linda Burt,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,Gary Lautt,POST1997,12434,N,,,Y,1999,persons.csv (post-1997 canonical),HIGH,
67af5b3f-6e16-530a-8841-409debf11fb0,Bill Bethurum,POST1997,,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
6dd7483e-cc7e-53ca-8424-1f36838e8faa,Mark Pistorio,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
70e1582b-c009-508a-b3e1-11b184198b72,Mike Mueller,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
73728c19-e412-5006-aa48-1d2685a77f7e,Judy Grace,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
