person_id,person_canon,style_mentions_total,distinct_style_terms,atomic,blazing,ducking,gyro,pixie,spinning,stepping,symposium,tapping
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,18,7,3,0,2,1,1,7,2,2,0
48268322-19d9-5180-aac2-241293167d21,Nick Landes,10,4,0,0,4,2,0,3,0,1,0
8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,10,3,0,0,5,0,4,0,0,1,0
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,9,5,1,0,4,0,2,1,0,1,0
401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,9,3,0,0,0,0,7,0,1,1,0
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,8,3,0,0,1,1,0,6,0,0,0
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,7,4,1,0,3,1,0,2,0,0,0
6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,7,3,0,0,3,0,3,0,1,0,0
4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,7,2,0,0,0,0,3,4,0,0,0
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,6,3,0,0,1,0,1,4,0,0,0
6c912402-7d0e-580d-938c-7c6542c48bb1,Kevin Regamey,5,3,2,0,0,0,1,0,0,2,0
9f9142e1-95ac-511a-b996-7873698c7818,Kyle Hewitt,5,3,1,0,1,0,0,0,0,3,0
9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,5,3,3,0,1,0,0,0,0,1,0
e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,5,3,0,0,1,0,3,0,1,0,0
0c1d57ac-f8a6-5c3e-a66f-eac82c8a5df4,Jindrich Smola,4,4,1,0,1,0,1,0,0,1,0
98ce4e04-05ca-56ca-b8c6-83f51c164c89,Vaclav Klouda,4,4,1,0,1,0,0,1,0,1,0
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,4,3,1,0,2,0,0,0,1,0,0
bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,4,2,0,0,2,0,2,0,0,0,0
90d8f87f-5a27-5bee-a520-21eef47922bc,Dimitar Dimitrov,4,2,0,0,0,0,0,0,0,3,1
04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,4,2,0,0,0,0,0,2,0,2,0
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,3,3,0,0,1,0,1,0,0,1,0
1e09ba09-ec4b-5961-8b95-e0d638dc4f5c,Jan Weber,3,3,1,0,1,0,0,0,1,0,0
23c6748c-39f8-5ecd-ae9c-c3d83c0bfec6,Luis Monhollon,3,3,0,0,1,1,0,1,0,0,0
3e78df68-5425-5d48-a88a-3bf59fe2934f,Matt Kemmer,3,3,0,1,0,0,0,1,0,1,0
a26afc0f-bd6e-5139-b55a-6bc85585f68c,Ylugin Alexey,3,3,1,0,1,0,0,0,1,0,0
0b36838e-ef53-5c81-adf5-5dda95b42e84,Andreas Grandi Peier,3,2,0,0,1,0,2,0,0,0,0
c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,3,2,0,0,1,0,2,0,0,0,0
f07b9590-cb35-55ba-8277-3e9c15e177d0,Krystian Bubula,3,2,0,0,2,0,0,0,0,1,0
60860e34-935d-5bb0-b718-a430fa4a142e,Lon Smith,3,2,0,0,1,0,0,2,0,0,0
0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,3,2,0,0,1,0,0,2,0,0,0
3de01059-2378-5f56-910f-08e61f3294a1,Roy Klein,3,2,0,0,1,0,2,0,0,0,0
337dc937-b022-51ef-8470-99fff306e2c9,Alex Dworetzky,2,2,0,0,1,0,0,1,0,0,0
4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,2,2,0,0,0,0,1,1,0,0,0
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,2,2,0,0,0,0,0,0,1,1,0
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,2,2,0,0,1,1,0,0,0,0,0
71501d92-2a94-5c78-9fe7-8cc7c58de04b,Augustin Tiffaud,2,2,1,0,1,0,0,0,0,0,0
9ccb1c1b-89e0-5406-9e37-a287f34a84d8,Ben Schmaltz,2,2,0,0,0,0,1,0,0,1,0
97dfde65-956c-5842-994d-05a877c49182,Cale McCoy,2,2,0,0,1,0,1,0,0,0,0
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,2,2,0,0,1,1,0,0,0,0,0
033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,2,2,0,1,0,0,0,1,0,0,0
4c3321eb-1528-530b-8f38-c42260d9af08,Donner Oleg,2,2,0,0,0,0,1,0,0,0,1
c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,2,2,0,0,1,0,0,0,1,0,0
be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,2,2,1,0,1,0,0,0,0,0,0
079f9c62-8932-55ad-8ae9-204ed637793f,Gabriel Gaudette,2,2,0,0,1,0,1,0,0,0,0
a0b21552-454a-5667-a2dd-cadedd749e8d,Ian Brill,2,2,1,0,0,0,0,0,0,1,0
3568ce18-bf1b-55b6-aefd-61f65f55b08c,Jakub Grabarczyk,2,2,0,0,1,0,0,1,0,0,0
e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,2,2,0,0,0,0,0,1,1,0,0
3ff6ba8b-ae30-553e-81f9-18538fb5c86b,Jessica Archer,2,2,0,0,1,0,1,0,0,0,0
0f3711ce-8884-5d1c-a612-ac106a4864cf,John Fanuzzi,2,2,0,0,1,0,1,0,0,0,0
94fa84c1-d2d6-52df-a224-c318a0e3771c,Maciej Pietrzycki,2,2,0,0,1,0,1,0,0,0,0
9cd9cd3b-f4f9-5444-8dcc-46f60e41fb59,Manna Mpepo,2,2,0,0,1,0,1,0,0,0,0
05e1eec0-b3f1-5728-8ad2-831de4fc204f,Marco Hartig,2,2,0,0,0,0,1,0,1,0,0
f3627296-7396-580c-90ac-ad13b76da7b5,Matthew Kemmer,2,2,0,0,0,1,0,0,0,0,1
11d957ec-ccf4-5fe5-b749-e80806fc0e3a,Nate Linscott,2,2,0,0,1,1,0,0,0,0,0
700e0ec0-94b9-5de3-b9a9-8d40a3645de3,Patrik Cerny,2,2,0,0,1,0,1,0,0,0,0
27906256-df7d-5101-8427-d2735d2bda7a,Pomanov Andrey,2,2,0,0,1,0,0,1,0,0,0
8fc44a4b-aa33-5106-8cc6-8f2303bf1b0e,Zac Jackson,2,2,0,0,1,0,1,0,0,0,0
348ea683-38f2-54ab-ad04-db29a37bb687,Zeb Jackson,2,2,0,0,1,0,0,1,0,0,0
38c0f384-29fa-5cd9-b3e7-707e76e7aa9a,Andreas Hoffmann,2,1,0,0,2,0,0,0,0,0,0
77de2a9d-0785-5fea-bc31-e614ae622492,Benny Kellman,2,1,0,0,0,0,0,2,0,0,0
2b72150a-23a0-5c22-864d-86e32a01f185,Brendan Erskine,2,1,0,0,2,0,0,0,0,0,0
cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,2,1,0,0,0,0,2,0,0,0,0
0f51c65d-c889-5354-8cb7-21bef31c04ca,Jake Milofsky,2,1,0,0,2,0,0,0,0,0,0
437d9bc1-f872-5687-9191-689dccedb6d0,Michal Biarda,2,1,0,0,0,0,2,0,0,0,0
b1905548-0ada-590b-8d3b-3264d4e49e99,Santeri Karvinen,2,1,0,0,0,0,2,0,0,0,0
274d2f51-e2d5-5458-be40-6b9211ff813e,Scott Davidson,2,1,0,0,0,0,0,0,2,0,0
8f15594c-f3f9-53d9-bfe5-409e746b7c29,Sunil Jani,2,1,0,0,0,0,0,0,2,0,0
a9518594-35d9-53cd-8e8d-a7bc4de94236,Sébastien Maillet,2,1,0,0,2,0,0,0,0,0,0
de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,1,1,1,0,0,0,0,0,0,0,0
7c74c3f5-dc54-5e47-8365-e84497f4c943,Aleksi Airinen,1,1,0,0,0,0,1,0,0,0,0
743b3110-af5d-5b1d-a489-5f0ebece2abd,Alex Bernstein,1,1,0,0,0,0,0,1,0,0,0
448d4c37-75f4-5396-bd2f-544dd0ab967c,Alex Verget,1,1,0,0,0,0,0,0,1,0,0
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,1,1,0,0,1,0,0,0,0,0,0
be733240-4c4d-553c-9df4-4c47b38a19e4,Allan Haggett,1,1,0,0,0,0,0,0,1,0,0
00d8d056-e8a7-5229-97bf-e0cb3b881cd8,Anssi Sundberg,1,1,0,0,0,0,0,0,0,1,0
6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,1,1,1,0,0,0,0,0,0,0,0
4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,1,1,0,0,0,0,0,0,0,0,1
c448d0ea-1fd7-5477-89bf-ef54258ab246,Bob Glasser,1,1,0,0,0,0,1,0,0,0,0
40b58c8d-2350-5041-8600-e392b511e0bc,Carlos Terraza,1,1,0,0,0,0,1,0,0,0,0
2daa07f5-d830-521e-af6e-4a39cd094e92,Chad Devlahovich,1,1,0,0,0,0,0,1,0,0,0
43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,1,1,0,0,1,0,0,0,0,0,0
d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,1,1,0,0,1,0,0,0,0,0,0
c1c401e4-2560-5f81-9f5b-8c866a93eb12,Cody Rushing,1,1,0,0,0,0,1,0,0,0,0
6814ebbf-d3d7-5489-b71b-9f4128847219,Cristoph Alexander,1,1,0,0,1,0,0,0,0,0,0
