year,new_tricks,avg_add_new_tricks,max_add_new_tricks,cumulative_tricks
2001,9,8.788,10.586,9
2002,14,8.535,12.083,23
2003,6,7.279,8.8,29
2004,10,8.779,12.375,39
2005,5,8.66,10.1,44
2006,5,6.95,10.0,49
2007,10,6.703,12.2,59
2008,3,6.889,10.0,62
