person_id,person_canon,unique_tricks,total_tricks,diversity_ratio,compound_tricks,modifier_tokens,top_tricks,year_first,year_last
8a740aac-66c5-5fe2-a482-2acd1d1cdc11,Lynton Stephens,3,4,0.75,2,1,pixie | ducking mirage | legover,2003,2003
0d90bb3c-6c67-5057-9ac2-d85f9f94fa26,Alex Lopez,3,3,1.0,3,0,blender | mobius | whirl,2012,2012
0f3711ce-8884-5d1c-a612-ac106a4864cf,John Fanuzzi,3,3,1.0,2,1,butterfly | ducking osis | pixie,2008,2008
0f51c65d-c889-5354-8cb7-21bef31c04ca,Jake Milofsky,3,3,1.0,3,0,ducking butterfly | ripwalk | whirl,2002,2002
126a7db1-2603-5589-848f-c0af515660a1,Johnathon Murphy,3,3,1.0,2,1,ripwalk | pixie | whirl,2003,2003
17a27155-b5bc-5c72-ac90-602127a1ed24,Andy Nawrath,3,3,1.0,2,1,mobius | paradox torque | paradox,2025,2025
17fc25c9-e348-5e57-8e6a-e3e974cc28e9,Denton Louis,3,3,1.0,3,0,legover | mirage | butterfly,2007,2007
1bfb569c-6400-5fbb-aca1-66b0cfb3abc3,Jacob Wren,3,3,1.0,2,1,spinning | ripwalk | whirl,2007,2007
2863264e-bf65-5f88-aef4-0b89332b7a29,Hubert Godlewski,3,3,1.0,2,1,paradox blender | spinning | whirl,2005,2005
2fe08509-fcb3-5ecd-8828-40411bc4a036,Wojciech Jamski,3,3,1.0,3,0,blurry whirl | superfly | swirl,2009,2009
39dac0e1-9d56-515a-b0a9-2c64055c08e8,Ronny Schimmel,3,3,1.0,3,0,ducking mirage | clipper | mirage,2014,2014
42cfb7b0-8f51-53ff-9721-f4ac4b909290,Brad Nelson,3,3,1.0,3,0,paradox blender | paradox torque | blurry whirl,2002,2002
448d4c37-75f4-5396-bd2f-544dd0ab967c,Alex Verget,3,3,1.0,2,1,stepping | clipper | drifter,2006,2006
49ad435e-3398-59da-985c-65ce0612bdd3,Jan Brekle,3,3,1.0,2,1,barfly | swirl | ducking,2012,2012
4c3321eb-1528-530b-8f38-c42260d9af08,Donner Oleg,3,3,1.0,1,2,blurriest | tapping | pixie,2004,2004
513c8bcf-4c53-5b90-8c71-a823c1f917a2,Stu Sapia,3,3,1.0,2,1,pickup | pixie | guay,2006,2006
6814ebbf-d3d7-5489-b71b-9f4128847219,Cristoph Alexander,3,3,1.0,3,0,ducking clipper | clipper | whirl,2019,2019
