event_id,division_canon,message
1001942070,Women?S Singles Net,Division with ? in letter context: 'Women?S Singles Net' (event 1001942070)
1052775366,Women?S Freestyle,Division with ? in letter context: 'Women?S Freestyle' (event 1052775366)
1109356644,Master?S Singles Net,Division with ? in letter context: 'Master?S Singles Net' (event 1109356644)
1293877917,Women?S Circle Contest,Division with ? in letter context: 'Women?S Circle Contest' (event 1293877917)
1293877917,Women?S Shred 30,Division with ? in letter context: 'Women?S Shred 30' (event 1293877917)
1293877917,Women?S Singles Routines,Division with ? in letter context: 'Women?S Singles Routines' (event 1293877917)
1294262550,Women?S Doubles Net,Division with ? in letter context: 'Women?S Doubles Net' (event 1294262550)
