event_id,division_canon,person_canon,places,message
1297909685,Women's Singles Net,Ivaneidy Zambrano Torres,"[1, 5]","[sub_round] event=1297909685 div=""Women's Singles Net"" person='Ivaneidy Zambrano Torres' places=[1, 5] (roundy-division heuristic net/freestyle/shred etc.)"
1301675662,Woman Single Net,Ivaneidy Zambrano Torres,"[1, 4]","[sub_round] event=1301675662 div='Woman Single Net' person='Ivaneidy Zambrano Torres' places=[1, 4] (roundy-division heuristic net/freestyle/shred etc.)"
1301837216,Open Singles Net,Benjamin Rochon,"[2, 3]","[adjacent_podium] event=1301837216 div='Open Singles Net' person='Benjamin Rochon' places=[2, 3] (dual-division or heat/final)"
1301837216,Open Singles Net,Luc Legeault,"[2, 3]","[adjacent_podium] event=1301837216 div='Open Singles Net' person='Luc Legeault' places=[2, 3] (dual-division or heat/final)"
1314323534,Shred 30,Alberto Perez,"[1, 2]","[adjacent_podium] event=1314323534 div='Shred 30' person='Alberto Perez' places=[1, 2] (dual-division or heat/final)"
1314323534,Shred 30,Sebastian Ceballos,"[1, 2]","[adjacent_podium] event=1314323534 div='Shred 30' person='Sebastian Ceballos' places=[1, 2] (dual-division or heat/final)"
1336988107,Shred 30,Bartosz Bubula,"[5, 6]","[sub_round] event=1336988107 div='Shred 30' person='Bartosz Bubula' places=[5, 6] (pool/heat/round-robin)"
1337617980,Request,Stefan Siegert,"[3, 4]","[sub_round] event=1337617980 div='Request' person='Stefan Siegert' places=[3, 4] (pool/heat/round-robin)"
1337617980,Request,Rene Ruehr,"[2, 4]","[sub_round] event=1337617980 div='Request' person='Rene Ruehr' places=[2, 4] (pool/heat/round-robin)"
1337617980,Request,Jakob Wagner,"[2, 3]","[adjacent_podium] event=1337617980 div='Request' person='Jakob Wagner' places=[2, 3] (dual-division or heat/final)"
1346948712,Open Freestyle Circle,Alex Lopez,"[2, 3]","[adjacent_podium] event=1346948712 div='Open Freestyle Circle' person='Alex Lopez' places=[2, 3] (dual-division or heat/final)"
1346948712,Open Freestyle Circle,Juan Bernardo Palacios Lemos,"[4, 5]","[sub_round] event=1346948712 div='Open Freestyle Circle' person='Juan Bernardo Palacios Lemos' places=[4, 5] (pool/heat/round-robin)"
1346948712,Open Freestyle Circle,Carlos Terraza,"[3, 5]","[sub_round] event=1346948712 div='Open Freestyle Circle' person='Carlos Terraza' places=[3, 5] (pool/heat/round-robin)"
1346948712,Open Freestyle Circle,Diego Velazquez,"[1, 4]","[sub_round] event=1346948712 div='Open Freestyle Circle' person='Diego Velazquez' places=[1, 4] (pool/heat/round-robin)"
1346948712,Open Freestyle Circle,Sebastian Ceballos,"[2, 5]","[sub_round] event=1346948712 div='Open Freestyle Circle' person='Sebastian Ceballos' places=[2, 5] (pool/heat/round-robin)"
1366375326,Request Contest,Filip Wojcik,"[2, 4]","[sub_round] event=1366375326 div='Request Contest' person='Filip Wojcik' places=[2, 4] (pool/heat/round-robin)"
1376036018,Sick 3,Marcin Bujko,"[2, 4, 6]","[sub_round] event=1376036018 div='Sick 3' person='Marcin Bujko' places=[2, 4, 6] (pool-play-heavy event)"
1376036018,Sick 3,Patryk Tenderenda,"[4, 7, 9]","[sub_round] event=1376036018 div='Sick 3' person='Patryk Tenderenda' places=[4, 7, 9] (pool-play-heavy event)"
1376036018,Sick 3,Tomas Ostrowski,"[5, 6, 7]","[sub_round] event=1376036018 div='Sick 3' person='Tomas Ostrowski' places=[5, 6, 7] (pool/heat/round-robin)"
1376036018,Sick 3,Arkadiusz Stanek,"[3, 5, 8, 9]","[sub_round] event=1376036018 div='Sick 3' person='Arkadiusz Stanek' places=[3, 5, 8, 9] (pool-play-heavy event)"
1376036018,Sick 3,Damian Budzik,"[5, 6]","[sub_round] event=1376036018 div='Sick 3' person='Damian Budzik' places=[5, 6] (pool/heat/round-robin)"
1376036018,Sick 3,Pawel Scierski,"[5, 9]","[sub_round] event=1376036018 div='Sick 3' person='Pawel Scierski' places=[5, 9] (pool-play-heavy event)"
1376036018,Sick 3,Pawe Nowak,"[3, 6]","[sub_round] event=1376036018 div='Sick 3' person='Pawe Nowak' places=[3, 6] (pool-play-heavy event)"
1406219099,Sick 3,Maciej Niczyporuk,"[2, 3]","[adjacent_podium] event=1406219099 div='Sick 3' person='Maciej Niczyporuk' places=[2, 3] (dual-division or heat/final)"
1406219099,Sick 3,Jakub Mosciszewski,"[3, 5]","[sub_round] event=1406219099 div='Sick 3' person='Jakub Mosciszewski' places=[3, 5] (pool/heat/round-robin)"
1406219099,Sick 3,Evan Gatesman,"[1, 6]","[sub_round] event=1406219099 div='Sick 3' person='Evan Gatesman' places=[1, 6] (roundy-division heuristic net/freestyle/shred etc.)"
1415986036,Sick 3,Patrik Cerny,"[2, 3]","[adjacent_podium] event=1415986036 div='Sick 3' person='Patrik Cerny' places=[2, 3] (dual-division or heat/final)"
1439332196,Request Contest,Jakub Mosciszewski,"[1, 2]","[adjacent_podium] event=1439332196 div='Request Contest' person='Jakub Mosciszewski' places=[1, 2] (dual-division or heat/final)"
1439332196,Sick 3,Maciej Niczyporuk,"[1, 2]","[adjacent_podium] event=1439332196 div='Sick 3' person='Maciej Niczyporuk' places=[1, 2] (dual-division or heat/final)"
1467142686,Open Circle Contest,Mariusz Wilk,"[3, 4]","[sub_round] event=1467142686 div='Open Circle Contest' person='Mariusz Wilk' places=[3, 4] (pool/heat/round-robin)"
1467142686,Open Circle Contest,Marcin Bujko,"[1, 4]","[sub_round] event=1467142686 div='Open Circle Contest' person='Marcin Bujko' places=[1, 4] (pool/heat/round-robin)"
1473853257,Footbag Golf,Maciej Pietrzycki,"[3, 5]","[sub_round] event=1473853257 div='Footbag Golf' person='Maciej Pietrzycki' places=[3, 5] (pool/heat/round-robin)"
1473853257,Footbag Golf,Damian Budzik,"[1, 3]","[sub_round] event=1473853257 div='Footbag Golf' person='Damian Budzik' places=[1, 3] (pool/heat/round-robin)"
1485863923,Sick 3,Mariusz Wilk,"[6, 8]","[sub_round] event=1485863923 div='Sick 3' person='Mariusz Wilk' places=[6, 8] (pool/heat/round-robin)"
1485863923,Sick 3,Arkadiusz Stanek,"[2, 4]","[sub_round] event=1485863923 div='Sick 3' person='Arkadiusz Stanek' places=[2, 4] (pool/heat/round-robin)"
1485863923,Sick 3,Przemyslaw Pietrzycki,"[6, 7]","[sub_round] event=1485863923 div='Sick 3' person='Przemyslaw Pietrzycki' places=[6, 7] (pool/heat/round-robin)"
1487797845,Open Routines,Krystof Maler,"[2, 4]","[sub_round] event=1487797845 div='Open Routines' person='Krystof Maler' places=[2, 4] (pool/heat/round-robin)"
1487797845,Open Routines,Arkadiusz Stanek,"[2, 5]","[sub_round] event=1487797845 div='Open Routines' person='Arkadiusz Stanek' places=[2, 5] (roundy-division heuristic net/freestyle/shred etc.)"
1487797845,Open Routines,Juho Marjo,"[1, 6]","[sub_round] event=1487797845 div='Open Routines' person='Juho Marjo' places=[1, 6] (roundy-division heuristic net/freestyle/shred etc.)"
1487797845,Open Routines,Vaclav Klouda,"[1, 2]","[adjacent_podium] event=1487797845 div='Open Routines' person='Vaclav Klouda' places=[1, 2] (dual-division or heat/final)"
1487797845,Open Routines,Pawel Nowak,"[1, 3]","[sub_round] event=1487797845 div='Open Routines' person='Pawel Nowak' places=[1, 3] (pool/heat/round-robin)"
1547415984,Shred 30,Alexander Trenner,"[3, 9]","[sub_round] event=1547415984 div='Shred 30' person='Alexander Trenner' places=[3, 9] (pool/heat/round-robin)"
1547415984,Shred 30,Maciej Niczyporuk,"[1, 9]","[sub_round] event=1547415984 div='Shred 30' person='Maciej Niczyporuk' places=[1, 9] (pool/heat/round-robin)"
1547415984,Shred 30,Vaclav Klouda,"[1, 9]","[sub_round] event=1547415984 div='Shred 30' person='Vaclav Klouda' places=[1, 9] (pool/heat/round-robin)"
1547415984,Shred 30,Santeri Karvinen,"[5, 17]","[sub_round] event=1547415984 div='Shred 30' person='Santeri Karvinen' places=[5, 17] (pool/heat/round-robin)"
1600984774,Circle,Maciej Niczyporuk,"[2, 3]","[adjacent_podium] event=1600984774 div='Circle' person='Maciej Niczyporuk' places=[2, 3] (dual-division or heat/final)"
1600984774,Circle,Mariusz Wilk,"[3, 5]","[sub_round] event=1600984774 div='Circle' person='Mariusz Wilk' places=[3, 5] (pool/heat/round-robin)"
1600984774,Circle,Filip Wojcik,"[1, 5]","[sub_round] event=1600984774 div='Circle' person='Filip Wojcik' places=[1, 5] (pool/heat/round-robin)"
1600984774,Circle,Damian Gielnicki,"[1, 2]","[adjacent_podium] event=1600984774 div='Circle' person='Damian Gielnicki' places=[1, 2] (dual-division or heat/final)"
1634665636,Request,Filip Wojcik,"[2, 3]","[adjacent_podium] event=1634665636 div='Request' person='Filip Wojcik' places=[2, 3] (dual-division or heat/final)"
1634665636,Request,Damian Gielnicki,"[2, 3]","[adjacent_podium] event=1634665636 div='Request' person='Damian Gielnicki' places=[2, 3] (dual-division or heat/final)"
1694170899,Sick3,Maciej Niczyporuk,"[4, 7]","[sub_round] event=1694170899 div='Sick3' person='Maciej Niczyporuk' places=[4, 7] (pool-play-heavy event)"
1694170899,Sick3,Jakub Mosciszewski,"[2, 7]","[sub_round] event=1694170899 div='Sick3' person='Jakub Mosciszewski' places=[2, 7] (pool-play-heavy event)"
1694170899,Sick3,Damian Gielnicki,"[2, 3, 5]","[sub_round] event=1694170899 div='Sick3' person='Damian Gielnicki' places=[2, 3, 5] (pool-play-heavy event)"
1694170899,Sick3,Pawe Nowak,"[4, 5]","[sub_round] event=1694170899 div='Sick3' person='Pawe Nowak' places=[4, 5] (pool/heat/round-robin)"
1700920831,Singles Net,Tuomas Riisalo,"[2, 3]","[adjacent_podium] event=1700920831 div='Singles Net' person='Tuomas Riisalo' places=[2, 3] (dual-division or heat/final)"
1727756195,Open Sick3,Jakub Worek,"[3, 5]","[sub_round] event=1727756195 div='Open Sick3' person='Jakub Worek' places=[3, 5] (pool/heat/round-robin)"
1741024635,2-Square,Mikko Lepisto,"[2, 5]","[sub_round] event=1741024635 div='2-Square' person='Mikko Lepisto' places=[2, 5] (pool-play-heavy event)"
857880054,Open Singles Net,Trevor Mazzucchelli,"[2, 3]","[adjacent_podium] event=857880054 div='Open Singles Net' person='Trevor Mazzucchelli' places=[2, 3] (dual-division or heat/final)"
857880054,Open Singles Net,John Burrage,"[1, 2]","[adjacent_podium] event=857880054 div='Open Singles Net' person='John Burrage' places=[1, 2] (dual-division or heat/final)"
