effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,norm_key,legacyid
a52b3ed1-d04e-5efd-8f5d-875e51c954e9,Dillon George,8326033f-bad3-5f38-8b27-2d054010b9b4 | 84cdc64a-2286-5d1f-b88a-8628ef7b590a,Dillon George,,,,overrides+data,Dillon George,,,,george,,
4e25b192-feb6-527d-96c9-a8b91e5bc654,Dim Derricott,c33f9b11-a590-58cb-bea1-0c650fe06ac1,Dim Derricott,,,,overrides+data,Dim Derricott,,,,derricott,,
90d8f87f-5a27-5bee-a520-21eef47922bc,Dimitar Dimitrov,102f5dc2-ebe0-5b6d-9b25-cb2333927915 | 8193f78c-3971-53ea-b456-91b7fe8c1a2e,Dimitar Dimitrov,,,,overrides+data,Dimitar Dimitrov,,,,dimitrov,,
a399a42d-40cc-5b18-8d3e-e88a28f4683f,Dinko Dimitrov,1be115a2-0d1b-5117-9d92-7ee434b1190d | 1d77385b-84ca-506b-8931-c84816189549 | 6a3360ec-d4bd-5ae2-a138-6aa19d3e3cd2 | dc270aca-dda7-530a-8088-dc05383a76c0,Dinko Dimitrov,,,,overrides+data,Dinko Dimitrov,,Dinko Loco Dimitrov,,dimitrov,,
a8ad920e-cc10-515d-b38c-f332fb415df4,Dirk Jansen,27027443-2fcf-521f-a5d4-e2f74d959cb2,Dirk Jansen,,,,overrides+data,Dirk Jansen,,,,jansen,,
a3036351-4d3f-504d-add4-4ae9fc629177,Dirk Janssens,77d3e39f-1035-57d8-b9ac-05d75590d263 | 7b0a4afb-1f55-5628-abcd-4e909b72cd7c,Dirk Janssens,,,,overrides+data,Dirk Janssens,,,,janssens,,
e7434808-0e4b-5383-a903-d3e06bd5fd86,Dmitry Afanasyev,7a112b9c-8fc3-5956-8d4c-1174a030c83d,Dmitry Afanasyev,,,,overrides+data,Dmitry Afanasyev,,,,afanasyev,,
95862386-4210-572e-9a66-adcec5516d41,Dobri Markov,,Dobri Markov,,,,overrides+data,Dobri Markov,,,,markov,,
63e87d1c-3a6e-511e-af23-9586b873217f,Dobromir Markov,67f7c3c0-8d81-5d80-99f2-dd25adefb1b5,Dobromir Markov,,,,overrides+data,Dobromir Markov,,,,markov,,
037a987a-d6b4-5573-81be-6b41e6d161e1,Dominic Allard,78974bfc-0575-5455-aa0b-305cc1614833 | d3d9e908-7e27-59db-8cde-a1527b37e6d0,Dominic Allard,,,,overrides+data,Dominic Allard,,,,allard,,
