result_id,canonical_event_id,division_raw,place,player_raw,team_raw,source_event_id,source_type
c007d6733b,1983_worlds_wfa,Mixed Dbls Net,3,,Nancy Reynolds/Constance Constable,d7766289c6,FBW
e411db61e7,1983_worlds_wfa,Open Sgls Freestyle,1,Kenny Shults,,d7766289c6,FBW
bc8c601231,1983_worlds_wfa,Open Team Freestyle,1,,Gary Laut/Mag Hughes/Jim Caveney/Greg Cortopassi,d7766289c6,FBW
7b716dc32f,1983_worlds_wfa,Open Team Freestyle,2,,Jack Schoolcraft/Will Squire,d7766289c6,FBW
70305348fe,1983_worlds_wfa,Open Sgls Consecutive,1,Andy Linder,,d7766289c6,FBW
49d69f136c,1983_worlds_wfa,Open Golf,1,Kenny Shults,,d7766289c6,FBW
3ddbe28d53,1983_worlds_wfa,Open Golf,2,?,,d7766289c6,FBW
3be65a8b51,1983_worlds_wfa,Open Golf,3,?,,d7766289c6,FBW
6028337f94,1984_wfa_nationals,Men's Overall,1,Mag Hughes,,0585eab2a3,FBW
3bfec0b873,1984_wfa_nationals,Women's Overall,1,Tricia George,,0585eab2a3,FBW
844292e07d,1984_wfa_nationals,Open Sgls Net,1,Mag Hughes,,0585eab2a3,FBW
6096159dce,1984_wfa_nationals,Open Sgls Net,2,Dave Robinson,,0585eab2a3,FBW
5b6ecdc054,1984_wfa_nationals,Open Sgls Net,3,Kenny Shults,,0585eab2a3,FBW
c8ad9090d2,1984_wfa_nationals,Open Dbls Net,1,,Mag Hughes/Billy Hayne,0585eab2a3,FBW
7625531637,1984_wfa_nationals,Open Dbls Net,2,,Kenny Shults/Mike Harding,0585eab2a3,FBW
83c9548cdd,1984_wfa_nationals,Open Dbls Net,3,,Jim Caveney/Dave Robinson,0585eab2a3,FBW
e74ee0089e,1984_wfa_nationals,Women's Sgls Net,1,Nancy Reynolds,,0585eab2a3,FBW
b694daa76e,1984_wfa_nationals,Women's Sgls Net,2,Tricia George,,0585eab2a3,FBW
d531446133,1984_wfa_nationals,Women's Sgls Net,3,Trudy Archdale,,0585eab2a3,FBW
fe6a936768,1984_wfa_nationals,Women's Dbls Net,1,,Nancy Reynolds/Tricia George,0585eab2a3,FBW
62dfbf940e,1984_wfa_nationals,Women's Dbls Net,2,,Constance Constable/Jenny Davidson,0585eab2a3,FBW
9ba0ac45d0,1984_wfa_nationals,Women's Dbls Net,3,,Jodi Sebastian/Shannon Aubin,0585eab2a3,FBW
d707fe1939,1984_wfa_nationals,Mixed Dbls Net,1,,Tricia George/Dave Robinson,0585eab2a3,FBW
f52bc1c937,1984_wfa_nationals,Mixed Dbls Net,2,,Nancy Reynolds/Greg Cortopassi,0585eab2a3,FBW
62e303cd41,1984_wfa_nationals,Mixed Dbls Net,3,,Cheryl Hughes/Mag Hughes,0585eab2a3,FBW
a5effdf8e7,1984_wfa_nationals,Open Sgls Freestyle,1,Andy Linder,,0585eab2a3,FBW
cc99d1b3b0,1984_wfa_nationals,Open Sgls Freestyle,2,Kenny Shults,,0585eab2a3,FBW
8f81de21d6,1984_wfa_nationals,Open Sgls Freestyle,3,Jack Schoolcraft,,0585eab2a3,FBW
2e69bf2265,1984_wfa_nationals,Open Team Freestyle,1,,Jim Fitzgerald/Jack Schoolcraft,0585eab2a3,FBW
518e3edc68,1984_wfa_nationals,Open Team Freestyle,2,,Gary Laut/Jim Caveney/Mag Hughes,0585eab2a3,FBW
dd2156def6,1984_wfa_nationals,Open Team Freestyle,3,,Scott Cleere/Bill Bethurum,0585eab2a3,FBW
0633df218b,1984_wfa_nationals,Women's Team Freestyle,1,,Tricia George/Jodi Sebastian,0585eab2a3,FBW
428d87e172,1984_wfa_nationals,Women's Team Freestyle,2,,Suzanne Beauchemin/Constance Constable,0585eab2a3,FBW
7d8692ded8,1984_wfa_nationals,Women's Team Freestyle,3,,Jenny Davidson/Ruth Osterman,0585eab2a3,FBW
334ea887e2,1984_wfa_nationals,Open Sgls Consecutive,1,Pat Castle,,0585eab2a3,FBW
0a944f1ff2,1984_wfa_nationals,Open Golf,1,Kenny Shults,,0585eab2a3,FBW
e84423cbcc,1984_wfa_nationals,Open Golf,2,Tim Mackey,,0585eab2a3,FBW
dd9b2f1b67,1984_wfa_nationals,Open Golf,3,Tobin Wigger,,0585eab2a3,FBW
d3aaf6bc07,1985_wfa_nationals,Men's Overall,1,Kenny Shults,,a7e1c7efa7,FBW
0a98adc065,1985_wfa_nationals,Women's Overall,1,Tricia George,,a7e1c7efa7,FBW
22af5de874,1985_wfa_nationals,Open Sgls Net,1,Mag Hughes,,a7e1c7efa7,FBW
2ccaf54736,1985_wfa_nationals,Open Sgls Net,2,Dave Robinson,,a7e1c7efa7,FBW
7ba60e1fdb,1985_wfa_nationals,Open Sgls Net,3,Kenny Shults,,a7e1c7efa7,FBW
