person_id,person_canon,source_scope,person_status,aliases,notes
046fa84f-2797-5d25-866e-4d04c12880dd,Randy Ross,PRE1997_ONLY,NEW_EARLY_PLAYER,,OLD_RESULTS.txt
e0682f82-69f2-5395-bf80-1f7c9a2e2cad,Sindre Madsen,PRE1997_ONLY,NEW_EARLY_PLAYER,,FBW_V06_N02_p033.jpg
7d9fad30-f7f8-569b-b27d-7ef146e35653,Steve Brown,PRE1997_ONLY,NEW_EARLY_PLAYER,,OLD_RESULTS.txt
ecd4e14c-7ddf-560c-8cd0-ec10bedf4095,Ted Johnson,PRE1997_ONLY,NEW_EARLY_PLAYER,,OLD_RESULTS.txt
42b5c8be-9cb5-5b3b-b167-13fd86b35ca4,Torgeir Rygh,PRE1997_ONLY,NEW_EARLY_PLAYER,,FBW_V06_N02_p033.jpg; FBW_V06_N02_p034.jpg; FBW_V06_N03_p035.jpg
df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,POST1997,ACTIVE,jim caveney,Added by PRE1997_V2 alias accept
2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,POST1997,ACTIVE,ken shults,Added by PRE1997_V2 alias accept
f38e2f8e-cba6-5fff-8b20-90791fd0d794,Torben Wigger,POST1997,ACTIVE,tobin wigger,Added by PRE1997_V2 alias accept
3d1b24de-41bd-56eb-86b8-8afb919a63b5,Ted Martin,POST1997,ACTIVE,ted martens,Added by PRE1997_V2 alias accept
f3ec9520-9a64-5342-81a3-a82f6e84775a,Etienne Constable,PRE1997_ONLY,NEW_EARLY_PLAYER,,USA; 1996 Worlds Overall p5; Open Team Routines p4 with Brent Welch. Married to Constance (Reed) Constable — distinct person.
85f8ff5b-2965-5dfc-9b0b-3a8080a54e0c,Alf Marcussen,PRE1997_ONLY,NEW_EARLY_PLAYER,,Norway; 1996 Worlds: Open Doubles Distance p1 with Brent Welch; Open Doubles p3 with Brent Welch.
0c818de6-0a8f-5395-8b29-bba237ce94e7,Matt Saucerman,PRE1997_ONLY,NEW_EARLY_PLAYER,,USA; 1996 Worlds Intermediate Golf p2.
2efe37c4-862c-51a5-a64f-558dfa452e72,Valerie Davidson,PRE1997_ONLY,NEW_EARLY_PLAYER,,USA; 1996 Worlds Women's Golf p3.
a699ad74-53a3-54c5-b5ec-fb35dbd78b3e,Lori Di Monte,PRE1997_ONLY,NEW_EARLY_PLAYER,,Canada; 1996 Worlds Women's Intermediate Singles p3.
5ebc4a1e-272c-5478-bdb3-9dfedbe18e9d,Jeff Wickman,PRE1997_ONLY,NEW_EARLY_PLAYER,,USA; 1996 Worlds Intermediate Doubles p1 with Ben Floor.
34499cf8-8f76-5ba1-a4b6-deb908fdab54,Ben Floor,PRE1997_ONLY,NEW_EARLY_PLAYER,,USA; 1996 Worlds Intermediate Doubles p1 with Jeff Wickman.
586bf126-1bac-52a5-a354-c1253bc57544,Tuomas Kärki,PRE1997_ONLY,NEW_EARLY_PLAYER,,Finland; 1996 Worlds Intermediate Doubles p2 with Jukka Peltola.
53335424-f4eb-5933-8b9b-939b6f177ea2,Scott Milne,POST1997,ESTABLISHED,,Referenced in 1995/1996 verified_new events
