event_id,year,event_type,event_name,div_mirror,div_stage2,match_type,mirror_count,stage2_count,diff,pct_change,status
1057345914,1991,mixed,East Coast Footbag Championships - 1991 - 9th Annual,,Open Singles Net,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
1057345914,1991,mixed,East Coast Footbag Championships - 1991 - 9th Annual,,Intermediate Doubles Net,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
1057345914,1991,mixed,East Coast Footbag Championships - 1991 - 9th Annual,,Open Doubles Net,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857852604,1997,freestyle,Southern California Footbag Championships,Open Singles Routines,Open Singles Routines,exact,5,4,-1,-20.0%,OK
857852604,1997,freestyle,Southern California Footbag Championships,Intermediate Singles Routines,Intermediate Singles Routines,exact,3,2,-1,-33.3%,PLACEMENTS_REDUCED
857874500,1997,mixed,University of Oregon Footbag Tournament,The Results,,no_match,24,0,-24,-100.0%,DIV_MISSING_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Singles Golf,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Novice Doubles-Saturday,stage2_only,0,2,2,,DIV_ONLY_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Intermediate Singles,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Women's Singles,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Open Singles,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Mixed Doubles,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Doubles Golf,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Intermediate Doubles,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857874500,1997,mixed,University of Oregon Footbag Tournament,,Open Doubles,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,Open Singles Routines,OPEN SINGLES NET,partial(0.50),4,3,-1,-25.0%,OK
857875120,1997,mixed,Western Regional Footbag Championships,Women's Singles Routines,WOMEN'S SINGLES NET,partial(0.60),3,3,0,+0.0%,OK
857875120,1997,mixed,Western Regional Footbag Championships,Intermediate Singles Routines,INTERMEDIATE SINGLES NET,partial(0.50),3,3,0,+0.0%,OK
857875120,1997,mixed,Western Regional Footbag Championships,,Unknown,stage2_only,0,1,1,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,OPEN DOUBLES NET,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,WOMEN'S DOUBLES NET,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,INTERMEDIATE DOUBLES NET,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,MIXED DOUBLES NET,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,OPEN SINGLES FREESTYLE,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,WOMEN'S SINGLES FREESTYLE,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,INTERMEDIATE SINGLES FREESTYLE,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,OPEN DOUBLES FREESTYLE,stage2_only,0,2,2,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,MIXED DOUBLES FREESTYLE,stage2_only,0,1,1,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,OPEN GOLF,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857875120,1997,mixed,Western Regional Footbag Championships,,NOVICE DOUBLES NET,stage2_only,0,6,6,,DIV_ONLY_IN_STAGE2
857876215,1997,net,State Games of Oregon Footbag Tournament,,INTERMEDIATE 5-MINUTE TIMED CONSECUTIVES,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857876215,1997,net,State Games of Oregon Footbag Tournament,,OPEN 5-MINUTE TIMED CONSECUTIVES,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857876215,1997,net,State Games of Oregon Footbag Tournament,,INTERMEDIATE SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876215,1997,net,State Games of Oregon Footbag Tournament,,OPEN SINGLES NET,stage2_only,0,6,6,,DIV_ONLY_IN_STAGE2
857876215,1997,net,State Games of Oregon Footbag Tournament,,OPEN DOUBLES NET,stage2_only,0,6,6,,DIV_ONLY_IN_STAGE2
857876215,1997,net,State Games of Oregon Footbag Tournament,,WOMEN'S SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,OPEN SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,OPEN DOUBLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,WOMEN'S SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,WOMENS DOUBLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE DOUBLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE WOMEN'S SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,MIXED DOUBLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,OPEN SINGLES FREESTYLE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,OPEN DOUBLES FREESTYLE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,WOMEN'S OPEN SINGLES FREESTYLE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,WOMEN'S OPEN DOUBLES FREESTYLE,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE SINGLES FREESTYLE,stage2_only,0,5,5,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,MIXED DOUBLES FREESTYLE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,OPEN TIMED CONSECUTIVE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,OPEN WOMEN'S TIMED CONSECUTIVE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,OPEN DOUBLES DISTANCE ONE PASS,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,WOMEN'S DOUBLES DISTANCE ONE PASS,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,OPEN GOLF,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,WOMEN'S GOLF,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE GOLF,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857876870,1997,net,Eugene Celebration Footbag Tournament,,Doubles Golf,stage2_only,0,17,17,,DIV_ONLY_IN_STAGE2
857876870,1997,net,Eugene Celebration Footbag Tournament,,Open Doubles Net,stage2_only,0,8,8,,DIV_ONLY_IN_STAGE2
857879540,1997,mixed,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,Open Singles Routines,Open Singles Footbag,partial(0.50),8,4,-4,-50.0%,PLACEMENTS_REDUCED
857879540,1997,mixed,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,,Open Freestyle,stage2_only,0,8,8,,DIV_ONLY_IN_STAGE2
857879540,1997,mixed,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,,Open Doubles Footbag,stage2_only,0,5,5,,DIV_ONLY_IN_STAGE2
857879540,1997,mixed,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,,Open Golf,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857879540,1997,mixed,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,,Singles Freestyle,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857879540,1997,mixed,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,,Singles Net,stage2_only,0,6,6,,DIV_ONLY_IN_STAGE2
857879540,1997,mixed,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,,Doubles Net,stage2_only,0,8,8,,DIV_ONLY_IN_STAGE2
857880054,1997,net,Bedford (Australia) Indoor Footbag Championships,Results from the five minute timed consecutives were as follows,,no_match,3,0,-3,-100.0%,DIV_MISSING_IN_STAGE2
857880054,1997,net,Bedford (Australia) Indoor Footbag Championships,,[Inferred from event name: Bedford (Australia) Indoor Foo],stage2_only,0,8,8,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,Intermediate Singles Net,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,PRO SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE DOUBLES NET,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,PRO DOUBLES NET LISTING,stage2_only,0,5,5,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,NOVICE FREESTYLE,stage2_only,0,5,5,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE SINGLES FREESTYLE,stage2_only,0,6,6,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,WOMENS OPEN SINGLES FREESTYLE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,MENS OPEN SINGLES FREESTYLE,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,OPEN DOUBLES FREESTYLE,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,SHRED CONTEST,stage2_only,0,1,1,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,NOVICE CONSECUTIVES,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE TIMED 5-MINUTE CONSECUTIVES,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,INTERMEDIATE FOOTBAG GOLF,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,,PRO FOOTBAG GOLF,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,NET DOUBLES OPEN,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,NET DOUBLES MIXED,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,NET DOUBLES ADVANCED,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,NET SINGLES OPEN,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,NET SINGLES WOMENS,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,NET SINGLES ADVANCED,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,GOLF SINGLES OPEN,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,GOLF SINGLES ADVANCED,stage2_only,0,2,2,,DIV_ONLY_IN_STAGE2
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),,GOLF DOUBLES OPEN,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,PRO SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,PRO DOUBLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,PRO SINGLES FREESTYLE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,PRO DOUBLES FREESTYLE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,INTERMEDIATE SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,INTERMEDIATE DOUBLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,NOVICE SINGLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,NOVICE DOUBLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,AMATEUR FREESTYLE,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
857881898,1997,mixed,Funtastik Summer Classic,,FREESTYLE SHED CONTEST WINNER,stage2_only,0,1,1,,DIV_ONLY_IN_STAGE2
859400929,1997,mixed,Montreal International Footbag Championships,OPEN SINGLES NET,OPEN SINGLES NET,exact,4,4,0,+0.0%,OK
859400929,1997,mixed,Montreal International Footbag Championships,WOMEN'S SINGLES NET,WOMEN'S SINGLES NET,exact,8,4,-4,-50.0%,PLACEMENTS_REDUCED
859400929,1997,mixed,Montreal International Footbag Championships,INTERMEDIATE SINGLES NET,INTERMEDIATE SINGLES NET,exact,4,4,0,+0.0%,OK
859400929,1997,mixed,Montreal International Footbag Championships,INTERMEDIATE DOUBLES NET,INTERMEDIATE DOUBLES NET,exact,4,4,0,+0.0%,OK
859400929,1997,mixed,Montreal International Footbag Championships,NOVICE SINGLES NET,NOVICE SINGLES NET,exact,8,4,-4,-50.0%,PLACEMENTS_REDUCED
859400929,1997,mixed,Montreal International Footbag Championships,,Unknown,stage2_only,0,1,1,,DIV_ONLY_IN_STAGE2
859400929,1997,mixed,Montreal International Footbag Championships,,OPEN DOUBLES NET,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
859400929,1997,mixed,Montreal International Footbag Championships,,OPEN SINGLES FREESTYLE,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
859400929,1997,mixed,Montreal International Footbag Championships,,OPEN DOUBLES FREESTYLE,stage2_only,0,1,1,,DIV_ONLY_IN_STAGE2
859657310,1997,freestyle,New York Footbag EXPLOSION,Novice Freestyle,Novice Freestyle,exact,4,4,0,+0.0%,OK
859657310,1997,freestyle,New York Footbag EXPLOSION,Intermediate Freestyle,Intermediate Freestyle,exact,7,4,-3,-42.9%,PLACEMENTS_REDUCED
859657310,1997,freestyle,New York Footbag EXPLOSION,,Open Freestyle,stage2_only,0,3,3,,DIV_ONLY_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,EVENTS,,no_match,37,0,-37,-100.0%,DIV_MISSING_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,,BEGINNERS SINGLES,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,,WOMENS SINGLES,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,,INTERMEDIATE SINGLES,stage2_only,0,6,6,,DIV_ONLY_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,,INTERMEDIATE DOUBLES,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,,OPEN SINGLES,stage2_only,0,7,7,,DIV_ONLY_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,,OPEN DOUBLES,stage2_only,0,4,4,,DIV_ONLY_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,,SHRED SKILLS CONTEST FINAL RESULTS,stage2_only,0,1,1,,DIV_ONLY_IN_STAGE2
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,,SHRED SKILLS CONTEST,stage2_only,0,7,7,,DIV_ONLY_IN_STAGE2
859913311,1997,net,Air-A-Zona State Footbag Championships,Open Singles,Open Singles,exact,3,3,0,+0.0%,OK
859913311,1997,net,Air-A-Zona State Footbag Championships,Open Doubles,Open Doubles,exact,3,3,0,+0.0%,OK
859913311,1997,net,Air-A-Zona State Footbag Championships,Mixed Doubles,Mixed Doubles,exact,3,3,0,+0.0%,OK
859913311,1997,net,Air-A-Zona State Footbag Championships,Women's Singles,Women's Singles,exact,3,3,0,+0.0%,OK
859923755,1997,mixed,California State Footbag Championships,OPEN SINGLES FREESTYLE,OPEN SINGLES FREESTYLE,exact,4,4,0,+0.0%,OK
859923755,1997,mixed,California State Footbag Championships,INTERMEDIATE SINGLES FREESTYLE,INTERMEDIATE SINGLES FREESTYLE,exact,3,3,0,+0.0%,OK
859923755,1997,mixed,California State Footbag Championships,OPEN DOUBLES NET,OPEN DOUBLES NET,exact,12,13,1,+8.3%,OK
859923755,1997,mixed,California State Footbag Championships,MIXED DOUBLES NET,MIXED DOUBLES NET,exact,16,6,-10,-62.5%,PLACEMENTS_REDUCED
859923755,1997,mixed,California State Footbag Championships,,INTERMEDIATE DOUBLES,stage2_only,0,9,9,,DIV_ONLY_IN_STAGE2
