event_id,year,event_name,event_type,division_raw,division_canon,place,competitor_type,player1_name,player2_name
2001982001,1982,World Championships 1982 (NHSA),mixed,FREESTYLE,Freestyle,1,team,Greg Cortopassi,Bruce Guettich
2001982001,1982,World Championships 1982 (NHSA),mixed,FREESTYLE,Freestyle,2,player,Gary Lautt,
2001982001,1982,World Championships 1982 (NHSA),mixed,FREESTYLE,Freestyle,1,team,Jack Schoolcraft,Reed Gray
2001982001,1982,World Championships 1982 (NHSA),mixed,INTERMEDIATE FREESTYLE,Intermediate Freestyle,1,player,Bill Langbehn,
2001983001,1983,World Championships 1983 (NHSA),mixed,SINGLES CONSECUTIVE KICKS,Singles Consecutive Kicks,1,player,Andy Linder,
2001983001,1983,World Championships 1983 (NHSA),mixed,SINGLES CONSECUTIVE KICKS,Singles Consecutive Kicks,1,player,"Jim Caveney, 3rd -Gary Lautt",
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S CONSECUTIVE KICKS,Women's Consecutive Kicks,1,player,Nancy Reynolds,
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S CONSECUTIVE KICKS,Women's Consecutive Kicks,2,player,Cheri Johnson,
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S CONSECUTIVE KICKS,Women's Consecutive Kicks,1,player,Grace Faucette,
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S SINGLES NET,Women's Singles Net,1,player,Lori Jean Conover,
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S SINGLES NET,Women's Singles Net,2,player,Nancy Reynolds,
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S SINGLES NET,Women's Singles Net,3,player,Cheryl Hughes,
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S DOUBLES NET,Women's Doubles Net,1,team,Lori Jean Conover,Cheryl Hughes
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S DOUBLES NET,Women's Doubles Net,2,team,Tricia George,Judy Grace
2001983001,1983,World Championships 1983 (NHSA),mixed,WOMEN'S DOUBLES NET,Women's Doubles Net,1,team,Nancy Reynolds,Constance Constable
2001983001,1983,World Championships 1983 (NHSA),mixed,MIXED DOUBLES NET,Mixed Doubles Net,1,team,Lori Jean Conover,Bill Hayne
2001983001,1983,World Championships 1983 (NHSA),mixed,MIXED DOUBLES NET,Mixed Doubles Net,2,team,Cheryl Hughes,Mag Hughes
2001983001,1983,World Championships 1983 (NHSA),mixed,MIXED DOUBLES NET,Mixed Doubles Net,1,team,Tricia George,David Robinson
2001983001,1983,World Championships 1983 (NHSA),mixed,SINGLES NET,Singles Net,1,player,Mag Hughes,
2001983001,1983,World Championships 1983 (NHSA),mixed,SINGLES NET,Singles Net,2,player,Ken Shults,
2001983001,1983,World Championships 1983 (NHSA),mixed,SINGLES NET,Singles Net,3,player,David Robinson,
2001983001,1983,World Championships 1983 (NHSA),mixed,DOUBLES NET,Doubles Net,1,team,Mag Hughes,Bill Hayne
2001983001,1983,World Championships 1983 (NHSA),mixed,DOUBLES NET,Doubles Net,2,team,Greg Cortopassi,Bruce Guettich
2001983001,1983,World Championships 1983 (NHSA),mixed,DOUBLES NET,Doubles Net,1,team,David Robinson,Kevin Courtney
2001983001,1983,World Championships 1983 (NHSA),mixed,INTERMEDIATESINGLES NET,Intermediatesingles Net,1,player,Jimmy Evans,
2001983001,1983,World Championships 1983 (NHSA),mixed,SINGLES FREESTYLE,Singles Freestyle,1,player,Ken Shults,
2001983001,1983,World Championships 1983 (NHSA),mixed,SINGLES FREESTYLE,Singles Freestyle,2,player,Andy Linder,
2001983001,1983,World Championships 1983 (NHSA),mixed,SINGLES FREESTYLE,Singles Freestyle,3,player,Jeff Johnson,
2001983001,1983,World Championships 1983 (NHSA),mixed,TEAM FREESTYLE,Team Freestyle,1,team,Greg Cortopassi,Mag Hughes
