result_id,canonical_event_id,division_raw,place,player_name_raw,person_id,person_canon,resolution_status,source_type
a3c659f467,1e36e7ca92,Women's Sgls Net,2,Carolyn Ramondie,cbf84862-04b1-5408-9e43-49b9818ed9aa,Carolyn Ramondie,MATCHED,FBW
69ca6270c5,1e36e7ca92,Women's Sgls Net,3,Karen Gunther,63327293-7bb9-5a45-a50a-e2a2167ba80e,Karen Gunther,MATCHED,FBW
0f4334650b,1e36e7ca92,Women's Dbls Net,1,Carolyn Ramondie,cbf84862-04b1-5408-9e43-49b9818ed9aa,Carolyn Ramondie,MATCHED,FBW
0f4334650b,1e36e7ca92,Women's Dbls Net,1,Lori Jean Tarr,,,REVIEW_NEEDED,FBW
315223983f,1e36e7ca92,Women's Dbls Net,2,Rita Buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,Rita Buckley,MATCHED,FBW
315223983f,1e36e7ca92,Women's Dbls Net,2,Alex Frazier,1f2d14aa-31e7-5d1f-a338-9ae43af68af5,Alex Frazier,MATCHED,FBW
14aed77b21,1e36e7ca92,Women's Dbls Net,3,Karen Uppinghouse,4b3d47c0-977c-5285-a31f-b3c2f33428a8,Karen Uppinghouse,NEW_PLAYER,FBW
14aed77b21,1e36e7ca92,Women's Dbls Net,3,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,Cheryl Hughes,MATCHED,FBW
4c06cfa01a,1e36e7ca92,Mixed Dbls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
4c06cfa01a,1e36e7ca92,Mixed Dbls Net,1,Alex Frazier,1f2d14aa-31e7-5d1f-a338-9ae43af68af5,Alex Frazier,MATCHED,FBW
6b4eb67eec,1e36e7ca92,Mixed Dbls Net,2,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,Bill Hayne,AUTOACCEPTED,FBW
6b4eb67eec,1e36e7ca92,Mixed Dbls Net,2,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,Cheryl Hughes,MATCHED,FBW
550ca7ceb6,1e36e7ca92,Mixed Dbls Net,3,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
550ca7ceb6,1e36e7ca92,Mixed Dbls Net,3,Rita Buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,Rita Buckley,MATCHED,FBW
42aa4ad24e,1e36e7ca92,Open Sgls Freestyle,1,Gary Laut,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,Gary Lautt,AUTOACCEPTED,FBW
01cc7044c6,1e36e7ca92,Open Team Freestyle,1,Bruce Guettich,886e5b99-bd46-5707-a490-a2e938b09a35,Bruce Guettich,MATCHED,FBW
01cc7044c6,1e36e7ca92,Open Team Freestyle,1,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
590eadc6cb,1e36e7ca92,Open Sgls Consecutive,1,Kenny Shults,,,REVIEW_NEEDED,FBW
079c2f8370,1e36e7ca92,Open Sgls Consecutive,2,Andy Linder,64a7a989-aa2c-5a58-b141-e8378be4a962,Andy Linder,MATCHED,FBW
