person_id,person_canon,trick_canon,trick_type,mentions,first_year,last_year,event_count,sample_event,sample_line
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,symposium,style_term,1,2007,2007,1,,4. Andrew Grant--Stepping Paradox Symposium Eggbeater
17a27155-b5bc-5c72-ac90-602127a1ed24,Andy Nawrath,mobius,full_trick,1,2025,2025,1,,4. Andy Nawrath (DE) - Mobius >
00d8d056-e8a7-5229-97bf-e0cb3b881cd8,Anssi Sundberg,blurry whirl,full_trick,1,2009,2009,1,,3. Anssi Sundberg 43.2 (Scorpion´s Tail > Blurry Whirl > Vertigo)
00d8d056-e8a7-5229-97bf-e0cb3b881cd8,Anssi Sundberg,butterfly,full_trick,1,2014,2014,1,,7. Anssi Sundberg (Finland) - badger (symposium butterfly swirl)
00d8d056-e8a7-5229-97bf-e0cb3b881cd8,Anssi Sundberg,swirl,full_trick,1,2014,2014,1,,7. Anssi Sundberg (Finland) - badger (symposium butterfly swirl)
00d8d056-e8a7-5229-97bf-e0cb3b881cd8,Anssi Sundberg,symposium,style_term,1,2014,2014,1,,7. Anssi Sundberg (Finland) - badger (symposium butterfly swirl)
00d8d056-e8a7-5229-97bf-e0cb3b881cd8,Anssi Sundberg,whirl,full_trick,1,2009,2009,1,,3. Anssi Sundberg 43.2 (Scorpion´s Tail > Blurry Whirl > Vertigo)
5153f93f-1e75-5497-82c6-bf804faf6476,Anton Britting,mobius,full_trick,1,2019,2019,1,,15. Anton Britting (Mobius)
5153f93f-1e75-5497-82c6-bf804faf6476,Anton Britting,whirl,full_trick,1,2015,2015,1,,14. Anton Britting (USA) - PS Whirl
0a33a41b-8363-572e-90a0-39ae1e107ede,Arek Stanek,food processor,full_trick,1,2019,2019,1,,5. Arek Stanek (Food Processor>Janiwalker>PDX Torque)
0a33a41b-8363-572e-90a0-39ae1e107ede,Arek Stanek,torque,full_trick,1,2019,2019,1,,5. Arek Stanek (Food Processor>Janiwalker>PDX Torque)
6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,atomic,style_term,1,2009,2009,1,,3. Arkadiusz Dudziñski (Sumo > Atomic Whirl > PS Eggbeater)
6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,food processor,full_trick,1,2009,2009,1,,1. Arkadiusz Dudzinski 44.9 (Beta Bedwetter > Fusion > Food Processor)
6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,torque,full_trick,1,2008,2008,1,,2. Arkadiusz Dudziñski (Fury > Reactor > PS Torque)
6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,whirl,full_trick,1,2009,2009,1,,3. Arkadiusz Dudziñski (Sumo > Atomic Whirl > PS Eggbeater)
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,ducking,style_term,1,2018,2018,1,,1. Arkadiusz Stanek - Foodprocessor > janiwalker > ducking pdx torque
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,gyro,style_term,1,2017,2017,1,,4. Arkadiusz Stanek (gyro baroque)
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,mobius,full_trick,1,2017,2017,1,,2. Arkadiusz Stanek (foodprocessor>mobius>mulet)
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,torque,full_trick,1,2018,2018,1,,1. Arkadiusz Stanek - Foodprocessor > janiwalker > ducking pdx torque
abe227f2-b4d5-5baa-9f72-2b6dfa32036e,Artur Pichura,fusion,full_trick,1,2012,2012,1,,11. Artur Pichura (Frontside Fusion) (Poland)
0dd4fbff-3e80-5779-853a-4e9a4189878a,Ashley Danowski,blurry whirl,full_trick,1,2008,2008,1,,1. Ashley Danowski (Blurry Whirl)
0dd4fbff-3e80-5779-853a-4e9a4189878a,Ashley Danowski,whirl,full_trick,1,2008,2008,1,,1. Ashley Danowski (Blurry Whirl)
816ccebb-84e4-551e-b7bb-d6517dd88e83,Asmus Helms,legover,full_trick,1,2016,2016,1,,9. Asmus Helms (ATW > Legover > Clipper)
71501d92-2a94-5c78-9fe7-8cc7c58de04b,Augustin Tiffaud,atomic,style_term,1,2006,2006,1,,"2. Augustin Tiffaud ""Atomic Ducking Butterfly"""
71501d92-2a94-5c78-9fe7-8cc7c58de04b,Augustin Tiffaud,butterfly,full_trick,1,2006,2006,1,,"2. Augustin Tiffaud ""Atomic Ducking Butterfly"""
