event_id,year,event_name,line_no,line_raw,line_class,name_raw,person_id,person_canon,match_type,score_raw,score_value,score_type,extract_method,filter_reason
1124840254,2005,The Hackrifice Open 2005,6,4) Erik Chan - 107.7,result_score,Erik Chan,10f0e26c-4ec9-5916-bc9b-ff587c0681d4,Eric Chan,exact,107.7,107.7,raw_integer,name_score_inline,
1124840254,2005,The Hackrifice Open 2005,7,5) Rory Dawson - 102. 1,result_score,Rory Dawson,e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,exact,102,102.0,raw_integer,placement_line_tail_score,
1124840254,2005,The Hackrifice Open 2005,7,5) Rory Dawson - 102. 1,result_score,Rory Dawson,e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,exact,102,102.0,raw_integer,name_score_inline,
1124840254,2005,The Hackrifice Open 2005,9,1) Erik Magnusson - 49.2,result_score,Erik Magnusson,d5e3365e-ca56-5337-84fd-eaac9b7d7de4,Erik Magnusson,exact,49.2,49.2,raw_integer,placement_line_tail_score,
1124840254,2005,The Hackrifice Open 2005,9,1) Erik Magnusson - 49.2,result_score,Erik Magnusson,d5e3365e-ca56-5337-84fd-eaac9b7d7de4,Erik Magnusson,exact,49.2,49.2,raw_integer,name_score_inline,
1124840254,2005,The Hackrifice Open 2005,10,2) Jessica Archer - 33.3,result_score,Jessica Archer,3ff6ba8b-ae30-553e-81f9-18538fb5c86b,Jessica Archer,exact,33.3,33.3,raw_integer,placement_line_tail_score,
1124840254,2005,The Hackrifice Open 2005,10,2) Jessica Archer - 33.3,result_score,Jessica Archer,3ff6ba8b-ae30-553e-81f9-18538fb5c86b,Jessica Archer,exact,33.3,33.3,raw_integer,name_score_inline,
1131659634,2006,2006 Green Cup Presented by Chaos,20,"1. Emmanuel Bouchard (semi: 2 - 1 JF; final: 11 - 1, 12 - 10)",result_score,Emmanuel Bouchard,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emmanuel Bouchard,exact,2,2.0,golf_score,placement_line_tail_score,
1135116604,2006,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,309,1. Lauri Jaakkola (FI) - 3 placing points,result_score,Lauri Jaakkola,d02af1ed-7c5d-5ee3-8dbe-422421ec5b3a,Lauri Jaakkola,exact,3,3.0,golf_score,placement_line_tail_score,
1135116604,2006,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,310,2. Wiktor Debski (PL) - 7 placing points,result_score,Wiktor Debski,,,unresolved,7,7.0,golf_score,placement_line_tail_score,
1135116604,2006,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,311,3. Dylan Fry (UK) - 11 placing points,result_score,Dylan Fry,9aa9e85a-1dbb-54ad-8aed-10bd7e5719ad,Dylan Fry,exact,11,11.0,golf_score,placement_line_tail_score,
1135116604,2006,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,312,4. Evan Lovely (US) - 12 placing points,result_score,Evan Lovely,bc25cbb5-3010-58ac-8bba-b7b745d309dd,Evan Lovely,exact,12,12.0,golf_score,placement_line_tail_score,
1135116604,2006,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,313,4. Yves Archambault (CA) - 12 placing points,result_score,Yves Archambault,691f48a0-1dbd-5ef5-99ea-13615a7437d2,Yves Archambault,exact,12,12.0,golf_score,placement_line_tail_score,
1137347261,2006,7th Annual Colorado Shred Symposium,3,2. Dylan Johnson - 84,result_score,Dylan Johnson,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,exact,84,84.0,raw_integer,placement_line_tail_score,
1137347261,2006,7th Annual Colorado Shred Symposium,3,2. Dylan Johnson - 84,result_score,Dylan Johnson,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,exact,84,84.0,raw_integer,name_score_inline,
1137347261,2006,7th Annual Colorado Shred Symposium,4,3. Sunny Freeman Genz- 75.5,result_score,Sunny Freeman Genz,226d0da7-f659-5870-a9ac-6bff94c85319,Sunny Freeman-Genz,exact,75.5,75.5,raw_integer,placement_line_tail_score,
1137347261,2006,7th Annual Colorado Shred Symposium,4,3. Sunny Freeman Genz- 75.5,result_score,Sunny Freeman Genz,226d0da7-f659-5870-a9ac-6bff94c85319,Sunny Freeman-Genz,exact,75.5,75.5,raw_integer,name_score_inline,
1137347261,2006,7th Annual Colorado Shred Symposium,5,4. Chris Balch - 66.46,result_score,Chris Balch,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,exact,66.46,66.46,raw_integer,placement_line_tail_score,
1137347261,2006,7th Annual Colorado Shred Symposium,5,4. Chris Balch - 66.46,result_score,Chris Balch,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,exact,66.46,66.46,raw_integer,name_score_inline,
1148241486,2006,2006 Steel City Shred Off,3,1) David Clavens - 232,result_score,David Clavens,033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,exact,232,232.0,raw_integer,placement_line_tail_score,
1148241486,2006,2006 Steel City Shred Off,3,1) David Clavens - 232,result_score,David Clavens,033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,exact,232,232.0,raw_integer,name_score_inline,
1148241486,2006,2006 Steel City Shred Off,4,2) Gordon Bevier - 210,result_score,Gordon Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,exact,210,210.0,raw_integer,placement_line_tail_score,
1148241486,2006,2006 Steel City Shred Off,4,2) Gordon Bevier - 210,result_score,Gordon Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,exact,210,210.0,raw_integer,name_score_inline,
1148241486,2006,2006 Steel City Shred Off,5,3) Caleb Abraham - 152,result_score,Caleb Abraham,ea4b97b8-2ee0-516b-94ce-ccdf349463da,Caleb Abraham,exact,152,152.0,raw_integer,placement_line_tail_score,
