event_id,year,person_id,person_canon,attribution_confidence,chain_id,sequence_index,trick_canon
1038895913,2003,8a740aac-66c5-5fe2-a482-2acd1d1cdc11,Lynton Stephens,context_window,1038895913_17,1,legover
1038895913,2003,126a7db1-2603-5589-848f-c0af515660a1,Johnathon Murphy,context_window,1038895913_19,0,pixie
1038895913,2003,126a7db1-2603-5589-848f-c0af515660a1,Johnathon Murphy,context_window,1038895913_19,1,ripwalk
1038895913,2003,126a7db1-2603-5589-848f-c0af515660a1,Johnathon Murphy,context_window,1038895913_19,2,whirl
1038895913,2003,ef902cd4-83ed-574e-8fb6-06f76e2c2258,Liam Johnston,context_window,1038895913_21,0,blurry whirl
1038895913,2003,ef902cd4-83ed-574e-8fb6-06f76e2c2258,Liam Johnston,context_window,1038895913_21,1,whirl
1038895913,2003,cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,context_window,1038895913_23,0,ripwalk
1038895913,2003,cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,context_window,1038895913_23,1,blur
1049457912,2003,542be6a9-3b5a-5374-961b-9de19c0def7a,Peter Irish,direct,1049457912_35,0,torque
1049457912,2003,542be6a9-3b5a-5374-961b-9de19c0def7a,Peter Irish,direct,1049457912_35,1,torque
1050745947,2003,6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,direct,1050745947_31,0,butterfly
1050745947,2003,6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,direct,1050745947_31,1,ducking butterfly
1050745947,2003,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,direct,1050745947_33,0,stepping
1050745947,2003,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,direct,1050745947_33,1,osis
1050745947,2003,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,direct,1050745947_33,2,barfly
1050745947,2003,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,direct,1050745947_34,0,ripwalk
1050745947,2003,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,direct,1050745947_34,1,spinning clipper
