event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved,norm,division_raw
1323272493,2012,Open Singles Net,net,52,team,,,__NON_PERSON__,Kaufmann / David DE,partial,,,
1323272493,2012,Open Singles Net,net,54,team,,,__NON_PERSON__,Rollmann / Simon DE,partial,,,
1323272493,2012,Open Singles Net,net,55,team,,,__NON_PERSON__,Brunet / Marc FR,partial,,,
1323272493,2012,Open Singles Net,net,56,team,,,__NON_PERSON__,Koscielny / Piotrek PL,partial,,,
1323272493,2012,Open Singles Net,net,57,team,,,__NON_PERSON__,Rautenberg / Stephan DE,partial,,,
1323272493,2012,Open Singles Net,net,58,team,,,__NON_PERSON__,Laakso / Ville FI,partial,,,
1323272493,2012,Open Singles Net,net,59,team,,,__NON_PERSON__,Andryka / Rafal PL,partial,,,
1323272493,2012,Open Singles Net,net,60,team,,,__NON_PERSON__,Kuntze / Steve DE,partial,,,
1323272493,2012,Open Singles Net,net,61,team,,,__NON_PERSON__,P�chel / Robin DE,partial,,,
1323272493,2012,Open Singles Net,net,61,team,,,__NON_PERSON__,Ignaczak / Wojciech PL,partial,,,
1323272493,2012,Open Singles Net,net,63,team,,,__NON_PERSON__,Rog / Michal PL,partial,,,
1323272493,2012,Open Singles Net,net,64,team,,,__NON_PERSON__,Lobankov / Arkady RU,partial,,,
1323272493,2012,Open Singles Net,net,65,team,,,__NON_PERSON__,Hartmann / Ingo DE,partial,,,
1323272493,2012,Open Singles Net,net,66,team,,,__NON_PERSON__,Ollivier / Boris FR,partial,,,
1323272493,2012,Open Singles Net,net,67,team,,,__NON_PERSON__,Grabarczyk / Jakub PL,partial,,,
1323272493,2012,Open Singles Net,net,68,team,,,__NON_PERSON__,Coblence / Julien FR,partial,,,
1323272493,2012,Open Singles Net,net,69,team,,,__NON_PERSON__,Hejra / Pavel CZ,partial,,,
1337617980,2012,Open Singles Net,net,2,team,,c4a13ca3-eb50-50c9-a8e7-dc70e4ace063|037f7f32-66f6-5540-a829-a7d9cff97daf,__NON_PERSON__,Rockel / Tammo DD,unresolved,,,Open Singles Net
1337617980,2012,Open Singles Net,net,4,team,,070964b4-a536-5b9a-a902-27c4fb028564|bbc8d94e-c020-5e3f-a45e-0b96a7b8b8a5,__NON_PERSON__,Voss / Simon KI,unresolved,,,Open Singles Net
1337617980,2012,Open Singles Net,net,5,team,,fe624a81-67b1-5006-8afc-f64c6ff8f400|3c9fa155-e9a3-57fe-812f-9c06c19ce68f,__NON_PERSON__,Thull / Jonas AC,unresolved,,,Open Singles Net
1337617980,2012,Open Singles Net,net,8,team,,f1862146-7275-521e-9f64-01a3f0466e53|964af1a4-a481-569e-9eb2-ce9a7d4b7fdf,__NON_PERSON__,Püchel / Robin DD,unresolved,,,Open Singles Net
