qc_rule,qc_detail,row_count
R19_MULTIPLE_FIRST_PLACES_IN_DIVISION,multiple place=1 rows in same event+division,1913
R20_MIN_PLACE_GT_1,division placement run starts above 1,291
R18_EXACT_DUPLICATE_PLACEMENT_ROW,duplicate event+division+place+person row,157
R04_MONTH_IN_PERSON,month name in player/person field,146
R17_ALLCAPS_PERSON,suspicious all-caps player/person field,94
R06_COUNTRY_IN_PERSON,country token in player/person field,24
R16_PUNCT_EDGE_IN_PERSON,leading/trailing punctuation in player/person,19
R01_DAYNAME_ANYWHERE,weekday appears somewhere in row,12
R03_DAYNAME_IN_DIVISION,weekday in division field,11
