alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Francois Depatie-Pelletier,Francois Depatie Pelletier,1,2,2012,"2018,2019",0,,1323272493,"1502997442,1555631351",6,"initial_variant,rare_alias,canon_more_common"
Frank,Asher Frank,1,0,2010,,0,,1268445253,,8,"suffix_match,token_subset,rare_alias"
Freller,Hanz Freller,1,5,2003,"2000,2001,2003",0,,1035277529,"1038895913,1042821772,947196813,996293200",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Fritsch,Antonio Fritsch,1,27,2003,2006..2015 (10 yrs),0,,1035277529,"1135116604,1149763452,1183729267,1194517448,1199106237",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Geber Orta,geber Orta,2,0,"2010,2015",,0,,"1284182261,1423020874",,5,"initial_variant,rare_alias"
Gilles,Gilles Demers,1,22,2010,2005..2011 (7 yrs),0,,1268445253,"1107290435,1149881200,1163784775,1170456736,1179874637",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Grischa,Grischa Tellenbach,1,127,2005,2002..2025 (23 yrs),0,,1103297805,"1030830356,1042821772,1050745947,1064849293,1080138513",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Hanak,Philipp Hanak,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Hanna,Mickiewicz Hanna,2,3,2003,"2004,2008",0,,"1041241196,1064849293","1079605499,1219405634",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Hellberg,Magnus Hellberg,1,18,2005,2004..2012 (8 yrs),1,1102576153,1102576153,"1089373321,1102576153,1125936037,1135116604,1139778550",10,"suffix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Heyes,Jono Heyes,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Imagepunkt Für Stuff,imagepunkt für stuff,1,0,2010,,0,,1260368810,,5,"initial_variant,rare_alias"
Iván Acosta,Iván acosta,3,0,2011,,0,,"1301675662,1311699287,1314323534",,5,"initial_variant,rare_alias"
JF,JF Lemieux,2,4,"2002,2010","2003,2007,2008",0,,"1021665982,1268445253","1031334528,1163784775,1203102773,1216058526",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Jack,Jack Jer,1,1,2010,2010,1,1268445253,1268445253,1268445253,8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Jaime Alberto Navarro,Jaime alberto Navarro,1,0,2009,,0,,1258513500,,5,"initial_variant,rare_alias"
Jake,Jake Cave,1,1,2010,2000,0,,1268445253,947196813,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Jakob,Mai Jakob,2,1,"2004,2008",2004,0,,"1079444598,1195677906",1079605499,8,"suffix_match,token_subset,rare_alias"
Jakob Og Jesper Hall,Jakob og Jesper Hall,1,0,2003,,0,,1052775366,,5,"initial_variant,rare_alias"
Jason,Jason Ausmus,1,1,2004,2008,0,,1094201584,1193783964,7,"prefix_match,token_subset,rare_alias,canon_more_common"
