player_id,name_raw,name_clean,person_id,person_canon,issue_type,appearances,evidence,suggested_action
,,,00bdcbfa-31e8-5cfc-89f6-0d5b0fbff276,Karim Daouk Arthur Ledain,multi_person_collision,0,split_known:Karim Daouk || Arthur Ledain,split person_ids manually
,,,127d47b3-4e54-5722-ac7e-4d3924876f9c,Francois Leh Kevin Jenkins,multi_person_collision,0,split_known:Francois Leh || Kevin Jenkins,split person_ids manually
,,,3f315972-9f3b-5b99-ad28-9f6519a78999,Vera DeBaere Ann Lasken,multi_person_collision,0,split_known:Vera DeBaere || Ann Lasken,split person_ids manually
,,,4bb6c192-daa1-51e5-ba3a-f6cf5135a8e2,Jody Welch Julie Symons,multi_person_collision,0,split_known:Jody Welch || Julie Symons,split person_ids manually
,,,55053329-4cc3-596a-a372-605b07aa302c,Dave Bernard Chris Routh,multi_person_collision,0,split_known:Dave Bernard || Chris Routh,split person_ids manually
,,,7d7d6623-4c34-54ef-933f-50edf155b492,Martin Côté Martin Graton,multi_person_collision,0,split_known:Martin Côté || Martin Graton,split person_ids manually
,,,807cae79-dc10-5a59-931e-6ce97e4753c4,Grischa Tellenbach Damian Budzik,multi_person_collision,0,split_known:Grischa Tellenbach || Damian Budzik,split person_ids manually
,,,88dd8571-98ad-50fc-9323-7b84896b0888,Jon Hayduk Sean Flynn,multi_person_collision,0,split_known:Jon Hayduk || Sean Flynn,split person_ids manually
,,,90bc6a1f-9ac3-57e1-9041-1720eeac7b93,Scott Milne Jim Derricott,multi_person_collision,0,split_known:Scott Milne || Jim Derricott,split person_ids manually
,,,a05e7b3b-41cc-50fa-acfc-b063d276630a,Julie Symons Yossarian Kelley,multi_person_collision,0,split_known:Julie Symons || Yossarian Kelley,split person_ids manually
,,,b6bfce7f-622a-575d-9bb7-df92dc30bd0b,Grischa Tellenbach Vincent Rousseau,multi_person_collision,0,split_known:Grischa Tellenbach || Vincent Rousseau,split person_ids manually
,,,c8be4a5a-2e85-5097-a5d1-696c920f2451,Yves Kreil Antonio Fritsch,multi_person_collision,0,split_known:Yves Kreil || Antonio Fritsch,split person_ids manually
,,,cdfcbb2c-bc10-5156-a355-22eb3dd6d2c9,Jody Welch Danny Borsky,multi_person_collision,0,split_known:Jody Welch || Danny Borsky,split person_ids manually
,,,d15d74fe-47f7-5330-aafc-3150d35ca1f5,Eurik Lindner Markus Kaspczak,multi_person_collision,0,split_known:Eurik Lindner || Markus Kaspczak,split person_ids manually
,,,e4c6537a-af58-556e-8055-e3b35d0e5a4a,Jim Fitzgerald Adam Hutchinson,multi_person_collision,0,split_known:Jim Fitzgerald || Adam Hutchinson,split person_ids manually
,,,ea22aafe-66c7-5c14-9fbe-9664d8150db3,Scott Milne Chard Cook,multi_person_collision,0,split_known:Scott Milne || Chard Cook,split person_ids manually
,,,775b1aa9-1f18-5a84-8b92-57c693806da9,Lee S.,not_presentable,2,not_presentable_strict,fix name or add alias
,,,1e3e7a50-a52c-5a71-b94b-3342afd98c53,Morgan F,not_presentable,1,not_presentable_strict,fix name or add alias
,,,239f6d2d-326e-5965-9629-28e910ed359f,Toni L.,not_presentable,1,not_presentable_strict,fix name or add alias
,,,370faa2b-39c6-5696-9def-053c9e0bb8ed,Mat P,not_presentable,1,not_presentable_strict,fix name or add alias
,,,4ec14783-9ed4-5651-a825-86397285ab40,Max S.M.,not_presentable,1,not_presentable_strict,fix name or add alias
,,,5298f8a5-1cc8-5873-870d-f83964e8503c,Omma T,not_presentable,1,not_presentable_strict,fix name or add alias
,,,6de1e9ce-89dd-5664-ae90-0f75bfdbb5f4,Andi N.,not_presentable,1,not_presentable_strict,fix name or add alias
,,,7c43cf6e-7131-5b8a-a6da-593d2eaa3540,Jeremy S.,not_presentable,1,not_presentable_strict,fix name or add alias
,,,7d27180a-ad9d-5ef9-ab45-fdd21444eaca,Matt E.,not_presentable,1,not_presentable_strict,fix name or add alias
,,,99ae954b-4698-583f-bcb0-789cd5e8599b,Pascal T,not_presentable,1,not_presentable_strict,fix name or add alias
,,,d3c8ebb4-8d08-5684-8f07-11c843e6c4f1,Scott K,not_presentable,1,not_presentable_strict,fix name or add alias
,,,da859b67-50c8-5341-8a49-c76f17b0ce72,Jared W.,not_presentable,1,not_presentable_strict,fix name or add alias
,,,eed84f3b-135b-5604-b3ab-954258ad3ba5,Tre L.,not_presentable,1,not_presentable_strict,fix name or add alias
,,,cafcd1b7-1e6c-54a2-befb-09e51f1f9813,Forra,not_presentable,0,not_presentable_strict,fix name or add alias
,,,b7d34e83-8e42-5007-8c3a-0fab964e1160,Rorz,not_presentable,0,not_presentable_strict,fix name or add alias
,__NON_PERSON__,__NON_PERSON__,,,unmapped_player_id,8250,no alias in person_aliases.csv,add alias
,Jean,Jean,,,unmapped_player_id,42,no alias in person_aliases.csv,add alias
,Jakub Mosciszewski,Jakub Mosciszewski,,,unmapped_player_id,20,no alias in person_aliases.csv,add alias
,Filip Wojcik,Filip Wojcik,,,unmapped_player_id,19,no alias in person_aliases.csv,add alias
,Krzysztof Sobótka,Krzysztof Sobótka,,,unmapped_player_id,18,no alias in person_aliases.csv,add alias
,Rafal Kaleta,Rafal Kaleta,,,unmapped_player_id,17,no alias in person_aliases.csv,add alias
,Michal Rog,Michal Rog,,,unmapped_player_id,15,no alias in person_aliases.csv,add alias
,Matthias Lino Schmidt,Matthias Lino Schmidt,,,unmapped_player_id,14,no alias in person_aliases.csv,add alias
,Na,Na,,,unmapped_player_id,13,no alias in person_aliases.csv,add alias
,Robin Puchel,Robin Puchel,,,unmapped_player_id,11,no alias in person_aliases.csv,add alias
,Wiktor Debski,Wiktor Debski,,,unmapped_player_id,11,no alias in person_aliases.csv,add alias
,Juha,Juha,,,unmapped_player_id,10,no alias in person_aliases.csv,add alias
,Dexter,Dexter,,,unmapped_player_id,9,no alias in person_aliases.csv,add alias
,Jonathan Schneider,Jonathan Schneider,,,unmapped_player_id,9,no alias in person_aliases.csv,add alias
,Pierre,Pierre,,,unmapped_player_id,9,no alias in person_aliases.csv,add alias
,Dawid Michalowicz,Dawid Michalowicz,,,unmapped_player_id,8,no alias in person_aliases.csv,add alias
,Rene Ruehr,Rene Ruehr,,,unmapped_player_id,8,no alias in person_aliases.csv,add alias
,Szymon Kalwak,Szymon Kalwak,,,unmapped_player_id,8,no alias in person_aliases.csv,add alias
,Jindrich Smola,Jindrich Smola,,,unmapped_player_id,7,no alias in person_aliases.csv,add alias
,Rados Turek,Rados Turek,,,unmapped_player_id,7,no alias in person_aliases.csv,add alias
,Vaclav Klouda,Vaclav Klouda,,,unmapped_player_id,7,no alias in person_aliases.csv,add alias
,Grischa Tellenbach,Grischa Tellenbach,,,unmapped_player_id,6,no alias in person_aliases.csv,add alias
,Lukasz Domin,Lukasz Domin,,,unmapped_player_id,6,no alias in person_aliases.csv,add alias
,Marie,Marie,,,unmapped_player_id,6,no alias in person_aliases.csv,add alias
,Carl,Carl,,,unmapped_player_id,5,no alias in person_aliases.csv,add alias
,Evan Gatesman,Evan Gatesman,,,unmapped_player_id,5,no alias in person_aliases.csv,add alias
,Francois Pelletier,Francois Pelletier,,,unmapped_player_id,5,no alias in person_aliases.csv,add alias
,Marcin Staron,Marcin Staron,,,unmapped_player_id,5,no alias in person_aliases.csv,add alias
,Mikko Lepisto,Mikko Lepisto,,,unmapped_player_id,5,no alias in person_aliases.csv,add alias
,Tina Aeberli,Tina Aeberli,,,unmapped_player_id,5,no alias in person_aliases.csv,add alias
,Tuomas Karki,Tuomas Karki,,,unmapped_player_id,5,no alias in person_aliases.csv,add alias
,Hanna Mickiewicz (Poland),Hanna Mickiewicz (Poland),,,unmapped_player_id,4,no alias in person_aliases.csv,add alias
,Hannia Mickiewicz,Hannia Mickiewicz,,,unmapped_player_id,4,no alias in person_aliases.csv,add alias
,Jakob Wagner,Jakob Wagner,,,unmapped_player_id,4,no alias in person_aliases.csv,add alias
,Milan Benda,Milan Benda,,,unmapped_player_id,4,no alias in person_aliases.csv,add alias
,Paloma Mayo,Paloma Mayo,,,unmapped_player_id,4,no alias in person_aliases.csv,add alias
,Sebastien Duchesne,Sebastien Duchesne,,,unmapped_player_id,4,no alias in person_aliases.csv,add alias
,Aleksi Airinen,Aleksi Airinen,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Alexander Trenner,Alexander Trenner,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Dan Greer,Dan Greer,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Frank Gutowski,Frank Gutowski,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Geneviève Bousquet,Geneviève Bousquet,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,James L. Widman,James L. Widman,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Jan Struz,Jan Struz,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Jana Riisalo,Jana Riisalo,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Juha-Matti Rytilahti,Juha-Matti Rytilahti,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Lisa Amengual,Lisa Amengual,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Luka Weyler,Luka Weyler,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Marcin Bujko,Marcin Bujko,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Michal Ostrowski,Michal Ostrowski,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Pawel Fraczek,Pawel Fraczek,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Pawel Nowak,Pawel Nowak,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Syl�wia Kocyk,Syl�wia Kocyk,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Tammo Rockel,Tammo Rockel,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Toni P��kk�nen FIN,Toni P��kk�nen FIN,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Vincent Rousseau,Vincent Rousseau,,,unmapped_player_id,3,no alias in person_aliases.csv,add alias
,Allan Petersen,Allan Petersen,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Andreas Käfer,Andreas Käfer,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Andreas Nawrath,Andreas Nawrath,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Andreas Wolff,Andreas Wolff,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Andrew C,Andrew C,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Anne Schmidt,Anne Schmidt,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Arkadiusz Stanek,Arkadiusz Stanek,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Becca English-Ross (Eugene,Becca English-Ross (Eugene,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Boris Ollivier,Boris Ollivier,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Brad Smith,Brad Smith,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Brian Sherrill,Brian Sherrill,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Caroline Bourguoin,Caroline Bourguoin,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Damian Budzik,Damian Budzik,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Damian Gielnicky,Damian Gielnicky,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Dan,Dan,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Dan Ednie,Dan Ednie,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Daniel,Daniel,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,David,David,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
,Derek Littlefield,Derek Littlefield,,,unmapped_player_id,2,no alias in person_aliases.csv,add alias
