unresolved_person_id,unresolved_canon,token_count,appearances,match_person_id,match_canon,score,confidence_tier,decision,notes
30a7e66c-4fa6-5450-8a16-215c50206009,KEN SAMS,2,1,1aa73959-e3a8-509b-9bc5-95f734e5c653,Ken Somolino,85.5,MEDIUM,reject,
7c43cf6e-7131-5b8a-a6da-593d2eaa3540,Jeremy S.,2,1,77db77da-9d18-5f13-9085-cf5e900cbe6b,David Martin Jeremy Guilbaud,85.5,MEDIUM,reject,
71150bb7-eb3e-5790-8b56-25d369162268,Jeremy Watlers-prizes,2,1,e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,85.5,MEDIUM,reject,
9df395f3-c0ec-5bac-a040-5c6d19372248,Jindra Smolav,2,2,0c1d57ac-f8a6-5c3e-a66f-eac82c8a5df4,Jindrich Smola,81.5,LOW,accept,
eb267746-2f81-59a0-ab7d-7607968653a8,Jana Čačáková,2,2,02095322-bd6e-52a6-9f2d-6b5a7a527eae,Jana Sassakova,81.5,LOW,reject,
,Jindra Smolav ?,3,1,0c1d57ac-f8a6-5c3e-a66f-eac82c8a5df4,Jindrich Smola,81.5,LOW,accept,
9083160f-699b-53b4-b6c8-878eff3bda10,AJ Shultz,2,5,009aeef3-6da5-52f9-919d-4de94f6410e4,Katrina Schultz,80.0,LOW,reject,
,Vojtìch Janou¹ek,2,1,52e23781-a79d-558f-9ce4-068b613d441f,Vojta Janousek,80.0,LOW,accept,
944e26dd-65aa-52e0-b6e9-73ba8af1b945,Michal Hadaś,2,1,437d9bc1-f872-5687-9191-689dccedb6d0,Michal Biarda,80.0,LOW,reject,
39634ee3-a4c9-5bae-a07c-97827d67de4a,Mateusz Związek,2,1,ef616004-6691-5a8b-8043-5b50c80159d1,Mateusz Zduniak,80.0,LOW,reject,
df248674-08b9-5252-80f6-d4abc558b0a3,Benjamin De Bastos,3,22,76079f4a-40db-5e3c-97e1-99e590791839,Benjamin Alston,78.8,LOW,reject,
8c65f15f-7187-53a8-a9ef-e9ccbcf52cda,Jakub Ścisiński,2,1,7a8314b4-2af9-584d-bd79-4af7a74d9c21,Jakub Mosciszewski,78.8,LOW,reject,
2a95bcc3-aa9c-539d-ad8d-15666dbd7005,Paweł Ciepielski,2,1,c5245d6c-3e3a-58b2-939d-c55083a9ecca,Pawe cierski,78.6,LOW,reject,
4cc6ab10-a25d-588b-bb5b-4d6498c27e29,BEB RIEFER,2,1,c358d66d-3f67-56fa-b31e-879ad4770c6d,Robert Riefer,78.3,LOW,reject,
,Paty ?,2,1,fb644300-e5a4-51ca-962f-e59dad795b03,Pat Castle,77.1,LOW,reject,
5298f8a5-1cc8-5873-870d-f83964e8503c,Omma T,2,1,ffe10517-080f-5a67-b641-3548a44d6d9e,Thomas tomtom Jouan,75.0,LOW,reject,
7321b8e8-eb68-51b2-ae99-1997760030bb,Michal Černý,2,1,daa5c304-1d81-5faf-b3c8-deeb2aff5077,Michal Benda,75.0,LOW,reject,
