name_raw,count
NOVICE FOOT-C,1
Marcin Ka,1
Open Doubles Net,1
Open Singles Net,1
Mixed Doubles Net,1
Nowak,1
Datum,1
Footbaggolfturnier-Hamburg,1
Milan Benda Frontside Blaze,1
David Clavens Nemesis,1
Damian Gielnicki Spinning Eggbeater,1
Torque,1
Michal Biarda Rooted Dominatrix,1
Dawid Micha,1
Int Circle,1
Open Circle,1
Steffen Seemann,1
Wiktor Dêbski,1
Luka WeyLav-Lavallee ID,1
Scot Hansen ID,1
Cory Current ID,1
Jack Lentz ID,1
Luka WeyLav ID,1
Ben De Bastos ID,1
Steve Richardson ID,1
Benjamin J. Babyak ID,1
PS Egg,1
Atomic Motion,1
Fairy Ducking Legover,1
Fairy Ducking Butterfly,1
Quantum Whirl,1
Atomsmasher,1
Furious Torque,1
PS Torque,1
Alpine Food Processor,1
PS Eggbeater,1
Whirling Rev Swirl,1
Jake Dodd ID,1
John Lentz ID,1
Ted Fritch ID,1
Sean Jordan ID,1
Stephen R. Richardson ID,1
Matt Kemmer ID,1
Christian Britting ID,1
Anton Britting ID,1
BLURRY WHIRL,1
RIPWALK,1
WHIRL,1
Alex Trenner,1
Tanina,1
Ivan,1
Smudge,1
Smog,1
SHRED,1
CnJpt,1
Honza Weber Alpine Fog,1
Christopher Schillem Nemesis,1
Josh Gayhart Fog,1
Pawel Nowak Quantum Dyno,1
Patrik Cerny Double Spinning,1
Mathieu Gauthier Fairy,1
Wiktor Debski Ripped Warrior,1
Wiktor Debski Jackknife,1
Mathieu Gauthier Bedwetter,1
Cassy Taylor Pixie,1
Paloma Mayo Ripwalk,1
Cassy Taylor Pixie Whirl,1
Leimar Salas Ducking Butterfly,1
Fairy Liu Double Orbit,1
David Gil Assassin,1
Saiid Shaheen Pixie Gyro,1
Jordan Chiu Phoenix,1
Jordan Chiu Dimmiest,1
Taku Muira Dimwalk,1
Takao Wakou Blurry Whirl,1
David Gil Atomsmasher,1
Gary Yao Spinning Butterfly,1
Bigwalk,1
Takao Wakou Dimwalk,1
Diego Velazquez Pixie Whirl,1
Taku Muira Pdx Data,1
Christoph Alexander Dimwalk,1
Gary Yao Ducking Pdx,1
Yuito Watanuki Toe Ducking,1
Ken Moller Outside Far,1
Allen Sneed Ducking Clipper,1
Daniel Cadavid Dimwalk,1
Ken Moller Outside Ducking,1
Eggbeater,1
Stepping Far Dyno,1
Paradox Torque,1
Whirr,1
Dyno,1
Rosen,1
Open Competitors,1
Intermediate Competitors,1
Novice Competitors,1
Sunday,1
Monday,1
ST Kenny Shults,1
ND Steve Kremer,1
RD Ahren Gerhman,1
TH Paul Munger,1
TH Tricia George,1
TH Tuan Vu,1
TH Tu Vu,1
TH Justin Sexton,1
Competitors,1
Heiney,1
Registered Open Men,1
Registered Open Women,1
Registered Intermediate Men,1
Registered Intermediate Women,1
Total Registered Players,1
Unregistered Novice,1
Total Competitors,1
Open Singles,1
Open Doubles,1
Open Freestyle,1
Amateur Singles Net,1
Amateur Doubles Net,1
Amateur Freestyle,1
Novice,1
Becca English-Ross,1
Kenny,1
Kenny. Apparently,1
Ken,1
HUB,1
Pdx Eggbeater,1
