trick_canon,suppressed_count
whirl,126
paradox,62
ducking,60
butterfly,39
spinning,33
torque,22
osis,22
clipper,18
mirage,17
symposium,13
blender,11
drifter,4
symposium whirl,3
atomic,3
around the world,3
eggbeater,1
stepping,1
